date,poverty rate_unscaled,poverty rate_monthly,isPartial,scale,poverty rate
2005-09-03,0,0,False,0.0,0.0
2005-09-04,0,0,False,0.0,0.0
2005-09-05,0,0,False,0.0,0.0
2005-09-06,0,0,False,0.0,0.0
2005-09-07,0,0,False,0.0,0.0
2005-09-08,21,21,False,0.21,4.41
2005-09-09,22,22,False,0.22,4.84
2005-09-10,0,0,False,0.0,0.0
2005-09-11,0,0,False,0.0,0.0
2005-09-12,20,20,False,0.2,4.0
2005-09-13,0,0,False,0.0,0.0
2005-09-14,39,39,False,0.39,15.21
2005-09-15,20,20,False,0.2,4.0
2005-09-16,0,0,False,0.0,0.0
2005-09-17,33,33,False,0.33,10.89
2005-09-18,0,0,False,0.0,0.0
2005-09-19,20,20,False,0.2,4.0
2005-09-20,39,39,False,0.39,15.21
2005-09-21,20,20,False,0.2,4.0
2005-09-22,100,100,False,1.0,100.0
2005-09-23,0,0,False,0.0,0.0
2005-09-24,0,0,False,0.0,0.0
2005-09-25,0,0,False,0.0,0.0
2005-09-26,0,0,False,0.0,0.0
2005-09-27,0,0,False,0.0,0.0
2005-09-28,20,20,False,0.2,4.0
2005-09-29,20,20,False,0.2,4.0
2005-09-30,0,0,False,0.0,0.0
2005-10-01,0,0,False,0.0,0.0
2005-10-02,82,82,False,0.82,67.24
2005-10-03,49,49,False,0.49,24.009999999999998
2005-10-04,48,48,False,0.48,23.04
2005-10-05,48,48,False,0.48,23.04
2005-10-06,0,0,False,0.0,0.0
2005-10-07,53,53,False,0.53,28.09
2005-10-08,0,0,False,0.0,0.0
2005-10-09,81,81,False,0.81,65.61
2005-10-10,100,100,False,1.0,100.0
2005-10-11,48,48,False,0.48,23.04
2005-10-12,0,0,False,0.0,0.0
2005-10-13,100,100,False,1.0,100.0
2005-10-14,0,0,False,0.0,0.0
2005-10-15,0,0,False,0.0,0.0
2005-10-16,0,0,False,0.0,0.0
2005-10-17,48,48,False,0.48,23.04
2005-10-18,0,0,False,0.0,0.0
2005-10-19,48,48,False,0.48,23.04
2005-10-20,0,0,False,0.0,0.0
2005-10-21,53,53,False,0.53,28.09
2005-10-22,0,0,False,0.0,0.0
2005-10-23,0,0,False,0.0,0.0
2005-10-24,48,48,False,0.48,23.04
2005-10-25,0,0,False,0.0,0.0
2005-10-26,0,0,False,0.0,0.0
2005-10-27,0,0,False,0.0,0.0
2005-10-28,53,53,False,0.53,28.09
2005-10-29,0,0,False,0.0,0.0
2005-10-30,0,0,False,0.0,0.0
2005-10-31,0,0,False,0.0,0.0
2005-11-01,66,66,False,0.66,43.56
2005-11-02,0,0,False,0.0,0.0
2005-11-03,33,33,False,0.33,10.89
2005-11-04,34,34,False,0.34,11.56
2005-11-05,0,0,False,0.0,0.0
2005-11-06,0,0,False,0.0,0.0
2005-11-07,31,31,False,0.31,9.61
2005-11-08,0,0,False,0.0,0.0
2005-11-09,0,0,False,0.0,0.0
2005-11-10,0,0,False,0.0,0.0
2005-11-11,0,0,False,0.0,0.0
2005-11-12,52,52,False,0.52,27.04
2005-11-13,0,0,False,0.0,0.0
2005-11-14,31,31,False,0.31,9.61
2005-11-15,30,30,False,0.3,9.0
2005-11-16,0,0,False,0.0,0.0
2005-11-17,0,0,False,0.0,0.0
2005-11-18,34,34,False,0.34,11.56
2005-11-19,51,51,False,0.51,26.01
2005-11-20,0,0,False,0.0,0.0
2005-11-21,0,0,False,0.0,0.0
2005-11-22,62,62,False,0.62,38.44
2005-11-23,0,0,False,0.0,0.0
2005-11-24,0,0,False,0.0,0.0
2005-11-25,100,100,False,1.0,100.0
2005-11-26,0,0,False,0.0,0.0
2005-11-27,0,0,False,0.0,0.0
2005-11-28,0,0,False,0.0,0.0
2005-11-29,0,0,False,0.0,0.0
2005-11-30,29,29,False,0.29,8.41
2005-12-01,0,0,False,0.0,0.0
2005-12-02,0,0,False,0.0,0.0
2005-12-03,55,55,False,0.55,30.250000000000004
2005-12-04,0,0,False,0.0,0.0
2005-12-05,0,0,False,0.0,0.0
2005-12-06,100,100,False,1.0,100.0
2005-12-07,69,69,False,0.69,47.61
2005-12-08,0,0,False,0.0,0.0
2005-12-09,37,37,False,0.37,13.69
2005-12-10,0,0,False,0.0,0.0
2005-12-11,0,0,False,0.0,0.0
2005-12-12,35,35,False,0.35,12.25
2005-12-13,34,34,False,0.34,11.56
2005-12-14,35,35,False,0.35,12.25
2005-12-15,0,0,False,0.0,0.0
2005-12-16,78,78,False,0.78,60.84
2005-12-17,0,0,False,0.0,0.0
2005-12-18,0,0,False,0.0,0.0
2005-12-19,76,76,False,0.76,57.76
2005-12-20,0,0,False,0.0,0.0
2005-12-21,39,39,False,0.39,15.21
2005-12-22,0,0,False,0.0,0.0
2005-12-23,0,0,False,0.0,0.0
2005-12-24,0,0,False,0.0,0.0
2005-12-25,0,0,False,0.0,0.0
2005-12-26,0,0,False,0.0,0.0
2005-12-27,0,0,False,0.0,0.0
2005-12-28,0,0,False,0.0,0.0
2005-12-29,43,43,False,0.43,18.49
2005-12-30,0,0,False,0.0,0.0
2005-12-31,0,0,False,0.0,0.0
2006-01-01,0,0,False,0.0,0.0
2006-01-02,0,0,False,0.0,0.0
2006-01-03,0,0,False,0.0,0.0
2006-01-04,0,0,False,0.0,0.0
2006-01-05,0,0,False,0.0,0.0
2006-01-06,0,0,False,0.0,0.0
2006-01-07,0,0,False,0.0,0.0
2006-01-08,0,0,False,0.0,0.0
2006-01-09,28,28,False,0.28,7.840000000000001
2006-01-10,0,0,False,0.0,0.0
2006-01-11,27,27,False,0.27,7.290000000000001
2006-01-12,0,0,False,0.0,0.0
2006-01-13,0,0,False,0.0,0.0
2006-01-14,0,0,False,0.0,0.0
2006-01-15,0,0,False,0.0,0.0
2006-01-16,0,0,False,0.0,0.0
2006-01-17,27,27,False,0.27,7.290000000000001
2006-01-18,0,0,False,0.0,0.0
2006-01-19,0,0,False,0.0,0.0
2006-01-20,57,57,False,0.57,32.489999999999995
2006-01-21,0,0,False,0.0,0.0
2006-01-22,0,0,False,0.0,0.0
2006-01-23,26,26,False,0.26,6.76
2006-01-24,0,0,False,0.0,0.0
2006-01-25,26,26,False,0.26,6.76
2006-01-26,0,0,False,0.0,0.0
2006-01-27,28,28,False,0.28,7.840000000000001
2006-01-28,0,0,False,0.0,0.0
2006-01-29,0,0,False,0.0,0.0
2006-01-30,26,26,False,0.26,6.76
2006-01-31,100,100,False,1.0,100.0
2006-02-01,47,47,False,0.47,22.09
2006-02-02,0,0,False,0.0,0.0
2006-02-03,0,0,False,0.0,0.0
2006-02-04,0,0,False,0.0,0.0
2006-02-05,0,0,False,0.0,0.0
2006-02-06,0,0,False,0.0,0.0
2006-02-07,46,46,False,0.46,21.16
2006-02-08,93,93,False,0.93,86.49000000000001
2006-02-09,47,47,False,0.47,22.09
2006-02-10,100,100,False,1.0,100.0
2006-02-11,71,71,False,0.71,50.41
2006-02-12,0,0,False,0.0,0.0
2006-02-13,47,47,False,0.47,22.09
2006-02-14,0,0,False,0.0,0.0
2006-02-15,0,0,False,0.0,0.0
2006-02-16,48,48,False,0.48,23.04
2006-02-17,0,0,False,0.0,0.0
2006-02-18,72,72,False,0.72,51.839999999999996
2006-02-19,0,0,False,0.0,0.0
2006-02-20,0,0,False,0.0,0.0
2006-02-21,0,0,False,0.0,0.0
2006-02-22,93,93,False,0.93,86.49000000000001
2006-02-23,0,0,False,0.0,0.0
2006-02-24,0,0,False,0.0,0.0
2006-02-25,0,0,False,0.0,0.0
2006-02-26,0,0,False,0.0,0.0
2006-02-27,0,0,False,0.0,0.0
2006-02-28,45,45,False,0.45,20.25
2006-03-01,0,0,False,0.0,0.0
2006-03-02,100,100,False,1.0,100.0
2006-03-03,0,0,False,0.0,0.0
2006-03-04,0,0,False,0.0,0.0
2006-03-05,52,52,False,0.52,27.04
2006-03-06,0,0,False,0.0,0.0
2006-03-07,33,33,False,0.33,10.89
2006-03-08,65,65,False,0.65,42.25
2006-03-09,33,33,False,0.33,10.89
2006-03-10,35,35,False,0.35,12.25
2006-03-11,0,0,False,0.0,0.0
2006-03-12,0,0,False,0.0,0.0
2006-03-13,33,33,False,0.33,10.89
2006-03-14,32,32,False,0.32,10.24
2006-03-15,0,0,False,0.0,0.0
2006-03-16,0,0,False,0.0,0.0
2006-03-17,0,0,False,0.0,0.0
2006-03-18,0,0,False,0.0,0.0
2006-03-19,0,0,False,0.0,0.0
2006-03-20,0,0,False,0.0,0.0
2006-03-21,32,32,False,0.32,10.24
2006-03-22,0,0,False,0.0,0.0
2006-03-23,33,33,False,0.33,10.89
2006-03-24,0,0,False,0.0,0.0
2006-03-25,0,0,False,0.0,0.0
2006-03-26,0,0,False,0.0,0.0
2006-03-27,0,0,False,0.0,0.0
2006-03-28,0,0,False,0.0,0.0
2006-03-29,0,0,False,0.0,0.0
2006-03-30,67,67,False,0.67,44.89
2006-03-31,35,35,False,0.35,12.25
2006-04-01,35,35,False,0.35,12.25
2006-04-02,0,0,False,0.0,0.0
2006-04-03,21,21,False,0.21,4.41
2006-04-04,0,0,False,0.0,0.0
2006-04-05,0,0,False,0.0,0.0
2006-04-06,21,21,False,0.21,4.41
2006-04-07,23,23,False,0.23,5.29
2006-04-08,34,34,False,0.34,11.56
2006-04-09,0,0,False,0.0,0.0
2006-04-10,21,21,False,0.21,4.41
2006-04-11,0,0,False,0.0,0.0
2006-04-12,43,43,False,0.43,18.49
2006-04-13,23,23,False,0.23,5.29
2006-04-14,26,26,False,0.26,6.76
2006-04-15,0,0,False,0.0,0.0
2006-04-16,0,0,False,0.0,0.0
2006-04-17,43,43,False,0.43,18.49
2006-04-18,21,21,False,0.21,4.41
2006-04-19,63,63,False,0.63,39.69
2006-04-20,21,21,False,0.21,4.41
2006-04-21,23,23,False,0.23,5.29
2006-04-22,34,34,False,0.34,11.56
2006-04-23,100,100,False,1.0,100.0
2006-04-24,20,20,False,0.2,4.0
2006-04-25,20,20,False,0.2,4.0
2006-04-26,21,21,False,0.21,4.41
2006-04-27,21,21,False,0.21,4.41
2006-04-28,0,0,False,0.0,0.0
2006-04-29,0,0,False,0.0,0.0
2006-04-30,0,0,False,0.0,0.0
2006-05-01,30,30,False,0.3,9.0
2006-05-02,29,29,False,0.29,8.41
2006-05-03,0,0,False,0.0,0.0
2006-05-04,0,0,False,0.0,0.0
2006-05-05,0,0,False,0.0,0.0
2006-05-06,0,0,False,0.0,0.0
2006-05-07,0,0,False,0.0,0.0
2006-05-08,30,30,False,0.3,9.0
2006-05-09,30,30,False,0.3,9.0
2006-05-10,0,0,False,0.0,0.0
2006-05-11,0,0,False,0.0,0.0
2006-05-12,33,33,False,0.33,10.89
2006-05-13,0,0,False,0.0,0.0
2006-05-14,0,0,False,0.0,0.0
2006-05-15,60,60,False,0.6,36.0
2006-05-16,0,0,False,0.0,0.0
2006-05-17,0,0,False,0.0,0.0
2006-05-18,31,31,False,0.31,9.61
2006-05-19,100,100,False,1.0,100.0
2006-05-20,0,0,False,0.0,0.0
2006-05-21,0,0,False,0.0,0.0
2006-05-22,31,31,False,0.31,9.61
2006-05-23,30,30,False,0.3,9.0
2006-05-24,31,31,False,0.31,9.61
2006-05-25,64,64,False,0.64,40.96
2006-05-26,0,0,False,0.0,0.0
2006-05-27,0,0,False,0.0,0.0
2006-05-28,60,60,False,0.6,36.0
2006-05-29,0,0,False,0.0,0.0
2006-05-30,32,32,False,0.32,10.24
2006-05-31,0,0,False,0.0,0.0
2006-06-01,0,0,False,0.0,0.0
2006-06-02,33,33,False,0.33,10.89
2006-06-03,49,49,False,0.49,24.009999999999998
2006-06-04,100,100,False,1.0,100.0
2006-06-05,0,0,False,0.0,0.0
