date,live gold_unscaled,live gold_monthly,isPartial,scale,live gold
2005-11-04,65,65,False,0.65,42.25
2005-11-05,0,0,False,0.0,0.0
2005-11-06,0,0,False,0.0,0.0
2005-11-07,0,0,False,0.0,0.0
2005-11-08,0,0,False,0.0,0.0
2005-11-09,99,99,False,0.99,98.01
2005-11-10,87,87,False,0.87,75.69
2005-11-11,0,0,False,0.0,0.0
2005-11-12,50,50,False,0.5,25.0
2005-11-13,0,0,False,0.0,0.0
2005-11-14,0,0,False,0.0,0.0
2005-11-15,58,58,False,0.58,33.64
2005-11-16,0,0,False,0.0,0.0
2005-11-17,30,30,False,0.3,9.0
2005-11-18,64,64,False,0.64,40.96
2005-11-19,49,49,False,0.49,24.009999999999998
2005-11-20,0,0,False,0.0,0.0
2005-11-21,30,30,False,0.3,9.0
2005-11-22,59,59,False,0.59,34.809999999999995
2005-11-23,69,69,False,0.69,47.61
2005-11-24,0,0,False,0.0,0.0
2005-11-25,95,95,False,0.95,90.25
2005-11-26,100,100,False,1.0,100.0
2005-11-27,95,95,False,0.95,90.25
2005-11-28,57,57,False,0.57,32.489999999999995
2005-11-29,27,27,False,0.27,7.290000000000001
2005-11-30,28,28,False,0.28,7.840000000000001
2005-12-01,51,51,False,0.51,26.01
2005-12-02,81,81,False,0.81,65.61
2005-12-03,40,40,False,0.4,16.0
2005-12-04,0,0,False,0.0,0.0
2005-12-05,0,0,False,0.0,0.0
2005-12-06,49,49,False,0.49,24.009999999999998
2005-12-07,50,50,False,0.5,25.0
2005-12-08,0,0,False,0.0,0.0
2005-12-09,83,83,False,0.83,68.89
2005-12-10,41,41,False,0.41,16.81
2005-12-11,0,0,False,0.0,0.0
2005-12-12,0,0,False,0.0,0.0
2005-12-13,100,100,False,1.0,100.0
2005-12-14,52,52,False,0.52,27.04
2005-12-15,54,54,False,0.54,29.160000000000004
2005-12-16,57,57,False,0.57,32.489999999999995
2005-12-17,0,0,False,0.0,0.0
2005-12-18,0,0,False,0.0,0.0
2005-12-19,55,55,False,0.55,30.250000000000004
2005-12-20,55,55,False,0.55,30.250000000000004
2005-12-21,0,0,False,0.0,0.0
2005-12-22,92,92,False,0.92,84.64
2005-12-23,75,75,False,0.75,56.25
2005-12-24,52,52,False,0.52,27.04
2005-12-25,0,0,False,0.0,0.0
2005-12-26,47,47,False,0.47,22.09
2005-12-27,0,0,False,0.0,0.0
2005-12-28,62,62,False,0.62,38.44
2005-12-29,0,0,False,0.0,0.0
2005-12-30,0,0,False,0.0,0.0
2005-12-31,0,0,False,0.0,0.0
2006-01-01,0,0,False,0.0,0.0
2006-01-02,61,61,False,0.61,37.21
2006-01-03,23,23,False,0.23,5.29
2006-01-04,0,0,False,0.0,0.0
2006-01-05,46,46,False,0.46,21.16
2006-01-06,23,23,False,0.23,5.29
2006-01-07,0,0,False,0.0,0.0
2006-01-08,0,0,False,0.0,0.0
2006-01-09,22,22,False,0.22,4.84
2006-01-10,0,0,False,0.0,0.0
2006-01-11,43,43,False,0.43,18.49
2006-01-12,22,22,False,0.22,4.84
2006-01-13,23,23,False,0.23,5.29
2006-01-14,34,34,False,0.34,11.56
2006-01-15,0,0,False,0.0,0.0
2006-01-16,50,50,False,0.5,25.0
2006-01-17,43,43,False,0.43,18.49
2006-01-18,43,43,False,0.43,18.49
2006-01-19,0,0,False,0.0,0.0
2006-01-20,0,0,False,0.0,0.0
2006-01-21,100,100,False,1.0,100.0
2006-01-22,66,66,False,0.66,43.56
2006-01-23,63,63,False,0.63,39.69
2006-01-24,0,0,False,0.0,0.0
2006-01-25,62,62,False,0.62,38.44
2006-01-26,43,43,False,0.43,18.49
2006-01-27,44,44,False,0.44,19.36
2006-01-28,33,33,False,0.33,10.89
2006-01-29,0,0,False,0.0,0.0
2006-01-30,42,42,False,0.42,17.64
2006-01-31,41,41,False,0.41,16.81
2006-02-01,24,24,False,0.24,5.76
2006-02-02,48,48,False,0.48,23.04
2006-02-03,0,0,False,0.0,0.0
2006-02-04,0,0,False,0.0,0.0
2006-02-05,38,38,False,0.38,14.44
2006-02-06,25,25,False,0.25,6.25
2006-02-07,69,69,False,0.69,47.61
2006-02-08,71,71,False,0.71,50.41
2006-02-09,48,48,False,0.48,23.04
2006-02-10,0,0,False,0.0,0.0
2006-02-11,0,0,False,0.0,0.0
2006-02-12,0,0,False,0.0,0.0
2006-02-13,24,24,False,0.24,5.76
2006-02-14,24,24,False,0.24,5.76
2006-02-15,24,24,False,0.24,5.76
2006-02-16,48,48,False,0.48,23.04
2006-02-17,0,0,False,0.0,0.0
2006-02-18,36,36,False,0.36,12.959999999999999
2006-02-19,0,0,False,0.0,0.0
2006-02-20,79,79,False,0.79,62.410000000000004
2006-02-21,24,24,False,0.24,5.76
2006-02-22,24,24,False,0.24,5.76
2006-02-23,0,0,False,0.0,0.0
2006-02-24,100,100,False,1.0,100.0
2006-02-25,38,38,False,0.38,14.44
2006-02-26,0,0,False,0.0,0.0
2006-02-27,69,69,False,0.69,47.61
2006-02-28,68,68,False,0.68,46.24
2006-03-01,63,63,False,0.63,39.69
2006-03-02,0,0,False,0.0,0.0
2006-03-03,33,33,False,0.33,10.89
2006-03-04,50,50,False,0.5,25.0
2006-03-05,100,100,False,1.0,100.0
2006-03-06,32,32,False,0.32,10.24
2006-03-07,62,62,False,0.62,38.44
2006-03-08,0,0,False,0.0,0.0
2006-03-09,0,0,False,0.0,0.0
2006-03-10,34,34,False,0.34,11.56
2006-03-11,0,0,False,0.0,0.0
2006-03-12,50,50,False,0.5,25.0
2006-03-13,0,0,False,0.0,0.0
2006-03-14,0,0,False,0.0,0.0
2006-03-15,0,0,False,0.0,0.0
2006-03-16,32,32,False,0.32,10.24
2006-03-17,0,0,False,0.0,0.0
2006-03-18,0,0,False,0.0,0.0
2006-03-19,0,0,False,0.0,0.0
2006-03-20,0,0,False,0.0,0.0
2006-03-21,30,30,False,0.3,9.0
2006-03-22,31,31,False,0.31,9.61
2006-03-23,31,31,False,0.31,9.61
2006-03-24,66,66,False,0.66,43.56
2006-03-25,0,0,False,0.0,0.0
2006-03-26,49,49,False,0.49,24.009999999999998
2006-03-27,0,0,False,0.0,0.0
2006-03-28,60,60,False,0.6,36.0
2006-03-29,0,0,False,0.0,0.0
2006-03-30,0,0,False,0.0,0.0
2006-03-31,34,34,False,0.34,11.56
2006-04-01,0,0,False,0.0,0.0
2006-04-02,56,56,False,0.56,31.360000000000003
2006-04-03,70,70,False,0.7,49.0
2006-04-04,34,34,False,0.34,11.56
2006-04-05,35,35,False,0.35,12.25
2006-04-06,69,69,False,0.69,47.61
2006-04-07,37,37,False,0.37,13.69
2006-04-08,0,0,False,0.0,0.0
2006-04-09,56,56,False,0.56,31.360000000000003
2006-04-10,35,35,False,0.35,12.25
2006-04-11,69,69,False,0.69,47.61
2006-04-12,35,35,False,0.35,12.25
2006-04-13,36,36,False,0.36,12.959999999999999
2006-04-14,0,0,False,0.0,0.0
2006-04-15,58,58,False,0.58,33.64
2006-04-16,61,61,False,0.61,37.21
2006-04-17,0,0,False,0.0,0.0
2006-04-18,67,67,False,0.67,44.89
2006-04-19,68,68,False,0.68,46.24
2006-04-20,34,34,False,0.34,11.56
2006-04-21,0,0,False,0.0,0.0
2006-04-22,0,0,False,0.0,0.0
2006-04-23,0,0,False,0.0,0.0
2006-04-24,0,0,False,0.0,0.0
2006-04-25,33,33,False,0.33,10.89
2006-04-26,100,100,False,1.0,100.0
2006-04-27,34,34,False,0.34,11.56
2006-04-28,74,74,False,0.74,54.76
2006-04-29,0,0,False,0.0,0.0
2006-04-30,0,0,False,0.0,0.0
2006-05-01,0,0,False,0.0,0.0
2006-05-02,0,0,False,0.0,0.0
2006-05-03,36,36,False,0.36,12.959999999999999
2006-05-04,55,55,False,0.55,30.250000000000004
2006-05-05,79,79,False,0.79,62.410000000000004
2006-05-06,0,0,False,0.0,0.0
2006-05-07,60,60,False,0.6,36.0
2006-05-08,18,18,False,0.18,3.2399999999999998
2006-05-09,18,18,False,0.18,3.2399999999999998
2006-05-10,18,18,False,0.18,3.2399999999999998
2006-05-11,36,36,False,0.36,12.959999999999999
2006-05-12,0,0,False,0.0,0.0
2006-05-13,0,0,False,0.0,0.0
2006-05-14,62,62,False,0.62,38.44
2006-05-15,0,0,False,0.0,0.0
2006-05-16,53,53,False,0.53,28.09
2006-05-17,18,18,False,0.18,3.2399999999999998
2006-05-18,55,55,False,0.55,30.250000000000004
2006-05-19,40,40,False,0.4,16.0
2006-05-20,0,0,False,0.0,0.0
2006-05-21,31,31,False,0.31,9.61
2006-05-22,19,19,False,0.19,3.61
2006-05-23,18,18,False,0.18,3.2399999999999998
2006-05-24,0,0,False,0.0,0.0
2006-05-25,19,19,False,0.19,3.61
2006-05-26,21,21,False,0.21,4.41
2006-05-27,100,100,False,1.0,100.0
2006-05-28,36,36,False,0.36,12.959999999999999
2006-05-29,30,30,False,0.3,9.0
2006-05-30,38,38,False,0.38,14.44
2006-05-31,19,19,False,0.19,3.61
2006-06-01,38,38,False,0.38,14.44
2006-06-02,100,100,False,1.0,100.0
2006-06-03,0,0,False,0.0,0.0
2006-06-04,30,30,False,0.3,9.0
2006-06-05,74,74,False,0.74,54.76
2006-06-06,36,36,False,0.36,12.959999999999999
2006-06-07,18,18,False,0.18,3.2399999999999998
2006-06-08,0,0,False,0.0,0.0
2006-06-09,0,0,False,0.0,0.0
2006-06-10,60,60,False,0.6,36.0
2006-06-11,61,61,False,0.61,37.21
2006-06-12,0,0,False,0.0,0.0
2006-06-13,0,0,False,0.0,0.0
2006-06-14,95,95,False,0.95,90.25
2006-06-15,20,20,False,0.2,4.0
2006-06-16,42,42,False,0.42,17.64
2006-06-17,0,0,False,0.0,0.0
2006-06-18,0,0,False,0.0,0.0
2006-06-19,38,38,False,0.38,14.44
2006-06-20,19,19,False,0.19,3.61
2006-06-21,0,0,False,0.0,0.0
2006-06-22,0,0,False,0.0,0.0
2006-06-23,40,40,False,0.4,16.0
2006-06-24,0,0,False,0.0,0.0
2006-06-25,0,0,False,0.0,0.0
2006-06-26,0,0,False,0.0,0.0
2006-06-27,18,18,False,0.18,3.2399999999999998
2006-06-28,19,19,False,0.19,3.61
2006-06-29,0,0,False,0.0,0.0
2006-06-30,21,21,False,0.21,4.41
2006-07-01,36,36,False,0.36,12.959999999999999
2006-07-02,38,38,False,0.38,14.44
2006-07-03,0,0,False,0.0,0.0
2006-07-04,33,33,False,0.33,10.89
2006-07-05,0,0,False,0.0,0.0
2006-07-06,86,86,False,0.86,73.96
2006-07-07,0,0,False,0.0,0.0
2006-07-08,34,34,False,0.34,11.56
2006-07-09,0,0,False,0.0,0.0
2006-07-10,21,21,False,0.21,4.41
2006-07-11,21,21,False,0.21,4.41
2006-07-12,21,21,False,0.21,4.41
2006-07-13,0,0,False,0.0,0.0
2006-07-14,47,47,False,0.47,22.09
2006-07-15,0,0,False,0.0,0.0
2006-07-16,0,0,False,0.0,0.0
2006-07-17,0,0,False,0.0,0.0
2006-07-18,21,21,False,0.21,4.41
2006-07-19,85,85,False,0.85,72.25
2006-07-20,0,0,False,0.0,0.0
2006-07-21,45,45,False,0.45,20.25
2006-07-22,33,33,False,0.33,10.89
2006-07-23,0,0,False,0.0,0.0
2006-07-24,21,21,False,0.21,4.41
2006-07-25,21,21,False,0.21,4.41
2006-07-26,0,0,False,0.0,0.0
