date,subsidy_unscaled,subsidy_monthly,isPartial,scale,subsidy
2005-07-28,0,0,False,0.0,0.0
2005-07-29,32,32,False,0.32,10.24
2005-07-30,50,50,False,0.5,25.0
2005-07-31,77,77,False,0.77,59.29
2005-08-01,21,21,False,0.21,4.41
2005-08-02,0,0,False,0.0,0.0
2005-08-03,61,61,False,0.61,37.21
2005-08-04,21,21,False,0.21,4.41
2005-08-05,88,88,False,0.88,77.44
2005-08-06,0,0,False,0.0,0.0
2005-08-07,0,0,False,0.0,0.0
2005-08-08,40,40,False,0.4,16.0
2005-08-09,20,20,False,0.2,4.0
2005-08-10,20,20,False,0.2,4.0
2005-08-11,41,41,False,0.41,16.81
2005-08-12,22,22,False,0.22,4.84
2005-08-13,100,100,False,1.0,100.0
2005-08-14,0,0,False,0.0,0.0
2005-08-15,20,20,False,0.2,4.0
2005-08-16,59,59,False,0.59,34.809999999999995
2005-08-17,0,0,False,0.0,0.0
2005-08-18,62,62,False,0.62,38.44
2005-08-19,43,43,False,0.43,18.49
2005-08-20,0,0,False,0.0,0.0
2005-08-21,65,65,False,0.65,42.25
2005-08-22,20,20,False,0.2,4.0
2005-08-23,39,39,False,0.39,15.21
2005-08-24,0,0,False,0.0,0.0
2005-08-25,26,26,False,0.26,6.76
2005-08-26,0,0,False,0.0,0.0
2005-08-27,32,32,False,0.32,10.24
2005-08-28,31,31,False,0.31,9.61
2005-08-29,19,19,False,0.19,3.61
2005-08-30,0,0,False,0.0,0.0
2005-08-31,38,38,False,0.38,14.44
2005-09-01,45,45,False,0.45,20.25
2005-09-02,0,0,False,0.0,0.0
2005-09-03,0,0,False,0.0,0.0
2005-09-04,0,0,False,0.0,0.0
2005-09-05,33,33,False,0.33,10.89
2005-09-06,43,43,False,0.43,18.49
2005-09-07,42,42,False,0.42,17.64
2005-09-08,43,43,False,0.43,18.49
2005-09-09,45,45,False,0.45,20.25
2005-09-10,0,0,False,0.0,0.0
2005-09-11,0,0,False,0.0,0.0
2005-09-12,21,21,False,0.21,4.41
2005-09-13,21,21,False,0.21,4.41
2005-09-14,41,41,False,0.41,16.81
2005-09-15,42,42,False,0.42,17.64
2005-09-16,22,22,False,0.22,4.84
2005-09-17,0,0,False,0.0,0.0
2005-09-18,100,100,False,1.0,100.0
2005-09-19,0,0,False,0.0,0.0
2005-09-20,20,20,False,0.2,4.0
2005-09-21,0,0,False,0.0,0.0
2005-09-22,0,0,False,0.0,0.0
2005-09-23,45,45,False,0.45,20.25
2005-09-24,0,0,False,0.0,0.0
2005-09-25,0,0,False,0.0,0.0
2005-09-26,20,20,False,0.2,4.0
2005-09-27,20,20,False,0.2,4.0
2005-09-28,20,20,False,0.2,4.0
2005-09-29,21,21,False,0.21,4.41
2005-09-30,0,0,False,0.0,0.0
2005-10-01,0,0,False,0.0,0.0
2005-10-02,38,38,False,0.38,14.44
2005-10-03,23,23,False,0.23,5.29
2005-10-04,44,44,False,0.44,19.36
2005-10-05,56,56,False,0.56,31.360000000000003
2005-10-06,34,34,False,0.34,11.56
2005-10-07,49,49,False,0.49,24.009999999999998
2005-10-08,0,0,False,0.0,0.0
2005-10-09,37,37,False,0.37,13.69
2005-10-10,23,23,False,0.23,5.29
2005-10-11,33,33,False,0.33,10.89
2005-10-12,67,67,False,0.67,44.89
2005-10-13,0,0,False,0.0,0.0
2005-10-14,24,24,False,0.24,5.76
2005-10-15,0,0,False,0.0,0.0
2005-10-16,37,37,False,0.37,13.69
2005-10-17,100,100,False,1.0,100.0
2005-10-18,54,54,False,0.54,29.160000000000004
2005-10-19,33,33,False,0.33,10.89
2005-10-20,67,67,False,0.67,44.89
2005-10-21,36,36,False,0.36,12.959999999999999
2005-10-22,37,37,False,0.37,13.69
2005-10-23,71,71,False,0.71,50.41
2005-10-24,44,44,False,0.44,19.36
2005-10-25,54,54,False,0.54,29.160000000000004
2005-10-26,33,33,False,0.33,10.89
2005-10-27,34,34,False,0.34,11.56
2005-10-28,85,85,False,0.85,72.25
2005-10-29,0,0,False,0.0,0.0
2005-10-30,37,37,False,0.37,13.69
2005-10-31,0,0,False,0.0,0.0
2005-11-01,84,84,False,0.84,70.56
2005-11-02,71,71,False,0.71,50.41
2005-11-03,24,24,False,0.24,5.76
2005-11-04,51,51,False,0.51,26.01
2005-11-05,39,39,False,0.39,15.21
2005-11-06,0,0,False,0.0,0.0
2005-11-07,23,23,False,0.23,5.29
2005-11-08,34,34,False,0.34,11.56
2005-11-09,0,0,False,0.0,0.0
2005-11-10,33,33,False,0.33,10.89
2005-11-11,53,53,False,0.53,28.09
2005-11-12,37,37,False,0.37,13.69
2005-11-13,56,56,False,0.56,31.360000000000003
2005-11-14,23,23,False,0.23,5.29
2005-11-15,43,43,False,0.43,18.49
2005-11-16,66,66,False,0.66,43.56
2005-11-17,35,35,False,0.35,12.25
2005-11-18,100,100,False,1.0,100.0
2005-11-19,37,37,False,0.37,13.69
2005-11-20,73,73,False,0.73,53.29
2005-11-21,70,70,False,0.7,49.0
2005-11-22,57,57,False,0.57,32.489999999999995
2005-11-23,39,39,False,0.39,15.21
2005-11-24,41,41,False,0.41,16.81
2005-11-25,75,75,False,0.75,56.25
2005-11-26,0,0,False,0.0,0.0
2005-11-27,37,37,False,0.37,13.69
2005-11-28,22,22,False,0.22,4.84
2005-11-29,62,62,False,0.62,38.44
2005-11-30,54,54,False,0.54,29.160000000000004
2005-12-01,71,71,False,0.71,50.41
2005-12-02,43,43,False,0.43,18.49
2005-12-03,32,32,False,0.32,10.24
2005-12-04,32,32,False,0.32,10.24
2005-12-05,40,40,False,0.4,16.0
2005-12-06,39,39,False,0.39,15.21
2005-12-07,40,40,False,0.4,16.0
2005-12-08,20,20,False,0.2,4.0
2005-12-09,65,65,False,0.65,42.25
2005-12-10,32,32,False,0.32,10.24
2005-12-11,65,65,False,0.65,42.25
2005-12-12,41,41,False,0.41,16.81
2005-12-13,40,40,False,0.4,16.0
2005-12-14,62,62,False,0.62,38.44
2005-12-15,42,42,False,0.42,17.64
2005-12-16,34,34,False,0.34,11.56
2005-12-17,67,67,False,0.67,44.89
2005-12-18,35,35,False,0.35,12.25
2005-12-19,44,44,False,0.44,19.36
2005-12-20,22,22,False,0.22,4.84
2005-12-21,57,57,False,0.57,32.489999999999995
2005-12-22,24,24,False,0.24,5.76
2005-12-23,59,59,False,0.59,34.809999999999995
2005-12-24,41,41,False,0.41,16.81
2005-12-25,100,100,False,1.0,100.0
2005-12-26,0,0,False,0.0,0.0
2005-12-27,78,78,False,0.78,60.84
2005-12-28,50,50,False,0.5,25.0
2005-12-29,37,37,False,0.37,13.69
2005-12-30,80,80,False,0.8,64.0
2005-12-31,0,0,False,0.0,0.0
2006-01-01,45,45,False,0.45,20.25
2006-01-02,62,62,False,0.62,38.44
2006-01-03,70,70,False,0.7,49.0
2006-01-04,45,45,False,0.45,20.25
2006-01-05,46,46,False,0.46,21.16
2006-01-06,59,59,False,0.59,34.809999999999995
2006-01-07,35,35,False,0.35,12.25
2006-01-08,71,71,False,0.71,50.41
2006-01-09,22,22,False,0.22,4.84
2006-01-10,22,22,False,0.22,4.84
2006-01-11,22,22,False,0.22,4.84
2006-01-12,44,44,False,0.44,19.36
2006-01-13,35,35,False,0.35,12.25
2006-01-14,67,67,False,0.67,44.89
2006-01-15,53,53,False,0.53,28.09
2006-01-16,25,25,False,0.25,6.25
2006-01-17,22,22,False,0.22,4.84
2006-01-18,54,54,False,0.54,29.160000000000004
2006-01-19,55,55,False,0.55,30.250000000000004
2006-01-20,34,34,False,0.34,11.56
2006-01-21,50,50,False,0.5,25.0
2006-01-22,66,66,False,0.66,43.56
2006-01-23,42,42,False,0.42,17.64
2006-01-24,31,31,False,0.31,9.61
2006-01-25,32,32,False,0.32,10.24
2006-01-26,22,22,False,0.22,4.84
2006-01-27,45,45,False,0.45,20.25
2006-01-28,100,100,False,1.0,100.0
2006-01-29,33,33,False,0.33,10.89
2006-01-30,42,42,False,0.42,17.64
2006-01-31,61,61,False,0.61,37.21
2006-02-01,34,34,False,0.34,11.56
2006-02-02,34,34,False,0.34,11.56
2006-02-03,48,48,False,0.48,23.04
2006-02-04,35,35,False,0.35,12.25
2006-02-05,36,36,False,0.36,12.959999999999999
2006-02-06,35,35,False,0.35,12.25
2006-02-07,100,100,False,1.0,100.0
2006-02-08,44,44,False,0.44,19.36
2006-02-09,46,46,False,0.46,21.16
2006-02-10,48,48,False,0.48,23.04
2006-02-11,0,0,False,0.0,0.0
2006-02-12,0,0,False,0.0,0.0
2006-02-13,0,0,False,0.0,0.0
2006-02-14,34,34,False,0.34,11.56
2006-02-15,58,58,False,0.58,33.64
2006-02-16,92,92,False,0.92,84.64
2006-02-17,48,48,False,0.48,23.04
2006-02-18,87,87,False,0.87,75.69
2006-02-19,36,36,False,0.36,12.959999999999999
2006-02-20,50,50,False,0.5,25.0
2006-02-21,56,56,False,0.56,31.360000000000003
2006-02-22,0,0,False,0.0,0.0
2006-02-23,22,22,False,0.22,4.84
2006-02-24,36,36,False,0.36,12.959999999999999
2006-02-25,73,73,False,0.73,53.29
2006-02-26,36,36,False,0.36,12.959999999999999
2006-02-27,44,44,False,0.44,19.36
2006-02-28,43,43,False,0.43,18.49
2006-03-01,49,49,False,0.49,24.009999999999998
2006-03-02,20,20,False,0.2,4.0
2006-03-03,20,20,False,0.2,4.0
2006-03-04,77,77,False,0.77,59.29
2006-03-05,30,30,False,0.3,9.0
2006-03-06,19,19,False,0.19,3.61
2006-03-07,29,29,False,0.29,8.41
2006-03-08,19,19,False,0.19,3.61
2006-03-09,39,39,False,0.39,15.21
2006-03-10,42,42,False,0.42,17.64
2006-03-11,31,31,False,0.31,9.61
2006-03-12,63,63,False,0.63,39.69
2006-03-13,100,100,False,1.0,100.0
2006-03-14,38,38,False,0.38,14.44
2006-03-15,39,39,False,0.39,15.21
2006-03-16,90,90,False,0.9,81.0
2006-03-17,32,32,False,0.32,10.24
2006-03-18,0,0,False,0.0,0.0
2006-03-19,45,45,False,0.45,20.25
2006-03-20,19,19,False,0.19,3.61
2006-03-21,38,38,False,0.38,14.44
2006-03-22,67,67,False,0.67,44.89
2006-03-23,38,38,False,0.38,14.44
2006-03-24,52,52,False,0.52,27.04
2006-03-25,46,46,False,0.46,21.16
2006-03-26,61,61,False,0.61,37.21
2006-03-27,39,39,False,0.39,15.21
2006-03-28,38,38,False,0.38,14.44
2006-03-29,19,19,False,0.19,3.61
2006-03-30,39,39,False,0.39,15.21
2006-03-31,21,21,False,0.21,4.41
2006-04-01,64,64,False,0.64,40.96
2006-04-02,32,32,False,0.32,10.24
2006-04-03,20,20,False,0.2,4.0
2006-04-04,38,38,False,0.38,14.44
2006-04-05,0,0,False,0.0,0.0
2006-04-06,60,60,False,0.6,36.0
2006-04-07,21,21,False,0.21,4.41
2006-04-08,62,62,False,0.62,38.44
2006-04-09,97,97,False,0.97,94.09
2006-04-10,79,79,False,0.79,62.410000000000004
2006-04-11,20,20,False,0.2,4.0
2006-04-12,59,59,False,0.59,34.809999999999995
2006-04-13,21,21,False,0.21,4.41
2006-04-14,47,47,False,0.47,22.09
2006-04-15,0,0,False,0.0,0.0
2006-04-16,0,0,False,0.0,0.0
2006-04-17,100,100,False,1.0,100.0
2006-04-18,20,20,False,0.2,4.0
2006-04-19,98,98,False,0.98,96.03999999999999
2006-04-20,0,0,False,0.0,0.0
2006-04-21,64,64,False,0.64,40.96
2006-04-22,31,31,False,0.31,9.61
2006-04-23,31,31,False,0.31,9.61
2006-04-24,38,38,False,0.38,14.44
2006-04-25,37,37,False,0.37,13.69
2006-04-26,38,38,False,0.38,14.44
2006-04-27,59,59,False,0.59,34.809999999999995
2006-04-28,42,42,False,0.42,17.64
2006-04-29,64,64,False,0.64,40.96
2006-04-30,63,63,False,0.63,39.69
2006-05-01,44,44,False,0.44,19.36
2006-05-02,42,42,False,0.42,17.64
2006-05-03,64,64,False,0.64,40.96
2006-05-04,66,66,False,0.66,43.56
2006-05-05,24,24,False,0.24,5.76
2006-05-06,74,74,False,0.74,54.76
2006-05-07,72,72,False,0.72,51.839999999999996
2006-05-08,43,43,False,0.43,18.49
2006-05-09,32,32,False,0.32,10.24
2006-05-10,43,43,False,0.43,18.49
2006-05-11,22,22,False,0.22,4.84
2006-05-12,47,47,False,0.47,22.09
2006-05-13,37,37,False,0.37,13.69
2006-05-14,56,56,False,0.56,31.360000000000003
2006-05-15,32,32,False,0.32,10.24
2006-05-16,54,54,False,0.54,29.160000000000004
2006-05-17,22,22,False,0.22,4.84
2006-05-18,34,34,False,0.34,11.56
2006-05-19,84,84,False,0.84,70.56
2006-05-20,38,38,False,0.38,14.44
2006-05-21,75,75,False,0.75,56.25
2006-05-22,44,44,False,0.44,19.36
2006-05-23,65,65,False,0.65,42.25
2006-05-24,100,100,False,1.0,100.0
2006-05-25,23,23,False,0.23,5.29
2006-05-26,25,25,False,0.25,6.25
2006-05-27,0,0,False,0.0,0.0
2006-05-28,85,85,False,0.85,72.25
2006-05-29,54,54,False,0.54,29.160000000000004
2006-05-30,79,79,False,0.79,62.410000000000004
2006-05-31,90,90,False,0.9,81.0
2006-06-01,25,25,False,0.25,6.25
2006-06-02,0,0,False,0.0,0.0
2006-06-03,40,40,False,0.4,16.0
2006-06-04,0,0,False,0.0,0.0
2006-06-05,25,25,False,0.25,6.25
2006-06-06,86,86,False,0.86,73.96
2006-06-07,50,50,False,0.5,25.0
2006-06-08,76,76,False,0.76,57.76
2006-06-09,54,54,False,0.54,29.160000000000004
2006-06-10,41,41,False,0.41,16.81
2006-06-11,0,0,False,0.0,0.0
2006-06-12,63,63,False,0.63,39.69
2006-06-13,75,75,False,0.75,56.25
2006-06-14,25,25,False,0.25,6.25
2006-06-15,52,52,False,0.52,27.04
2006-06-16,56,56,False,0.56,31.360000000000003
2006-06-17,64,64,False,0.64,40.96
2006-06-18,0,0,False,0.0,0.0
2006-06-19,52,52,False,0.52,27.04
2006-06-20,38,38,False,0.38,14.44
2006-06-21,52,52,False,0.52,27.04
2006-06-22,51,51,False,0.51,26.01
2006-06-23,27,27,False,0.27,7.290000000000001
2006-06-24,100,100,False,1.0,100.0
2006-06-25,40,40,False,0.4,16.0
2006-06-26,49,49,False,0.49,24.009999999999998
2006-06-27,74,74,False,0.74,54.76
2006-06-28,50,50,False,0.5,25.0
2006-06-29,52,52,False,0.52,27.04
2006-06-30,28,28,False,0.28,7.840000000000001
2006-07-01,29,29,False,0.29,8.41
2006-07-02,0,0,False,0.0,0.0
2006-07-03,22,22,False,0.22,4.84
2006-07-04,27,27,False,0.27,7.290000000000001
2006-07-05,37,37,False,0.37,13.69
2006-07-06,35,35,False,0.35,12.25
2006-07-07,28,28,False,0.28,7.840000000000001
2006-07-08,27,27,False,0.27,7.290000000000001
2006-07-09,29,29,False,0.29,8.41
2006-07-10,26,26,False,0.26,6.76
2006-07-11,25,25,False,0.25,6.25
2006-07-12,25,25,False,0.25,6.25
2006-07-13,35,35,False,0.35,12.25
2006-07-14,46,46,False,0.46,21.16
2006-07-15,41,41,False,0.41,16.81
2006-07-16,28,28,False,0.28,7.840000000000001
2006-07-17,17,17,False,0.17,2.89
2006-07-18,34,34,False,0.34,11.56
2006-07-19,34,34,False,0.34,11.56
2006-07-20,43,43,False,0.43,18.49
2006-07-21,28,28,False,0.28,7.840000000000001
2006-07-22,40,40,False,0.4,16.0
2006-07-23,0,0,False,0.0,0.0
2006-07-24,100,100,False,1.0,100.0
2006-07-25,34,34,False,0.34,11.56
2006-07-26,25,25,False,0.25,6.25
2006-07-27,51,51,False,0.51,26.01
2006-07-28,18,18,False,0.18,3.2399999999999998
2006-07-29,80,80,False,0.8,64.0
2006-07-30,27,27,False,0.27,7.290000000000001
2006-07-31,25,25,False,0.25,6.25
2006-08-01,26,26,False,0.26,6.76
2006-08-02,76,76,False,0.76,57.76
2006-08-03,66,66,False,0.66,43.56
2006-08-04,43,43,False,0.43,18.49
2006-08-05,83,83,False,0.83,68.89
2006-08-06,42,42,False,0.42,17.64
2006-08-07,26,26,False,0.26,6.76
2006-08-08,51,51,False,0.51,26.01
2006-08-09,51,51,False,0.51,26.01
2006-08-10,78,78,False,0.78,60.84
2006-08-11,83,83,False,0.83,68.89
2006-08-12,41,41,False,0.41,16.81
