date,the deficit_unscaled,the deficit_monthly,isPartial,scale,the deficit
2005-11-06,0,0,False,0.0,0.0
2005-11-07,0,0,False,0.0,0.0
2005-11-08,100,100,False,1.0,100.0
2005-11-09,0,0,False,0.0,0.0
2005-11-10,37,37,False,0.37,13.69
2005-11-11,29,29,False,0.29,8.41
2005-11-12,0,0,False,0.0,0.0
2005-11-13,0,0,False,0.0,0.0
2005-11-14,25,25,False,0.25,6.25
2005-11-15,74,74,False,0.74,54.76
2005-11-16,49,49,False,0.49,24.009999999999998
2005-11-17,26,26,False,0.26,6.76
2005-11-18,27,27,False,0.27,7.290000000000001
2005-11-19,0,0,False,0.0,0.0
2005-11-20,42,42,False,0.42,17.64
2005-11-21,0,0,False,0.0,0.0
2005-11-22,51,51,False,0.51,26.01
2005-11-23,0,0,False,0.0,0.0
2005-11-24,0,0,False,0.0,0.0
2005-11-25,0,0,False,0.0,0.0
2005-11-26,0,0,False,0.0,0.0
2005-11-27,0,0,False,0.0,0.0
2005-11-28,0,0,False,0.0,0.0
2005-11-29,23,23,False,0.23,5.29
2005-11-30,0,0,False,0.0,0.0
2005-12-01,33,33,False,0.33,10.89
2005-12-02,35,35,False,0.35,12.25
2005-12-03,0,0,False,0.0,0.0
2005-12-04,0,0,False,0.0,0.0
2005-12-05,0,0,False,0.0,0.0
2005-12-06,0,0,False,0.0,0.0
2005-12-07,65,65,False,0.65,42.25
2005-12-08,34,34,False,0.34,11.56
2005-12-09,35,35,False,0.35,12.25
2005-12-10,0,0,False,0.0,0.0
2005-12-11,53,53,False,0.53,28.09
2005-12-12,0,0,False,0.0,0.0
2005-12-13,0,0,False,0.0,0.0
2005-12-14,100,100,False,1.0,100.0
2005-12-15,0,0,False,0.0,0.0
2005-12-16,37,37,False,0.37,13.69
2005-12-17,0,0,False,0.0,0.0
2005-12-18,0,0,False,0.0,0.0
2005-12-19,36,36,False,0.36,12.959999999999999
2005-12-20,0,0,False,0.0,0.0
2005-12-21,0,0,False,0.0,0.0
2005-12-22,40,40,False,0.4,16.0
2005-12-23,47,47,False,0.47,22.09
2005-12-24,0,0,False,0.0,0.0
2005-12-25,82,82,False,0.82,67.24
2005-12-26,0,0,False,0.0,0.0
2005-12-27,0,0,False,0.0,0.0
2005-12-28,41,41,False,0.41,16.81
2005-12-29,0,0,False,0.0,0.0
2005-12-30,0,0,False,0.0,0.0
2005-12-31,57,57,False,0.57,32.489999999999995
2006-01-01,0,0,False,0.0,0.0
2006-01-02,0,0,False,0.0,0.0
2006-01-03,36,36,False,0.36,12.959999999999999
2006-01-04,0,0,False,0.0,0.0
2006-01-05,0,0,False,0.0,0.0
2006-01-06,0,0,False,0.0,0.0
2006-01-07,0,0,False,0.0,0.0
2006-01-08,0,0,False,0.0,0.0
2006-01-09,0,0,False,0.0,0.0
2006-01-10,34,34,False,0.34,11.56
2006-01-11,0,0,False,0.0,0.0
2006-01-12,0,0,False,0.0,0.0
2006-01-13,0,0,False,0.0,0.0
2006-01-14,0,0,False,0.0,0.0
2006-01-15,0,0,False,0.0,0.0
2006-01-16,0,0,False,0.0,0.0
2006-01-17,33,33,False,0.33,10.89
2006-01-18,0,0,False,0.0,0.0
2006-01-19,34,34,False,0.34,11.56
2006-01-20,35,35,False,0.35,12.25
2006-01-21,0,0,False,0.0,0.0
2006-01-22,0,0,False,0.0,0.0
2006-01-23,0,0,False,0.0,0.0
2006-01-24,0,0,False,0.0,0.0
2006-01-25,0,0,False,0.0,0.0
2006-01-26,100,100,False,1.0,100.0
2006-01-27,69,69,False,0.69,47.61
2006-01-28,0,0,False,0.0,0.0
2006-01-29,0,0,False,0.0,0.0
2006-01-30,65,65,False,0.65,42.25
2006-01-31,63,63,False,0.63,39.69
2006-02-01,100,100,False,1.0,100.0
2006-02-02,0,0,False,0.0,0.0
2006-02-03,0,0,False,0.0,0.0
2006-02-04,0,0,False,0.0,0.0
2006-02-05,0,0,False,0.0,0.0
2006-02-06,52,52,False,0.52,27.04
2006-02-07,0,0,False,0.0,0.0
2006-02-08,49,49,False,0.49,24.009999999999998
2006-02-09,49,49,False,0.49,24.009999999999998
2006-02-10,0,0,False,0.0,0.0
2006-02-11,0,0,False,0.0,0.0
2006-02-12,75,75,False,0.75,56.25
2006-02-13,99,99,False,0.99,98.01
2006-02-14,0,0,False,0.0,0.0
2006-02-15,0,0,False,0.0,0.0
2006-02-16,0,0,False,0.0,0.0
2006-02-17,0,0,False,0.0,0.0
2006-02-18,0,0,False,0.0,0.0
2006-02-19,79,79,False,0.79,62.410000000000004
2006-02-20,55,55,False,0.55,30.250000000000004
2006-02-21,49,49,False,0.49,24.009999999999998
2006-02-22,49,49,False,0.49,24.009999999999998
2006-02-23,100,100,False,1.0,100.0
2006-02-24,0,0,False,0.0,0.0
2006-02-25,80,80,False,0.8,64.0
2006-02-26,0,0,False,0.0,0.0
2006-02-27,0,0,False,0.0,0.0
2006-02-28,95,95,False,0.95,90.25
2006-03-01,46,46,False,0.46,21.16
2006-03-02,0,0,False,0.0,0.0
2006-03-03,0,0,False,0.0,0.0
2006-03-04,0,0,False,0.0,0.0
2006-03-05,0,0,False,0.0,0.0
2006-03-06,46,46,False,0.46,21.16
2006-03-07,0,0,False,0.0,0.0
2006-03-08,0,0,False,0.0,0.0
2006-03-09,94,94,False,0.94,88.36
2006-03-10,0,0,False,0.0,0.0
2006-03-11,0,0,False,0.0,0.0
2006-03-12,0,0,False,0.0,0.0
2006-03-13,47,47,False,0.47,22.09
2006-03-14,46,46,False,0.46,21.16
2006-03-15,0,0,False,0.0,0.0
2006-03-16,47,47,False,0.47,22.09
2006-03-17,51,51,False,0.51,26.01
2006-03-18,0,0,False,0.0,0.0
2006-03-19,0,0,False,0.0,0.0
2006-03-20,0,0,False,0.0,0.0
