date,profit_unscaled,profit_monthly,isPartial,scale,profit
2005-09-18,64,64,False,0.64,40.96
2005-09-19,89,89,False,0.89,79.21000000000001
2005-09-20,90,90,False,0.9,81.0
2005-09-21,49,49,False,0.49,24.009999999999998
2005-09-22,61,61,False,0.61,37.21
2005-09-23,48,48,False,0.48,23.04
2005-09-24,33,33,False,0.33,10.89
2005-09-25,64,64,False,0.64,40.96
2005-09-26,94,94,False,0.94,88.36
2005-09-27,78,78,False,0.78,60.84
2005-09-28,100,100,False,1.0,100.0
2005-09-29,78,78,False,0.78,60.84
2005-09-30,70,70,False,0.7,49.0
2005-10-01,49,49,False,0.49,24.009999999999998
2005-10-02,38,38,False,0.38,14.44
2005-10-03,79,79,False,0.79,62.410000000000004
2005-10-04,61,61,False,0.61,37.21
2005-10-05,75,75,False,0.75,56.25
2005-10-06,100,100,False,1.0,100.0
2005-10-07,50,50,False,0.5,25.0
2005-10-08,50,50,False,0.5,25.0
2005-10-09,59,59,False,0.59,34.809999999999995
2005-10-10,84,84,False,0.84,70.56
2005-10-11,83,83,False,0.83,68.89
2005-10-12,66,66,False,0.66,43.56
2005-10-13,67,67,False,0.67,44.89
2005-10-14,71,71,False,0.71,50.41
2005-10-15,56,56,False,0.56,31.360000000000003
2005-10-16,33,33,False,0.33,10.89
2005-10-17,83,83,False,0.83,68.89
2005-10-18,74,74,False,0.74,54.76
2005-10-19,72,72,False,0.72,51.839999999999996
2005-10-20,83,83,False,0.83,68.89
2005-10-21,91,91,False,0.91,82.81
2005-10-22,21,21,False,0.21,4.41
2005-10-23,72,72,False,0.72,51.839999999999996
2005-10-24,79,79,False,0.79,62.410000000000004
2005-10-25,93,93,False,0.93,86.49000000000001
2005-10-26,89,89,False,0.89,79.21000000000001
2005-10-27,73,73,False,0.73,53.29
2005-10-28,58,58,False,0.58,33.64
2005-10-29,50,50,False,0.5,25.0
2005-10-30,42,42,False,0.42,17.64
2005-10-31,64,64,False,0.64,40.96
2005-11-01,78,78,False,0.78,60.84
2005-11-02,68,68,False,0.68,46.24
2005-11-03,68,68,False,0.68,46.24
2005-11-04,57,57,False,0.57,32.489999999999995
2005-11-05,56,56,False,0.56,31.360000000000003
2005-11-06,35,35,False,0.35,12.25
2005-11-07,69,69,False,0.69,47.61
2005-11-08,62,62,False,0.62,38.44
2005-11-09,78,78,False,0.78,60.84
2005-11-10,100,100,False,1.0,100.0
2005-11-11,54,54,False,0.54,29.160000000000004
2005-11-12,36,36,False,0.36,12.959999999999999
2005-11-13,47,47,False,0.47,22.09
2005-11-14,59,59,False,0.59,34.809999999999995
2005-11-15,74,74,False,0.74,54.76
2005-11-16,58,58,False,0.58,33.64
2005-11-17,74,74,False,0.74,54.76
2005-11-18,66,66,False,0.66,43.56
2005-11-19,39,39,False,0.39,15.21
2005-11-20,58,58,False,0.58,33.64
2005-11-21,71,71,False,0.71,50.41
2005-11-22,75,75,False,0.75,56.25
2005-11-23,74,74,False,0.74,54.76
2005-11-24,34,34,False,0.34,11.56
2005-11-25,49,49,False,0.49,24.009999999999998
2005-11-26,63,63,False,0.63,39.69
2005-11-27,56,56,False,0.56,31.360000000000003
2005-11-28,92,92,False,0.92,84.64
2005-11-29,87,87,False,0.87,75.69
2005-11-30,78,78,False,0.78,60.84
2005-12-01,87,87,False,0.87,75.69
2005-12-02,86,86,False,0.86,73.96
2005-12-03,70,70,False,0.7,49.0
2005-12-04,57,57,False,0.57,32.489999999999995
2005-12-05,87,87,False,0.87,75.69
2005-12-06,100,100,False,1.0,100.0
2005-12-07,58,58,False,0.58,33.64
2005-12-08,81,81,False,0.81,65.61
2005-12-09,54,54,False,0.54,29.160000000000004
2005-12-10,58,58,False,0.58,33.64
2005-12-11,50,50,False,0.5,25.0
2005-12-12,84,84,False,0.84,70.56
2005-12-13,68,68,False,0.68,46.24
2005-12-14,88,88,False,0.88,77.44
2005-12-15,82,82,False,0.82,67.24
2005-12-16,75,75,False,0.75,56.25
2005-12-17,47,47,False,0.47,22.09
2005-12-18,39,39,False,0.39,15.21
2005-12-19,63,63,False,0.63,39.69
2005-12-20,78,78,False,0.78,60.84
2005-12-21,73,73,False,0.73,53.29
2005-12-22,64,64,False,0.64,40.96
2005-12-23,61,61,False,0.61,37.21
2005-12-24,40,40,False,0.4,16.0
2005-12-25,48,48,False,0.48,23.04
2005-12-26,41,41,False,0.41,16.81
2005-12-27,64,64,False,0.64,40.96
2005-12-28,58,58,False,0.58,33.64
2005-12-29,65,65,False,0.65,42.25
2005-12-30,82,82,False,0.82,67.24
2005-12-31,52,52,False,0.52,27.04
2006-01-01,32,32,False,0.32,10.24
2006-01-02,53,53,False,0.53,28.09
2006-01-03,78,78,False,0.78,60.84
2006-01-04,64,64,False,0.64,40.96
2006-01-05,82,82,False,0.82,67.24
2006-01-06,79,79,False,0.79,62.410000000000004
2006-01-07,60,60,False,0.6,36.0
2006-01-08,29,29,False,0.29,8.41
2006-01-09,100,100,False,1.0,100.0
2006-01-10,68,68,False,0.68,46.24
2006-01-11,96,96,False,0.96,92.16
2006-01-12,83,83,False,0.83,68.89
2006-01-13,49,49,False,0.49,24.009999999999998
2006-01-14,58,58,False,0.58,33.64
2006-01-15,36,36,False,0.36,12.959999999999999
2006-01-16,48,48,False,0.48,23.04
2006-01-17,63,63,False,0.63,39.69
2006-01-18,59,59,False,0.59,34.809999999999995
2006-01-19,80,80,False,0.8,64.0
2006-01-20,83,83,False,0.83,68.89
2006-01-21,68,68,False,0.68,46.24
2006-01-22,51,51,False,0.51,26.01
2006-01-23,92,92,False,0.92,84.64
2006-01-24,65,65,False,0.65,42.25
2006-01-25,55,55,False,0.55,30.250000000000004
2006-01-26,79,79,False,0.79,62.410000000000004
2006-01-27,79,79,False,0.79,62.410000000000004
2006-01-28,47,47,False,0.47,22.09
2006-01-29,56,56,False,0.56,31.360000000000003
2006-01-30,83,83,False,0.83,68.89
2006-01-31,87,87,False,0.87,75.69
2006-02-01,70,70,False,0.7,49.0
2006-02-02,73,73,False,0.73,53.29
2006-02-03,49,49,False,0.49,24.009999999999998
2006-02-04,64,64,False,0.64,40.96
2006-02-05,45,45,False,0.45,20.25
2006-02-06,71,71,False,0.71,50.41
2006-02-07,94,94,False,0.94,88.36
2006-02-08,85,85,False,0.85,72.25
2006-02-09,95,95,False,0.95,90.25
2006-02-10,65,65,False,0.65,42.25
2006-02-11,60,60,False,0.6,36.0
2006-02-12,57,57,False,0.57,32.489999999999995
2006-02-13,62,62,False,0.62,38.44
2006-02-14,80,80,False,0.8,64.0
2006-02-15,83,83,False,0.83,68.89
2006-02-16,76,76,False,0.76,57.76
2006-02-17,51,51,False,0.51,26.01
2006-02-18,70,70,False,0.7,49.0
2006-02-19,66,66,False,0.66,43.56
2006-02-20,100,100,False,1.0,100.0
2006-02-21,91,91,False,0.91,82.81
2006-02-22,77,77,False,0.77,59.29
2006-02-23,68,68,False,0.68,46.24
2006-02-24,62,62,False,0.62,38.44
2006-02-25,57,57,False,0.57,32.489999999999995
2006-02-26,38,38,False,0.38,14.44
2006-02-27,75,75,False,0.75,56.25
2006-02-28,74,74,False,0.74,54.76
2006-03-01,79,79,False,0.79,62.410000000000004
2006-03-02,76,76,False,0.76,57.76
2006-03-03,81,81,False,0.81,65.61
2006-03-04,61,61,False,0.61,37.21
2006-03-05,48,48,False,0.48,23.04
2006-03-06,67,67,False,0.67,44.89
2006-03-07,65,65,False,0.65,42.25
2006-03-08,68,68,False,0.68,46.24
2006-03-09,100,100,False,1.0,100.0
