date,loan_unscaled,loan_monthly,isPartial,scale,loan
2005-07-09,58,81.0,,0.81,46.980000000000004
2005-07-10,54,81.0,,0.81,43.74
2005-07-11,78,81.0,,0.81,63.18000000000001
2005-07-12,74,81.0,,0.81,59.940000000000005
2005-07-13,72,81.0,,0.81,58.32000000000001
2005-07-14,81,81.0,,0.81,65.61
2005-07-15,68,81.0,,0.81,55.080000000000005
2005-07-16,57,81.0,,0.81,46.17
2005-07-17,61,81.0,,0.81,49.410000000000004
2005-07-18,78,81.0,,0.81,63.18000000000001
2005-07-19,79,81.0,,0.81,63.99
2005-07-20,80,81.0,,0.81,64.80000000000001
2005-07-21,69,81.0,,0.81,55.89
2005-07-22,66,81.0,,0.81,53.46
2005-07-23,70,81.0,,0.81,56.7
2005-07-24,73,81.0,,0.81,59.13
2005-07-25,76,81.0,,0.81,61.56
2005-07-26,70,81.0,,0.81,56.7
2005-07-27,77,81.0,,0.81,62.370000000000005
2005-07-28,78,81.0,,0.81,63.18000000000001
2005-07-29,63,81.0,,0.81,51.03
2005-07-30,64,81.0,,0.81,51.84
2005-07-31,51,81.0,,0.81,41.31
2005-08-01,85,78.0,False,0.78,66.3
2005-08-02,98,78.0,,0.78,76.44
2005-08-03,87,78.0,,0.78,67.86
2005-08-04,85,78.0,,0.78,66.3
2005-08-05,78,78.0,,0.78,60.84
2005-08-06,77,78.0,,0.78,60.06
2005-08-07,66,78.0,,0.78,51.480000000000004
2005-08-08,84,78.0,,0.78,65.52
2005-08-09,77,78.0,,0.78,60.06
2005-08-10,86,78.0,,0.78,67.08
2005-08-11,97,78.0,,0.78,75.66
2005-08-12,81,78.0,,0.78,63.18
2005-08-13,51,78.0,,0.78,39.78
2005-08-14,71,78.0,,0.78,55.38
2005-08-15,79,78.0,,0.78,61.620000000000005
2005-08-16,83,78.0,,0.78,64.74000000000001
2005-08-17,84,78.0,,0.78,65.52
2005-08-18,100,78.0,,0.78,78.0
2005-08-19,78,78.0,,0.78,60.84
2005-08-20,62,78.0,,0.78,48.36
2005-08-21,60,78.0,,0.78,46.800000000000004
2005-08-22,91,78.0,,0.78,70.98
2005-08-23,85,78.0,,0.78,66.3
2005-08-24,72,78.0,,0.78,56.160000000000004
2005-08-25,82,78.0,,0.78,63.96
2005-08-26,81,78.0,,0.78,63.18
2005-08-27,77,78.0,,0.78,60.06
2005-08-28,67,78.0,,0.78,52.260000000000005
2005-08-29,72,78.0,,0.78,56.160000000000004
2005-08-30,78,78.0,,0.78,60.84
2005-08-31,74,78.0,,0.78,57.72
2005-09-01,84,64.0,False,0.64,53.76
2005-09-02,89,64.0,,0.64,56.96
2005-09-03,65,64.0,,0.64,41.6
2005-09-04,64,64.0,,0.64,40.96
2005-09-05,64,64.0,,0.64,40.96
2005-09-06,88,64.0,,0.64,56.32
2005-09-07,84,64.0,,0.64,53.76
2005-09-08,84,64.0,,0.64,53.76
2005-09-09,80,64.0,,0.64,51.2
2005-09-10,74,64.0,,0.64,47.36
2005-09-11,62,64.0,,0.64,39.68
2005-09-12,100,64.0,,0.64,64.0
2005-09-13,82,64.0,,0.64,52.480000000000004
2005-09-14,82,64.0,,0.64,52.480000000000004
2005-09-15,91,64.0,,0.64,58.24
2005-09-16,81,64.0,,0.64,51.84
2005-09-17,68,64.0,,0.64,43.52
2005-09-18,54,64.0,,0.64,34.56
2005-09-19,78,64.0,,0.64,49.92
2005-09-20,84,64.0,,0.64,53.76
2005-09-21,92,64.0,,0.64,58.88
2005-09-22,78,64.0,,0.64,49.92
2005-09-23,78,64.0,,0.64,49.92
2005-09-24,61,64.0,,0.64,39.04
2005-09-25,61,64.0,,0.64,39.04
2005-09-26,88,64.0,,0.64,56.32
2005-09-27,83,64.0,,0.64,53.120000000000005
2005-09-28,99,64.0,,0.64,63.36
2005-09-29,86,64.0,,0.64,55.04
2005-09-30,93,64.0,,0.64,59.52
2005-10-01,78,59.0,False,0.59,46.019999999999996
2005-10-02,52,59.0,,0.59,30.68
2005-10-03,100,59.0,,0.59,59.0
2005-10-04,94,59.0,,0.59,55.459999999999994
2005-10-05,85,59.0,,0.59,50.15
2005-10-06,90,59.0,,0.59,53.099999999999994
2005-10-07,88,59.0,,0.59,51.919999999999995
2005-10-08,63,59.0,,0.59,37.169999999999995
2005-10-09,76,59.0,,0.59,44.839999999999996
2005-10-10,89,59.0,,0.59,52.51
2005-10-11,91,59.0,,0.59,53.69
2005-10-12,88,59.0,,0.59,51.919999999999995
2005-10-13,92,59.0,,0.59,54.279999999999994
2005-10-14,92,59.0,,0.59,54.279999999999994
2005-10-15,68,59.0,,0.59,40.12
2005-10-16,66,59.0,,0.59,38.94
2005-10-17,92,59.0,,0.59,54.279999999999994
2005-10-18,93,59.0,,0.59,54.87
2005-10-19,89,59.0,,0.59,52.51
2005-10-20,99,59.0,,0.59,58.41
2005-10-21,89,59.0,,0.59,52.51
2005-10-22,73,59.0,,0.59,43.07
2005-10-23,69,59.0,,0.59,40.71
2005-10-24,86,59.0,,0.59,50.739999999999995
2005-10-25,83,59.0,,0.59,48.97
2005-10-26,94,59.0,,0.59,55.459999999999994
2005-10-27,84,59.0,,0.59,49.559999999999995
2005-10-28,85,59.0,,0.59,50.15
2005-10-29,73,59.0,,0.59,43.07
2005-10-30,72,59.0,,0.59,42.48
2005-10-31,80,59.0,,0.59,47.199999999999996
2005-11-01,100,57.0,False,0.57,56.99999999999999
2005-11-02,88,57.0,,0.57,50.16
2005-11-03,82,57.0,,0.57,46.739999999999995
2005-11-04,87,57.0,,0.57,49.589999999999996
2005-11-05,57,57.0,,0.57,32.489999999999995
2005-11-06,81,57.0,,0.57,46.169999999999995
2005-11-07,83,57.0,,0.57,47.309999999999995
2005-11-08,80,57.0,,0.57,45.599999999999994
2005-11-09,58,57.0,,0.57,33.059999999999995
2005-11-10,90,57.0,,0.57,51.3
2005-11-11,69,57.0,,0.57,39.33
2005-11-12,57,57.0,,0.57,32.489999999999995
2005-11-13,58,57.0,,0.57,33.059999999999995
2005-11-14,83,57.0,,0.57,47.309999999999995
2005-11-15,80,57.0,,0.57,45.599999999999994
2005-11-16,77,57.0,,0.57,43.88999999999999
2005-11-17,81,57.0,,0.57,46.169999999999995
2005-11-18,80,57.0,,0.57,45.599999999999994
2005-11-19,60,57.0,,0.57,34.199999999999996
2005-11-20,58,57.0,,0.57,33.059999999999995
2005-11-21,75,57.0,,0.57,42.74999999999999
2005-11-22,73,57.0,,0.57,41.61
2005-11-23,69,57.0,,0.57,39.33
2005-11-24,36,57.0,,0.57,20.52
2005-11-25,51,57.0,,0.57,29.069999999999997
2005-11-26,61,57.0,,0.57,34.769999999999996
2005-11-27,48,57.0,,0.57,27.36
2005-11-28,84,57.0,,0.57,47.879999999999995
2005-11-29,93,57.0,,0.57,53.01
2005-11-30,86,57.0,,0.57,49.019999999999996
2005-12-01,78,56.0,False,0.56,43.68000000000001
2005-12-02,70,56.0,,0.56,39.2
2005-12-03,65,56.0,,0.56,36.400000000000006
2005-12-04,64,56.0,,0.56,35.84
2005-12-05,73,56.0,,0.56,40.88
2005-12-06,79,56.0,,0.56,44.24
2005-12-07,67,56.0,,0.56,37.52
2005-12-08,74,56.0,,0.56,41.440000000000005
2005-12-09,72,56.0,,0.56,40.32000000000001
2005-12-10,60,56.0,,0.56,33.6
2005-12-11,49,56.0,,0.56,27.44
2005-12-12,78,56.0,,0.56,43.68000000000001
2005-12-13,80,56.0,,0.56,44.800000000000004
2005-12-14,79,56.0,,0.56,44.24
2005-12-15,72,56.0,,0.56,40.32000000000001
2005-12-16,73,56.0,,0.56,40.88
2005-12-17,70,56.0,,0.56,39.2
2005-12-18,60,56.0,,0.56,33.6
2005-12-19,66,56.0,,0.56,36.96
2005-12-20,87,56.0,,0.56,48.720000000000006
2005-12-21,94,56.0,,0.56,52.64000000000001
2005-12-22,73,56.0,,0.56,40.88
2005-12-23,70,56.0,,0.56,39.2
2005-12-24,45,56.0,,0.56,25.200000000000003
2005-12-25,33,56.0,,0.56,18.48
2005-12-26,43,56.0,,0.56,24.080000000000002
2005-12-27,76,56.0,,0.56,42.56
2005-12-28,100,56.0,,0.56,56.00000000000001
2005-12-29,95,56.0,,0.56,53.2
2005-12-30,83,56.0,,0.56,46.480000000000004
2005-12-31,67,56.0,,0.56,37.52
2006-01-01,47,69.0,False,0.69,32.43
2006-01-02,61,69.0,,0.69,42.089999999999996
