date,poverty line_unscaled,poverty line_monthly,isPartial,scale,poverty line
2005-09-12,23,23,False,0.23,5.29
2005-09-13,23,23,False,0.23,5.29
2005-09-14,22,22,False,0.22,4.84
2005-09-15,23,23,False,0.23,5.29
2005-09-16,25,25,False,0.25,6.25
2005-09-17,38,38,False,0.38,14.44
2005-09-18,36,36,False,0.36,12.959999999999999
2005-09-19,0,0,False,0.0,0.0
2005-09-20,0,0,False,0.0,0.0
2005-09-21,0,0,False,0.0,0.0
2005-09-22,23,23,False,0.23,5.29
2005-09-23,25,25,False,0.25,6.25
2005-09-24,0,0,False,0.0,0.0
2005-09-25,37,37,False,0.37,13.69
2005-09-26,22,22,False,0.22,4.84
2005-09-27,22,22,False,0.22,4.84
2005-09-28,22,22,False,0.22,4.84
2005-09-29,45,45,False,0.45,20.25
2005-09-30,49,49,False,0.49,24.009999999999998
2005-10-01,0,0,False,0.0,0.0
2005-10-02,0,0,False,0.0,0.0
2005-10-03,65,65,False,0.65,42.25
2005-10-04,32,32,False,0.32,10.24
2005-10-05,32,32,False,0.32,10.24
2005-10-06,0,0,False,0.0,0.0
2005-10-07,0,0,False,0.0,0.0
2005-10-08,54,54,False,0.54,29.160000000000004
2005-10-09,0,0,False,0.0,0.0
2005-10-10,100,100,False,1.0,100.0
2005-10-11,32,32,False,0.32,10.24
2005-10-12,0,0,False,0.0,0.0
2005-10-13,67,67,False,0.67,44.89
2005-10-14,35,35,False,0.35,12.25
2005-10-15,0,0,False,0.0,0.0
2005-10-16,0,0,False,0.0,0.0
2005-10-17,0,0,False,0.0,0.0
2005-10-18,31,31,False,0.31,9.61
2005-10-19,32,32,False,0.32,10.24
2005-10-20,65,65,False,0.65,42.25
2005-10-21,0,0,False,0.0,0.0
2005-10-22,0,0,False,0.0,0.0
2005-10-23,0,0,False,0.0,0.0
2005-10-24,95,95,False,0.95,90.25
2005-10-25,31,31,False,0.31,9.61
2005-10-26,0,0,False,0.0,0.0
2005-10-27,0,0,False,0.0,0.0
2005-10-28,0,0,False,0.0,0.0
2005-10-29,0,0,False,0.0,0.0
2005-10-30,0,0,False,0.0,0.0
2005-10-31,0,0,False,0.0,0.0
2005-11-01,58,58,False,0.58,33.64
2005-11-02,43,43,False,0.43,18.49
2005-11-03,29,29,False,0.29,8.41
2005-11-04,45,45,False,0.45,20.25
2005-11-05,0,0,False,0.0,0.0
2005-11-06,92,92,False,0.92,84.64
2005-11-07,42,42,False,0.42,17.64
2005-11-08,27,27,False,0.27,7.290000000000001
2005-11-09,0,0,False,0.0,0.0
2005-11-10,0,0,False,0.0,0.0
2005-11-11,32,32,False,0.32,10.24
2005-11-12,45,45,False,0.45,20.25
2005-11-13,0,0,False,0.0,0.0
2005-11-14,41,41,False,0.41,16.81
2005-11-15,66,66,False,0.66,43.56
2005-11-16,67,67,False,0.67,44.89
2005-11-17,0,0,False,0.0,0.0
2005-11-18,0,0,False,0.0,0.0
2005-11-19,45,45,False,0.45,20.25
2005-11-20,45,45,False,0.45,20.25
2005-11-21,27,27,False,0.27,7.290000000000001
2005-11-22,41,41,False,0.41,16.81
2005-11-23,63,63,False,0.63,39.69
2005-11-24,100,100,False,1.0,100.0
2005-11-25,45,45,False,0.45,20.25
2005-11-26,46,46,False,0.46,21.16
2005-11-27,43,43,False,0.43,18.49
2005-11-28,53,53,False,0.53,28.09
2005-11-29,38,38,False,0.38,14.44
2005-11-30,26,26,False,0.26,6.76
2005-12-01,25,25,False,0.25,6.25
2005-12-02,53,53,False,0.53,28.09
2005-12-03,39,39,False,0.39,15.21
2005-12-04,40,40,False,0.4,16.0
2005-12-05,49,49,False,0.49,24.009999999999998
2005-12-06,24,24,False,0.24,5.76
2005-12-07,25,25,False,0.25,6.25
2005-12-08,51,51,False,0.51,26.01
2005-12-09,27,27,False,0.27,7.290000000000001
2005-12-10,40,40,False,0.4,16.0
2005-12-11,40,40,False,0.4,16.0
2005-12-12,25,25,False,0.25,6.25
2005-12-13,37,37,False,0.37,13.69
2005-12-14,77,77,False,0.77,59.29
2005-12-15,39,39,False,0.39,15.21
2005-12-16,56,56,False,0.56,31.360000000000003
2005-12-17,42,42,False,0.42,17.64
2005-12-18,44,44,False,0.44,19.36
2005-12-19,0,0,False,0.0,0.0
2005-12-20,27,27,False,0.27,7.290000000000001
2005-12-21,0,0,False,0.0,0.0
2005-12-22,0,0,False,0.0,0.0
2005-12-23,0,0,False,0.0,0.0
2005-12-24,0,0,False,0.0,0.0
2005-12-25,0,0,False,0.0,0.0
2005-12-26,0,0,False,0.0,0.0
2005-12-27,64,64,False,0.64,40.96
2005-12-28,31,31,False,0.31,9.61
2005-12-29,0,0,False,0.0,0.0
2005-12-30,100,100,False,1.0,100.0
2005-12-31,0,0,False,0.0,0.0
2006-01-01,51,51,False,0.51,26.01
2006-01-02,35,35,False,0.35,12.25
2006-01-03,26,26,False,0.26,6.76
2006-01-04,38,38,False,0.38,14.44
2006-01-05,26,26,False,0.26,6.76
2006-01-06,26,26,False,0.26,6.76
2006-01-07,80,80,False,0.8,64.0
2006-01-08,39,39,False,0.39,15.21
2006-01-09,51,51,False,0.51,26.01
2006-01-10,49,49,False,0.49,24.009999999999998
2006-01-11,25,25,False,0.25,6.25
2006-01-12,25,25,False,0.25,6.25
2006-01-13,26,26,False,0.26,6.76
2006-01-14,37,37,False,0.37,13.69
2006-01-15,0,0,False,0.0,0.0
2006-01-16,57,57,False,0.57,32.489999999999995
2006-01-17,0,0,False,0.0,0.0
2006-01-18,36,36,False,0.36,12.959999999999999
2006-01-19,100,100,False,1.0,100.0
2006-01-20,26,26,False,0.26,6.76
2006-01-21,0,0,False,0.0,0.0
2006-01-22,0,0,False,0.0,0.0
2006-01-23,24,24,False,0.24,5.76
2006-01-24,24,24,False,0.24,5.76
2006-01-25,48,48,False,0.48,23.04
2006-01-26,24,24,False,0.24,5.76
2006-01-27,25,25,False,0.25,6.25
2006-01-28,37,37,False,0.37,13.69
2006-01-29,37,37,False,0.37,13.69
2006-01-30,72,72,False,0.72,51.839999999999996
2006-01-31,46,46,False,0.46,21.16
2006-02-01,0,0,False,0.0,0.0
2006-02-02,0,0,False,0.0,0.0
2006-02-03,0,0,False,0.0,0.0
2006-02-04,0,0,False,0.0,0.0
2006-02-05,40,40,False,0.4,16.0
2006-02-06,79,79,False,0.79,62.410000000000004
2006-02-07,0,0,False,0.0,0.0
2006-02-08,100,100,False,1.0,100.0
2006-02-09,51,51,False,0.51,26.01
2006-02-10,0,0,False,0.0,0.0
2006-02-11,0,0,False,0.0,0.0
2006-02-12,78,78,False,0.78,60.84
2006-02-13,25,25,False,0.25,6.25
2006-02-14,25,25,False,0.25,6.25
2006-02-15,0,0,False,0.0,0.0
2006-02-16,77,77,False,0.77,59.29
2006-02-17,27,27,False,0.27,7.290000000000001
2006-02-18,0,0,False,0.0,0.0
2006-02-19,0,0,False,0.0,0.0
2006-02-20,57,57,False,0.57,32.489999999999995
2006-02-21,0,0,False,0.0,0.0
2006-02-22,51,51,False,0.51,26.01
2006-02-23,0,0,False,0.0,0.0
2006-02-24,0,0,False,0.0,0.0
2006-02-25,82,82,False,0.82,67.24
2006-02-26,0,0,False,0.0,0.0
2006-02-27,0,0,False,0.0,0.0
2006-02-28,0,0,False,0.0,0.0
2006-03-01,21,21,False,0.21,4.41
2006-03-02,0,0,False,0.0,0.0
2006-03-03,22,22,False,0.22,4.84
2006-03-04,100,100,False,1.0,100.0
2006-03-05,32,32,False,0.32,10.24
2006-03-06,41,41,False,0.41,16.81
2006-03-07,0,0,False,0.0,0.0
2006-03-08,21,21,False,0.21,4.41
2006-03-09,32,32,False,0.32,10.24
2006-03-10,23,23,False,0.23,5.29
2006-03-11,33,33,False,0.33,10.89
2006-03-12,0,0,False,0.0,0.0
2006-03-13,0,0,False,0.0,0.0
2006-03-14,50,50,False,0.5,25.0
