date,BANKRUPT_unscaled,BANKRUPT_monthly,isPartial,scale,BANKRUPT
2009-05-24,49,58.0,,0.58,28.419999999999998
2009-05-25,75,58.0,,0.58,43.5
2009-05-26,46,58.0,,0.58,26.68
2009-05-27,68,58.0,,0.58,39.44
2009-05-28,79,58.0,,0.58,45.82
2009-05-29,100,58.0,,0.58,57.99999999999999
2009-05-30,78,58.0,,0.58,45.239999999999995
2009-05-31,70,58.0,,0.58,40.599999999999994
2009-06-01,100,63.0,False,0.63,63.0
2009-06-02,38,63.0,,0.63,23.94
2009-06-03,46,63.0,,0.63,28.98
2009-06-04,29,63.0,,0.63,18.27
2009-06-05,17,63.0,,0.63,10.71
2009-06-06,41,63.0,,0.63,25.830000000000002
2009-06-07,25,63.0,,0.63,15.75
2009-06-08,47,63.0,,0.63,29.61
2009-06-09,36,63.0,,0.63,22.68
2009-06-10,34,63.0,,0.63,21.42
2009-06-11,21,63.0,,0.63,13.23
2009-06-12,26,63.0,,0.63,16.38
2009-06-13,12,63.0,,0.63,7.5600000000000005
2009-06-14,25,63.0,,0.63,15.75
2009-06-15,29,63.0,,0.63,18.27
2009-06-16,39,63.0,,0.63,24.57
2009-06-17,27,63.0,,0.63,17.01
2009-06-18,30,63.0,,0.63,18.9
2009-06-19,46,63.0,,0.63,28.98
2009-06-20,25,63.0,,0.63,15.75
2009-06-21,34,63.0,,0.63,21.42
2009-06-22,19,63.0,,0.63,11.97
2009-06-23,32,63.0,,0.63,20.16
2009-06-24,37,63.0,,0.63,23.31
2009-06-25,21,63.0,,0.63,13.23
2009-06-26,40,63.0,,0.63,25.2
2009-06-27,25,63.0,,0.63,15.75
2009-06-28,21,63.0,,0.63,13.23
2009-06-29,32,63.0,,0.63,20.16
2009-06-30,26,63.0,,0.63,16.38
2009-07-01,54,52.0,False,0.52,28.080000000000002
2009-07-02,73,52.0,,0.52,37.96
2009-07-03,41,52.0,,0.52,21.32
2009-07-04,9,52.0,,0.52,4.68
2009-07-05,61,52.0,,0.52,31.720000000000002
2009-07-06,65,52.0,,0.52,33.800000000000004
2009-07-07,53,52.0,,0.52,27.560000000000002
2009-07-08,44,52.0,,0.52,22.880000000000003
2009-07-09,45,52.0,,0.52,23.400000000000002
2009-07-10,43,52.0,,0.52,22.36
2009-07-11,53,52.0,,0.52,27.560000000000002
2009-07-12,31,52.0,,0.52,16.12
2009-07-13,73,52.0,,0.52,37.96
2009-07-14,54,52.0,,0.52,28.080000000000002
2009-07-15,50,52.0,,0.52,26.0
2009-07-16,55,52.0,,0.52,28.6
2009-07-17,100,52.0,,0.52,52.0
2009-07-18,46,52.0,,0.52,23.92
2009-07-19,55,52.0,,0.52,28.6
2009-07-20,69,52.0,,0.52,35.88
2009-07-21,52,52.0,,0.52,27.04
2009-07-22,44,52.0,,0.52,22.880000000000003
2009-07-23,34,52.0,,0.52,17.68
2009-07-24,37,52.0,,0.52,19.240000000000002
2009-07-25,30,52.0,,0.52,15.600000000000001
2009-07-26,61,52.0,,0.52,31.720000000000002
2009-07-27,44,52.0,,0.52,22.880000000000003
2009-07-28,38,52.0,,0.52,19.76
2009-07-29,68,52.0,,0.52,35.36
2009-07-30,40,52.0,,0.52,20.8
2009-07-31,47,52.0,,0.52,24.44
2009-08-01,65,47.0,False,0.47,30.549999999999997
2009-08-02,52,47.0,,0.47,24.439999999999998
2009-08-03,86,47.0,,0.47,40.419999999999995
2009-08-04,63,47.0,,0.47,29.61
2009-08-05,72,47.0,,0.47,33.839999999999996
2009-08-06,60,47.0,,0.47,28.2
2009-08-07,55,47.0,,0.47,25.849999999999998
2009-08-08,65,47.0,,0.47,30.549999999999997
2009-08-09,59,47.0,,0.47,27.729999999999997
2009-08-10,80,47.0,,0.47,37.599999999999994
2009-08-11,71,47.0,,0.47,33.37
2009-08-12,59,47.0,,0.47,27.729999999999997
2009-08-13,86,47.0,,0.47,40.419999999999995
2009-08-14,68,47.0,,0.47,31.959999999999997
2009-08-15,65,47.0,,0.47,30.549999999999997
2009-08-16,59,47.0,,0.47,27.729999999999997
2009-08-17,59,47.0,,0.47,27.729999999999997
2009-08-18,70,47.0,,0.47,32.9
2009-08-19,92,47.0,,0.47,43.239999999999995
2009-08-20,81,47.0,,0.47,38.07
2009-08-21,84,47.0,,0.47,39.48
2009-08-22,81,47.0,,0.47,38.07
2009-08-23,44,47.0,,0.47,20.68
2009-08-24,88,47.0,,0.47,41.36
2009-08-25,90,47.0,,0.47,42.3
2009-08-26,74,47.0,,0.47,34.78
2009-08-27,100,47.0,,0.47,47.0
2009-08-28,70,47.0,,0.47,32.9
2009-08-29,95,47.0,,0.47,44.65
2009-08-30,31,47.0,,0.47,14.569999999999999
2009-08-31,89,47.0,,0.47,41.83
2009-09-01,46,47.0,False,0.47,21.619999999999997
2009-09-02,64,47.0,,0.47,30.08
2009-09-03,53,47.0,,0.47,24.91
2009-09-04,51,47.0,,0.47,23.97
2009-09-05,82,47.0,,0.47,38.54
2009-09-06,0,47.0,,0.47,0.0
2009-09-07,24,47.0,,0.47,11.28
2009-09-08,41,47.0,,0.47,19.27
2009-09-09,46,47.0,,0.47,21.619999999999997
2009-09-10,87,47.0,,0.47,40.89
2009-09-11,42,47.0,,0.47,19.74
2009-09-12,17,47.0,,0.47,7.989999999999999
2009-09-13,42,47.0,,0.47,19.74
2009-09-14,79,47.0,,0.47,37.129999999999995
2009-09-15,33,47.0,,0.47,15.51
2009-09-16,73,47.0,,0.47,34.309999999999995
2009-09-17,28,47.0,,0.47,13.16
2009-09-18,31,47.0,,0.47,14.569999999999999
2009-09-19,35,47.0,,0.47,16.45
2009-09-20,34,47.0,,0.47,15.979999999999999
2009-09-21,67,47.0,,0.47,31.49
2009-09-22,100,47.0,,0.47,47.0
2009-09-23,90,47.0,,0.47,42.3
2009-09-24,68,47.0,,0.47,31.959999999999997
2009-09-25,36,47.0,,0.47,16.919999999999998
2009-09-26,60,47.0,,0.47,28.2
2009-09-27,51,47.0,,0.47,23.97
2009-09-28,78,47.0,,0.47,36.66
2009-09-29,61,47.0,,0.47,28.669999999999998
2009-09-30,56,47.0,,0.47,26.32
2009-10-01,42,41.0,False,0.41,17.22
2009-10-02,35,41.0,,0.41,14.35
2009-10-03,36,41.0,,0.41,14.76
2009-10-04,84,41.0,,0.41,34.44
2009-10-05,77,41.0,,0.41,31.569999999999997
2009-10-06,55,41.0,,0.41,22.549999999999997
2009-10-07,70,41.0,,0.41,28.7
2009-10-08,42,41.0,,0.41,17.22
2009-10-09,57,41.0,,0.41,23.369999999999997
2009-10-10,36,41.0,,0.41,14.76
2009-10-11,45,41.0,,0.41,18.45
2009-10-12,49,41.0,,0.41,20.09
2009-10-13,60,41.0,,0.41,24.599999999999998
2009-10-14,72,41.0,,0.41,29.52
2009-10-15,55,41.0,,0.41,22.549999999999997
2009-10-16,31,41.0,,0.41,12.709999999999999
2009-10-17,36,41.0,,0.41,14.76
2009-10-18,48,41.0,,0.41,19.68
2009-10-19,55,41.0,,0.41,22.549999999999997
2009-10-20,40,41.0,,0.41,16.4
2009-10-21,60,41.0,,0.41,24.599999999999998
2009-10-22,58,41.0,,0.41,23.779999999999998
2009-10-23,43,41.0,,0.41,17.63
2009-10-24,39,41.0,,0.41,15.989999999999998
2009-10-25,39,41.0,,0.41,15.989999999999998
2009-10-26,82,41.0,,0.41,33.62
2009-10-27,42,41.0,,0.41,17.22
2009-10-28,62,41.0,,0.41,25.419999999999998
2009-10-29,46,41.0,,0.41,18.86
2009-10-30,100,41.0,,0.41,41.0
2009-10-31,31,41.0,,0.41,12.709999999999999
2009-11-01,39,44.0,False,0.44,17.16
2009-11-02,53,44.0,,0.44,23.32
2009-11-03,39,44.0,,0.44,17.16
2009-11-04,43,44.0,,0.44,18.92
2009-11-05,12,44.0,,0.44,5.28
2009-11-06,42,44.0,,0.44,18.48
2009-11-07,18,44.0,,0.44,7.92
2009-11-08,42,44.0,,0.44,18.48
2009-11-09,44,44.0,,0.44,19.36
2009-11-10,46,44.0,,0.44,20.24
2009-11-11,52,44.0,,0.44,22.88
2009-11-12,39,44.0,,0.44,17.16
2009-11-13,100,44.0,,0.44,44.0
2009-11-14,41,44.0,,0.44,18.04
2009-11-15,12,44.0,,0.44,5.28
2009-11-16,43,44.0,,0.44,18.92
2009-11-17,23,44.0,,0.44,10.12
2009-11-18,27,44.0,,0.44,11.88
2009-11-19,47,44.0,,0.44,20.68
2009-11-20,62,44.0,,0.44,27.28
2009-11-21,41,44.0,,0.44,18.04
2009-11-22,41,44.0,,0.44,18.04
2009-11-23,44,44.0,,0.44,19.36
2009-11-24,47,44.0,,0.44,20.68
2009-11-25,35,44.0,,0.44,15.4
2009-11-26,24,44.0,,0.44,10.56
2009-11-27,74,44.0,,0.44,32.56
2009-11-28,6,44.0,,0.44,2.64
2009-11-29,47,44.0,,0.44,20.68
2009-11-30,34,44.0,,0.44,14.96
2009-12-01,83,39.0,False,0.39,32.370000000000005
2009-12-02,87,39.0,,0.39,33.93
2009-12-03,61,39.0,,0.39,23.79
