date,BENEFITS_unscaled,BENEFITS_monthly,isPartial,scale,BENEFITS
2013-10-20,69,79.0,,0.79,54.510000000000005
2013-10-21,89,79.0,,0.79,70.31
2013-10-22,89,79.0,,0.79,70.31
2013-10-23,89,79.0,,0.79,70.31
2013-10-24,82,79.0,,0.79,64.78
2013-10-25,80,79.0,,0.79,63.2
2013-10-26,65,79.0,,0.79,51.35
2013-10-27,70,79.0,,0.79,55.300000000000004
2013-10-28,90,79.0,,0.79,71.10000000000001
2013-10-29,92,79.0,,0.79,72.68
2013-10-30,92,79.0,,0.79,72.68
2013-10-31,89,79.0,,0.79,70.31
2013-11-01,79,76.0,False,0.76,60.04
2013-11-02,61,76.0,,0.76,46.36
2013-11-03,74,76.0,,0.76,56.24
2013-11-04,98,76.0,,0.76,74.48
2013-11-05,94,76.0,,0.76,71.44
2013-11-06,89,76.0,,0.76,67.64
2013-11-07,92,76.0,,0.76,69.92
2013-11-08,86,76.0,,0.76,65.36
2013-11-09,66,76.0,,0.76,50.160000000000004
2013-11-10,76,76.0,,0.76,57.76
2013-11-11,93,76.0,,0.76,70.68
2013-11-12,100,76.0,,0.76,76.0
2013-11-13,96,76.0,,0.76,72.96000000000001
2013-11-14,93,76.0,,0.76,70.68
2013-11-15,77,76.0,,0.76,58.52
2013-11-16,72,76.0,,0.76,54.72
2013-11-17,77,76.0,,0.76,58.52
2013-11-18,97,76.0,,0.76,73.72
2013-11-19,94,76.0,,0.76,71.44
2013-11-20,92,76.0,,0.76,69.92
2013-11-21,85,76.0,,0.76,64.6
2013-11-22,80,76.0,,0.76,60.8
2013-11-23,61,76.0,,0.76,46.36
2013-11-24,64,76.0,,0.76,48.64
2013-11-25,80,76.0,,0.76,60.8
2013-11-26,82,76.0,,0.76,62.32
2013-11-27,65,76.0,,0.76,49.4
2013-11-28,45,76.0,,0.76,34.2
2013-11-29,48,76.0,,0.76,36.480000000000004
2013-11-30,58,76.0,,0.76,44.08
2013-12-01,76,68.0,False,0.68,51.68000000000001
2013-12-02,89,68.0,,0.68,60.52
2013-12-03,98,68.0,,0.68,66.64
2013-12-04,100,68.0,,0.68,68.0
2013-12-05,87,68.0,,0.68,59.160000000000004
2013-12-06,85,68.0,,0.68,57.800000000000004
2013-12-07,71,68.0,,0.68,48.28
2013-12-08,69,68.0,,0.68,46.92
2013-12-09,86,68.0,,0.68,58.480000000000004
2013-12-10,89,68.0,,0.68,60.52
2013-12-11,91,68.0,,0.68,61.88
2013-12-12,84,68.0,,0.68,57.120000000000005
2013-12-13,80,68.0,,0.68,54.400000000000006
2013-12-14,67,68.0,,0.68,45.56
2013-12-15,73,68.0,,0.68,49.64
2013-12-16,86,68.0,,0.68,58.480000000000004
2013-12-17,92,68.0,,0.68,62.56
2013-12-18,87,68.0,,0.68,59.160000000000004
2013-12-19,83,68.0,,0.68,56.440000000000005
2013-12-20,74,68.0,,0.68,50.32
2013-12-21,62,68.0,,0.68,42.160000000000004
2013-12-22,61,68.0,,0.68,41.480000000000004
2013-12-23,82,68.0,,0.68,55.760000000000005
2013-12-24,66,68.0,,0.68,44.88
2013-12-25,49,68.0,,0.68,33.32
2013-12-26,79,68.0,,0.68,53.720000000000006
2013-12-27,80,68.0,,0.68,54.400000000000006
2013-12-28,80,68.0,,0.68,54.400000000000006
2013-12-29,79,68.0,,0.68,53.720000000000006
2013-12-30,98,68.0,,0.68,66.64
2013-12-31,90,68.0,,0.68,61.2
2014-01-01,62,87.0,False,0.87,53.94
2014-01-02,89,87.0,,0.87,77.42999999999999
2014-01-03,78,87.0,,0.87,67.86
2014-01-04,67,87.0,,0.87,58.29
2014-01-05,82,87.0,,0.87,71.34
2014-01-06,92,87.0,,0.87,80.04
2014-01-07,91,87.0,,0.87,79.17
2014-01-08,96,87.0,,0.87,83.52
2014-01-09,98,87.0,,0.87,85.26
2014-01-10,90,87.0,,0.87,78.3
2014-01-11,78,87.0,,0.87,67.86
2014-01-12,81,87.0,,0.87,70.47
2014-01-13,100,87.0,,0.87,87.0
2014-01-14,96,87.0,,0.87,83.52
2014-01-15,100,87.0,,0.87,87.0
2014-01-16,99,87.0,,0.87,86.13
2014-01-17,86,87.0,,0.87,74.82
2014-01-18,70,87.0,,0.87,60.9
2014-01-19,73,87.0,,0.87,63.51
2014-01-20,84,87.0,,0.87,73.08
2014-01-21,87,87.0,,0.87,75.69
2014-01-22,96,87.0,,0.87,83.52
2014-01-23,95,87.0,,0.87,82.65
2014-01-24,83,87.0,,0.87,72.21
2014-01-25,68,87.0,,0.87,59.16
2014-01-26,79,87.0,,0.87,68.73
2014-01-27,92,87.0,,0.87,80.04
2014-01-28,100,87.0,,0.87,87.0
2014-01-29,94,87.0,,0.87,81.78
2014-01-30,92,87.0,,0.87,80.04
2014-01-31,89,87.0,,0.87,77.42999999999999
2014-02-01,75,84.0,False,0.84,63.0
2014-02-02,76,84.0,,0.84,63.839999999999996
2014-02-03,83,84.0,,0.84,69.72
2014-02-04,100,84.0,,0.84,84.0
2014-02-05,95,84.0,,0.84,79.8
2014-02-06,100,84.0,,0.84,84.0
2014-02-07,92,84.0,,0.84,77.28
2014-02-08,75,84.0,,0.84,63.0
2014-02-09,75,84.0,,0.84,63.0
2014-02-10,99,84.0,,0.84,83.16
2014-02-11,92,84.0,,0.84,77.28
2014-02-12,93,84.0,,0.84,78.11999999999999
2014-02-13,85,84.0,,0.84,71.39999999999999
2014-02-14,72,84.0,,0.84,60.48
2014-02-15,61,84.0,,0.84,51.239999999999995
2014-02-16,75,84.0,,0.84,63.0
2014-02-17,84,84.0,,0.84,70.56
2014-02-18,90,84.0,,0.84,75.6
2014-02-19,96,84.0,,0.84,80.64
2014-02-20,88,84.0,,0.84,73.92
2014-02-21,84,84.0,,0.84,70.56
2014-02-22,68,84.0,,0.84,57.12
2014-02-23,73,84.0,,0.84,61.32
2014-02-24,98,84.0,,0.84,82.32
2014-02-25,98,84.0,,0.84,82.32
2014-02-26,93,84.0,,0.84,78.11999999999999
2014-02-27,92,84.0,,0.84,77.28
2014-02-28,85,84.0,,0.84,71.39999999999999
2014-03-01,73,83.0,False,0.83,60.589999999999996
2014-03-02,75,83.0,,0.83,62.25
2014-03-03,87,83.0,,0.83,72.21
2014-03-04,93,83.0,,0.83,77.19
2014-03-05,94,83.0,,0.83,78.02
2014-03-06,97,83.0,,0.83,80.50999999999999
2014-03-07,87,83.0,,0.83,72.21
2014-03-08,76,83.0,,0.83,63.08
2014-03-09,77,83.0,,0.83,63.91
2014-03-10,96,83.0,,0.83,79.67999999999999
2014-03-11,93,83.0,,0.83,77.19
2014-03-12,96,83.0,,0.83,79.67999999999999
2014-03-13,95,83.0,,0.83,78.85
2014-03-14,82,83.0,,0.83,68.06
2014-03-15,75,83.0,,0.83,62.25
2014-03-16,77,83.0,,0.83,63.91
2014-03-17,90,83.0,,0.83,74.7
2014-03-18,100,83.0,,0.83,83.0
2014-03-19,92,83.0,,0.83,76.36
2014-03-20,91,83.0,,0.83,75.53
2014-03-21,87,83.0,,0.83,72.21
2014-03-22,74,83.0,,0.83,61.419999999999995
2014-03-23,76,83.0,,0.83,63.08
2014-03-24,98,83.0,,0.83,81.33999999999999
2014-03-25,98,83.0,,0.83,81.33999999999999
2014-03-26,99,83.0,,0.83,82.17
2014-03-27,95,83.0,,0.83,78.85
2014-03-28,91,83.0,,0.83,75.53
2014-03-29,65,83.0,,0.83,53.949999999999996
2014-03-30,70,83.0,,0.83,58.099999999999994
2014-03-31,93,83.0,,0.83,77.19
2014-04-01,100,83.0,False,0.83,83.0
2014-04-02,96,83.0,,0.83,79.67999999999999
2014-04-03,92,83.0,,0.83,76.36
2014-04-04,85,83.0,,0.83,70.55
2014-04-05,68,83.0,,0.83,56.44
2014-04-06,80,83.0,,0.83,66.39999999999999
2014-04-07,90,83.0,,0.83,74.7
2014-04-08,98,83.0,,0.83,81.33999999999999
2014-04-09,92,83.0,,0.83,76.36
2014-04-10,92,83.0,,0.83,76.36
2014-04-11,82,83.0,,0.83,68.06
2014-04-12,70,83.0,,0.83,58.099999999999994
2014-04-13,70,83.0,,0.83,58.099999999999994
2014-04-14,93,83.0,,0.83,77.19
2014-04-15,87,83.0,,0.83,72.21
2014-04-16,86,83.0,,0.83,71.38
2014-04-17,85,83.0,,0.83,70.55
2014-04-18,68,83.0,,0.83,56.44
2014-04-19,65,83.0,,0.83,53.949999999999996
2014-04-20,63,83.0,,0.83,52.29
2014-04-21,90,83.0,,0.83,74.7
2014-04-22,91,83.0,,0.83,75.53
2014-04-23,82,83.0,,0.83,68.06
2014-04-24,83,83.0,,0.83,68.89
2014-04-25,80,83.0,,0.83,66.39999999999999
2014-04-26,65,83.0,,0.83,53.949999999999996
2014-04-27,74,83.0,,0.83,61.419999999999995
2014-04-28,88,83.0,,0.83,73.03999999999999
2014-04-29,87,83.0,,0.83,72.21
2014-04-30,90,83.0,,0.83,74.7
2014-05-01,100,75.0,False,0.75,75.0
2014-05-02,89,75.0,,0.75,66.75
2014-05-03,71,75.0,,0.75,53.25
2014-05-04,79,75.0,,0.75,59.25
2014-05-05,98,75.0,,0.75,73.5
2014-05-06,100,75.0,,0.75,75.0
2014-05-07,95,75.0,,0.75,71.25
2014-05-08,95,75.0,,0.75,71.25
2014-05-09,81,75.0,,0.75,60.75
2014-05-10,67,75.0,,0.75,50.25
2014-05-11,65,75.0,,0.75,48.75
2014-05-12,95,75.0,,0.75,71.25
2014-05-13,94,75.0,,0.75,70.5
2014-05-14,91,75.0,,0.75,68.25
2014-05-15,93,75.0,,0.75,69.75
2014-05-16,80,75.0,,0.75,60.0
2014-05-17,67,75.0,,0.75,50.25
2014-05-18,71,75.0,,0.75,53.25
2014-05-19,85,75.0,,0.75,63.75
2014-05-20,93,75.0,,0.75,69.75
2014-05-21,96,75.0,,0.75,72.0
2014-05-22,86,75.0,,0.75,64.5
2014-05-23,83,75.0,,0.75,62.25
2014-05-24,65,75.0,,0.75,48.75
2014-05-25,73,75.0,,0.75,54.75
2014-05-26,75,75.0,,0.75,56.25
2014-05-27,93,75.0,,0.75,69.75
2014-05-28,97,75.0,,0.75,72.75
2014-05-29,93,75.0,,0.75,69.75
2014-05-30,86,75.0,,0.75,64.5
2014-05-31,68,75.0,,0.75,51.0
2014-06-01,84,70.0,False,0.7,58.8
2014-06-02,97,70.0,,0.7,67.89999999999999
2014-06-03,100,70.0,,0.7,70.0
2014-06-04,98,70.0,,0.7,68.6
2014-06-05,93,70.0,,0.7,65.1
2014-06-06,84,70.0,,0.7,58.8
2014-06-07,69,70.0,,0.7,48.3
2014-06-08,78,70.0,,0.7,54.599999999999994
2014-06-09,91,70.0,,0.7,63.699999999999996
2014-06-10,96,70.0,,0.7,67.19999999999999
2014-06-11,93,70.0,,0.7,65.1
2014-06-12,93,70.0,,0.7,65.1
2014-06-13,87,70.0,,0.7,60.9
2014-06-14,75,70.0,,0.7,52.5
2014-06-15,72,70.0,,0.7,50.4
2014-06-16,87,70.0,,0.7,60.9
2014-06-17,91,70.0,,0.7,63.699999999999996
2014-06-18,100,70.0,,0.7,70.0
2014-06-19,94,70.0,,0.7,65.8
2014-06-20,85,70.0,,0.7,59.49999999999999
2014-06-21,76,70.0,,0.7,53.199999999999996
2014-06-22,82,70.0,,0.7,57.4
2014-06-23,94,70.0,,0.7,65.8
2014-06-24,99,70.0,,0.7,69.3
2014-06-25,92,70.0,,0.7,64.39999999999999
2014-06-26,89,70.0,,0.7,62.3
2014-06-27,83,70.0,,0.7,58.099999999999994
2014-06-28,68,70.0,,0.7,47.599999999999994
2014-06-29,78,70.0,,0.7,54.599999999999994
2014-06-30,95,70.0,,0.7,66.5
2014-07-01,81,76.0,False,0.76,61.56
2014-07-02,93,76.0,,0.76,70.68
2014-07-03,83,76.0,,0.76,63.08
2014-07-04,69,76.0,,0.76,52.44
2014-07-05,65,76.0,,0.76,49.4
2014-07-06,71,76.0,,0.76,53.96
2014-07-07,94,76.0,,0.76,71.44
2014-07-08,92,76.0,,0.76,69.92
2014-07-09,89,76.0,,0.76,67.64
2014-07-10,89,76.0,,0.76,67.64
2014-07-11,83,76.0,,0.76,63.08
2014-07-12,71,76.0,,0.76,53.96
2014-07-13,74,76.0,,0.76,56.24
2014-07-14,97,76.0,,0.76,73.72
2014-07-15,100,76.0,,0.76,76.0
2014-07-16,99,76.0,,0.76,75.24
2014-07-17,91,76.0,,0.76,69.16
2014-07-18,85,76.0,,0.76,64.6
2014-07-19,77,76.0,,0.76,58.52
2014-07-20,75,76.0,,0.76,57.0
2014-07-21,100,76.0,,0.76,76.0
2014-07-22,99,76.0,,0.76,75.24
2014-07-23,96,76.0,,0.76,72.96000000000001
2014-07-24,97,76.0,,0.76,73.72
2014-07-25,80,76.0,,0.76,60.8
2014-07-26,71,76.0,,0.76,53.96
2014-07-27,73,76.0,,0.76,55.480000000000004
2014-07-28,93,76.0,,0.76,70.68
2014-07-29,94,76.0,,0.76,71.44
2014-07-30,95,76.0,,0.76,72.2
2014-07-31,92,76.0,,0.76,69.92
2014-08-01,84,73.0,False,0.73,61.32
2014-08-02,68,73.0,,0.73,49.64
2014-08-03,74,73.0,,0.73,54.019999999999996
2014-08-04,97,73.0,,0.73,70.81
2014-08-05,97,73.0,,0.73,70.81
2014-08-06,91,73.0,,0.73,66.42999999999999
2014-08-07,86,73.0,,0.73,62.78
2014-08-08,83,73.0,,0.73,60.589999999999996
2014-08-09,69,73.0,,0.73,50.37
2014-08-10,72,73.0,,0.73,52.56
2014-08-11,95,73.0,,0.73,69.35
2014-08-12,94,73.0,,0.73,68.62
2014-08-13,98,73.0,,0.73,71.53999999999999
2014-08-14,87,73.0,,0.73,63.51
2014-08-15,80,73.0,,0.73,58.4
2014-08-16,74,73.0,,0.73,54.019999999999996
2014-08-17,81,73.0,,0.73,59.129999999999995
2014-08-18,97,73.0,,0.73,70.81
2014-08-19,100,73.0,,0.73,73.0
2014-08-20,95,73.0,,0.73,69.35
