date,bankruptcy court_unscaled,bankruptcy court_monthly,isPartial,scale,bankruptcy court
2005-07-28,63,63,False,0.63,39.69
2005-07-29,13,13,False,0.13,1.69
2005-07-30,0,0,False,0.0,0.0
2005-07-31,21,21,False,0.21,4.41
2005-08-01,52,52,False,0.52,27.04
2005-08-02,26,26,False,0.26,6.76
2005-08-03,65,65,False,0.65,42.25
2005-08-04,40,40,False,0.4,16.0
2005-08-05,14,14,False,0.14,1.9600000000000002
2005-08-06,0,0,False,0.0,0.0
2005-08-07,44,44,False,0.44,19.36
2005-08-08,38,38,False,0.38,14.44
2005-08-09,100,100,False,1.0,100.0
2005-08-10,64,64,False,0.64,40.96
2005-08-11,78,78,False,0.78,60.84
2005-08-12,56,56,False,0.56,31.360000000000003
2005-08-13,0,0,False,0.0,0.0
2005-08-14,21,21,False,0.21,4.41
2005-08-15,64,64,False,0.64,40.96
2005-08-16,100,100,False,1.0,100.0
2005-08-17,77,77,False,0.77,59.29
2005-08-18,65,65,False,0.65,42.25
2005-08-19,68,68,False,0.68,46.24
2005-08-20,42,42,False,0.42,17.64
2005-08-21,0,0,False,0.0,0.0
2005-08-22,88,88,False,0.88,77.44
2005-08-23,98,98,False,0.98,96.03999999999999
2005-08-24,0,0,False,0.0,0.0
2005-08-25,68,68,False,0.68,46.24
2005-08-26,81,81,False,0.81,65.61
2005-08-27,20,20,False,0.2,4.0
2005-08-28,0,0,False,0.0,0.0
2005-08-29,36,36,False,0.36,12.959999999999999
2005-08-30,72,72,False,0.72,51.839999999999996
2005-08-31,48,48,False,0.48,23.04
2005-09-01,36,36,False,0.36,12.959999999999999
2005-09-02,69,69,False,0.69,47.61
2005-09-03,29,29,False,0.29,8.41
2005-09-04,15,15,False,0.15,2.25
2005-09-05,52,52,False,0.52,27.04
2005-09-06,77,77,False,0.77,59.29
2005-09-07,42,42,False,0.42,17.64
2005-09-08,68,68,False,0.68,46.24
2005-09-09,18,18,False,0.18,3.2399999999999998
2005-09-10,0,0,False,0.0,0.0
2005-09-11,13,13,False,0.13,1.69
2005-09-12,65,65,False,0.65,42.25
2005-09-13,65,65,False,0.65,42.25
2005-09-14,81,81,False,0.81,65.61
2005-09-15,58,58,False,0.58,33.64
2005-09-16,52,52,False,0.52,27.04
2005-09-17,40,40,False,0.4,16.0
2005-09-18,13,13,False,0.13,1.69
2005-09-19,49,49,False,0.49,24.009999999999998
2005-09-20,24,24,False,0.24,5.76
2005-09-21,41,41,False,0.41,16.81
2005-09-22,100,100,False,1.0,100.0
2005-09-23,52,52,False,0.52,27.04
2005-09-24,0,0,False,0.0,0.0
