date,home equity loan_unscaled,home equity loan_monthly,isPartial,scale,home equity loan
2009-05-12,51,51,False,0.51,26.01
2009-05-13,0,0,False,0.0,0.0
2009-05-14,33,33,False,0.33,10.89
2009-05-15,28,28,False,0.28,7.840000000000001
2009-05-16,81,81,False,0.81,65.61
2009-05-17,20,20,False,0.2,4.0
2009-05-18,20,20,False,0.2,4.0
2009-05-19,58,58,False,0.58,33.64
2009-05-20,20,20,False,0.2,4.0
2009-05-21,74,74,False,0.74,54.76
2009-05-22,37,37,False,0.37,13.69
2009-05-23,11,11,False,0.11,1.21
2009-05-24,0,0,False,0.0,0.0
2009-05-25,19,19,False,0.19,3.61
2009-05-26,52,52,False,0.52,27.04
2009-05-27,45,45,False,0.45,20.25
2009-05-28,20,20,False,0.2,4.0
2009-05-29,100,100,False,1.0,100.0
2009-05-30,42,42,False,0.42,17.64
2009-05-31,11,11,False,0.11,1.21
2009-06-01,72,72,False,0.72,51.839999999999996
2009-06-02,71,71,False,0.71,50.41
2009-06-03,36,36,False,0.36,12.959999999999999
2009-06-04,65,65,False,0.65,42.25
2009-06-05,39,39,False,0.39,15.21
2009-06-06,28,28,False,0.28,7.840000000000001
2009-06-07,0,0,False,0.0,0.0
2009-06-08,45,45,False,0.45,20.25
2009-06-09,27,27,False,0.27,7.290000000000001
2009-06-10,63,63,False,0.63,39.69
2009-06-11,83,83,False,0.83,68.89
2009-06-12,59,59,False,0.59,34.809999999999995
2009-06-13,29,29,False,0.29,8.41
2009-06-14,0,0,False,0.0,0.0
2009-06-15,82,82,False,0.82,67.24
2009-06-16,100,100,False,1.0,100.0
2009-06-17,64,64,False,0.64,40.96
2009-06-18,46,46,False,0.46,21.16
2009-06-19,70,70,False,0.7,49.0
2009-06-20,28,28,False,0.28,7.840000000000001
2009-06-21,30,30,False,0.3,9.0
2009-06-22,55,55,False,0.55,30.250000000000004
2009-06-23,64,64,False,0.64,40.96
2009-06-24,64,64,False,0.64,40.96
2009-06-25,46,46,False,0.46,21.16
2009-06-26,39,39,False,0.39,15.21
2009-06-27,0,0,False,0.0,0.0
2009-06-28,29,29,False,0.29,8.41
2009-06-29,28,28,False,0.28,7.840000000000001
2009-06-30,74,74,False,0.74,54.76
2009-07-01,55,55,False,0.55,30.250000000000004
2009-07-02,17,17,False,0.17,2.89
2009-07-03,75,75,False,0.75,56.25
2009-07-04,96,96,False,0.96,92.16
2009-07-05,42,42,False,0.42,17.64
2009-07-06,87,87,False,0.87,75.69
2009-07-07,100,100,False,1.0,100.0
2009-07-08,93,93,False,0.93,86.49000000000001
2009-07-09,56,56,False,0.56,31.360000000000003
2009-07-10,51,51,False,0.51,26.01
2009-07-11,36,36,False,0.36,12.959999999999999
2009-07-12,49,49,False,0.49,24.009999999999998
2009-07-13,39,39,False,0.39,15.21
2009-07-14,85,85,False,0.85,72.25
2009-07-15,71,71,False,0.71,50.41
2009-07-16,95,95,False,0.95,90.25
2009-07-17,76,76,False,0.76,57.76
2009-07-18,24,24,False,0.24,5.76
2009-07-19,50,50,False,0.5,25.0
2009-07-20,78,78,False,0.78,60.84
2009-07-21,38,38,False,0.38,14.44
2009-07-22,38,38,False,0.38,14.44
2009-07-23,56,56,False,0.56,31.360000000000003
2009-07-24,33,33,False,0.33,10.89
2009-07-25,24,24,False,0.24,5.76
2009-07-26,49,49,False,0.49,24.009999999999998
2009-07-27,62,62,False,0.62,38.44
2009-07-28,91,91,False,0.91,82.81
2009-07-29,31,31,False,0.31,9.61
2009-07-30,71,71,False,0.71,50.41
2009-07-31,41,41,False,0.41,16.81
2009-08-01,39,39,False,0.39,15.21
2009-08-02,27,27,False,0.27,7.290000000000001
2009-08-03,95,95,False,0.95,90.25
2009-08-04,34,34,False,0.34,11.56
2009-08-05,51,51,False,0.51,26.01
2009-08-06,53,53,False,0.53,28.09
2009-08-07,18,18,False,0.18,3.2399999999999998
2009-08-08,39,39,False,0.39,15.21
2009-08-09,54,54,False,0.54,29.160000000000004
2009-08-10,43,43,False,0.43,18.49
2009-08-11,34,34,False,0.34,11.56
2009-08-12,77,77,False,0.77,59.29
2009-08-13,69,69,False,0.69,47.61
2009-08-14,18,18,False,0.18,3.2399999999999998
2009-08-15,52,52,False,0.52,27.04
2009-08-16,40,40,False,0.4,16.0
2009-08-17,77,77,False,0.77,59.29
2009-08-18,59,59,False,0.59,34.809999999999995
2009-08-19,42,42,False,0.42,17.64
2009-08-20,51,51,False,0.51,26.01
2009-08-21,18,18,False,0.18,3.2399999999999998
2009-08-22,50,50,False,0.5,25.0
2009-08-23,38,38,False,0.38,14.44
2009-08-24,84,84,False,0.84,70.56
2009-08-25,58,58,False,0.58,33.64
2009-08-26,100,100,False,1.0,100.0
2009-08-27,33,33,False,0.33,10.89
2009-08-28,71,71,False,0.71,50.41
2009-08-29,72,72,False,0.72,51.839999999999996
2009-08-30,12,12,False,0.12,1.44
2009-08-31,75,75,False,0.75,56.25
2009-09-01,88,88,False,0.88,77.44
2009-09-02,100,100,False,1.0,100.0
2009-09-03,61,61,False,0.61,37.21
2009-09-04,44,44,False,0.44,19.36
2009-09-05,62,62,False,0.62,38.44
2009-09-06,48,48,False,0.48,23.04
2009-09-07,41,41,False,0.41,16.81
2009-09-08,49,49,False,0.49,24.009999999999998
2009-09-09,67,67,False,0.67,44.89
2009-09-10,58,58,False,0.58,33.64
2009-09-11,41,41,False,0.41,16.81
2009-09-12,99,99,False,0.99,98.01
2009-09-13,43,43,False,0.43,18.49
2009-09-14,58,58,False,0.58,33.64
2009-09-15,66,66,False,0.66,43.56
2009-09-16,38,38,False,0.38,14.44
2009-09-17,58,58,False,0.58,33.64
2009-09-18,73,73,False,0.73,53.29
2009-09-19,29,29,False,0.29,8.41
2009-09-20,15,15,False,0.15,2.25
2009-09-21,48,48,False,0.48,23.04
2009-09-22,37,37,False,0.37,13.69
2009-09-23,66,66,False,0.66,43.56
2009-09-24,39,39,False,0.39,15.21
2009-09-25,62,62,False,0.62,38.44
2009-09-26,59,59,False,0.59,34.809999999999995
2009-09-27,86,86,False,0.86,73.96
2009-09-28,38,38,False,0.38,14.44
2009-09-29,84,84,False,0.84,70.56
2009-09-30,57,57,False,0.57,32.489999999999995
2009-10-01,59,59,False,0.59,34.809999999999995
2009-10-02,63,63,False,0.63,39.69
2009-10-03,29,29,False,0.29,8.41
2009-10-04,44,44,False,0.44,19.36
2009-10-05,29,29,False,0.29,8.41
2009-10-06,47,47,False,0.47,22.09
2009-10-07,87,87,False,0.87,75.69
2009-10-08,59,59,False,0.59,34.809999999999995
2009-10-09,61,61,False,0.61,37.21
2009-10-10,58,58,False,0.58,33.64
2009-10-11,74,74,False,0.74,54.76
2009-10-12,60,60,False,0.6,36.0
2009-10-13,76,76,False,0.76,57.76
2009-10-14,87,87,False,0.87,75.69
2009-10-15,48,48,False,0.48,23.04
2009-10-16,42,42,False,0.42,17.64
2009-10-17,15,15,False,0.15,2.25
2009-10-18,29,29,False,0.29,8.41
2009-10-19,39,39,False,0.39,15.21
2009-10-20,38,38,False,0.38,14.44
2009-10-21,85,85,False,0.85,72.25
2009-10-22,19,19,False,0.19,3.61
2009-10-23,10,10,False,0.1,1.0
2009-10-24,100,100,False,1.0,100.0
2009-10-25,57,57,False,0.57,32.489999999999995
2009-10-26,56,56,False,0.56,31.360000000000003
2009-10-27,37,37,False,0.37,13.69
2009-10-28,65,65,False,0.65,42.25
2009-10-29,47,47,False,0.47,22.09
2009-10-30,52,52,False,0.52,27.04
2009-10-31,44,44,False,0.44,19.36
2009-11-01,86,86,False,0.86,73.96
2009-11-02,76,76,False,0.76,57.76
2009-11-03,52,52,False,0.52,27.04
2009-11-04,83,83,False,0.83,68.89
2009-11-05,32,32,False,0.32,10.24
2009-11-06,57,57,False,0.57,32.489999999999995
2009-11-07,48,48,False,0.48,23.04
2009-11-08,48,48,False,0.48,23.04
2009-11-09,52,52,False,0.52,27.04
2009-11-10,73,73,False,0.73,53.29
2009-11-11,33,33,False,0.33,10.89
2009-11-12,53,53,False,0.53,28.09
2009-11-13,100,100,False,1.0,100.0
2009-11-14,46,46,False,0.46,21.16
2009-11-15,46,46,False,0.46,21.16
2009-11-16,21,21,False,0.21,4.41
2009-11-17,10,10,False,0.1,1.0
2009-11-18,82,82,False,0.82,67.24
2009-11-19,52,52,False,0.52,27.04
2009-11-20,44,44,False,0.44,19.36
2009-11-21,0,0,False,0.0,0.0
2009-11-22,94,94,False,0.94,88.36
2009-11-23,83,83,False,0.83,68.89
2009-11-24,94,94,False,0.94,88.36
2009-11-25,24,24,False,0.24,5.76
2009-11-26,49,49,False,0.49,24.009999999999998
2009-11-27,30,30,False,0.3,9.0
2009-11-28,32,32,False,0.32,10.24
2009-11-29,47,47,False,0.47,22.09
2009-11-30,51,51,False,0.51,26.01
2009-12-01,57,57,False,0.57,32.489999999999995
2009-12-02,38,38,False,0.38,14.44
2009-12-03,48,48,False,0.48,23.04
2009-12-04,20,20,False,0.2,4.0
2009-12-05,84,84,False,0.84,70.56
2009-12-06,43,43,False,0.43,18.49
2009-12-07,47,47,False,0.47,22.09
2009-12-08,37,37,False,0.37,13.69
2009-12-09,66,66,False,0.66,43.56
2009-12-10,68,68,False,0.68,46.24
2009-12-11,61,61,False,0.61,37.21
2009-12-12,71,71,False,0.71,50.41
2009-12-13,57,57,False,0.57,32.489999999999995
2009-12-14,39,39,False,0.39,15.21
2009-12-15,29,29,False,0.29,8.41
2009-12-16,10,10,False,0.1,1.0
2009-12-17,61,61,False,0.61,37.21
2009-12-18,33,33,False,0.33,10.89
