date,CAR DONATE_unscaled,CAR DONATE_monthly,isPartial,scale,CAR DONATE
2005-07-06,0,60.0,,0.6,0.0
2005-07-07,0,60.0,,0.6,0.0
2005-07-08,33,60.0,,0.6,19.8
2005-07-09,0,60.0,,0.6,0.0
2005-07-10,53,60.0,,0.6,31.799999999999997
2005-07-11,31,60.0,,0.6,18.599999999999998
2005-07-12,30,60.0,,0.6,18.0
2005-07-13,30,60.0,,0.6,18.0
2005-07-14,0,60.0,,0.6,0.0
2005-07-15,0,60.0,,0.6,0.0
2005-07-16,51,60.0,,0.6,30.599999999999998
2005-07-17,0,60.0,,0.6,0.0
2005-07-18,61,60.0,,0.6,36.6
2005-07-19,30,60.0,,0.6,18.0
2005-07-20,0,60.0,,0.6,0.0
2005-07-21,0,60.0,,0.6,0.0
2005-07-22,100,60.0,,0.6,60.0
2005-07-23,52,60.0,,0.6,31.2
2005-07-24,52,60.0,,0.6,31.2
2005-07-25,0,60.0,,0.6,0.0
2005-07-26,30,60.0,,0.6,18.0
2005-07-27,0,60.0,,0.6,0.0
2005-07-28,32,60.0,,0.6,19.2
2005-07-29,33,60.0,,0.6,19.8
2005-07-30,0,60.0,,0.6,0.0
2005-07-31,52,60.0,,0.6,31.2
2005-08-01,53,77.0,False,0.77,40.81
2005-08-02,0,77.0,,0.77,0.0
2005-08-03,78,77.0,,0.77,60.06
2005-08-04,27,77.0,,0.77,20.79
2005-08-05,29,77.0,,0.77,22.330000000000002
2005-08-06,88,77.0,,0.77,67.76
2005-08-07,45,77.0,,0.77,34.65
2005-08-08,64,77.0,,0.77,49.28
2005-08-09,25,77.0,,0.77,19.25
2005-08-10,65,77.0,,0.77,50.050000000000004
2005-08-11,26,77.0,,0.77,20.02
2005-08-12,28,77.0,,0.77,21.560000000000002
2005-08-13,0,77.0,,0.77,0.0
2005-08-14,43,77.0,,0.77,33.11
2005-08-15,64,77.0,,0.77,49.28
2005-08-16,38,77.0,,0.77,29.26
2005-08-17,39,77.0,,0.77,30.03
