date,the patron_unscaled,the patron_monthly,isPartial,scale,the patron
2005-09-07,31,56.0,,0.56,17.360000000000003
2005-09-08,32,56.0,,0.56,17.92
2005-09-09,34,56.0,,0.56,19.040000000000003
2005-09-10,0,56.0,,0.56,0.0
2005-09-11,100,56.0,,0.56,56.00000000000001
2005-09-12,62,56.0,,0.56,34.720000000000006
2005-09-13,61,56.0,,0.56,34.160000000000004
2005-09-14,93,56.0,,0.56,52.080000000000005
2005-09-15,0,56.0,,0.56,0.0
2005-09-16,0,56.0,,0.56,0.0
2005-09-17,51,56.0,,0.56,28.560000000000002
2005-09-18,0,56.0,,0.56,0.0
2005-09-19,61,56.0,,0.56,34.160000000000004
2005-09-20,0,56.0,,0.56,0.0
2005-09-21,60,56.0,,0.56,33.6
2005-09-22,94,56.0,,0.56,52.64000000000001
2005-09-23,34,56.0,,0.56,19.040000000000003
2005-09-24,0,56.0,,0.56,0.0
2005-09-25,0,56.0,,0.56,0.0
2005-09-26,60,56.0,,0.56,33.6
2005-09-27,30,56.0,,0.56,16.8
2005-09-28,0,56.0,,0.56,0.0
2005-09-29,30,56.0,,0.56,16.8
2005-09-30,33,56.0,,0.56,18.48
2005-10-01,0,70.0,False,0.7,0.0
2005-10-02,40,70.0,,0.7,28.0
2005-10-03,0,70.0,,0.7,0.0
2005-10-04,12,70.0,,0.7,8.399999999999999
2005-10-05,12,70.0,,0.7,8.399999999999999
2005-10-06,0,70.0,,0.7,0.0
2005-10-07,13,70.0,,0.7,9.1
2005-10-08,0,70.0,,0.7,0.0
2005-10-09,100,70.0,,0.7,70.0
2005-10-10,0,70.0,,0.7,0.0
2005-10-11,12,70.0,,0.7,8.399999999999999
2005-10-12,12,70.0,,0.7,8.399999999999999
2005-10-13,12,70.0,,0.7,8.399999999999999
2005-10-14,39,70.0,,0.7,27.299999999999997
2005-10-15,0,70.0,,0.7,0.0
2005-10-16,20,70.0,,0.7,14.0
2005-10-17,24,70.0,,0.7,16.799999999999997
2005-10-18,12,70.0,,0.7,8.399999999999999
2005-10-19,12,70.0,,0.7,8.399999999999999
2005-10-20,24,70.0,,0.7,16.799999999999997
2005-10-21,13,70.0,,0.7,9.1
2005-10-22,0,70.0,,0.7,0.0
2005-10-23,19,70.0,,0.7,13.299999999999999
2005-10-24,35,70.0,,0.7,24.5
2005-10-25,23,70.0,,0.7,16.099999999999998
2005-10-26,59,70.0,,0.7,41.3
2005-10-27,12,70.0,,0.7,8.399999999999999
2005-10-28,13,70.0,,0.7,9.1
2005-10-29,0,70.0,,0.7,0.0
2005-10-30,60,70.0,,0.7,42.0
2005-10-31,24,70.0,,0.7,16.799999999999997
2005-11-01,84,87.0,False,0.87,73.08
2005-11-02,81,87.0,,0.87,70.47
2005-11-03,82,87.0,,0.87,71.34
2005-11-04,43,87.0,,0.87,37.41
2005-11-05,67,87.0,,0.87,58.29
2005-11-06,33,87.0,,0.87,28.71
2005-11-07,100,87.0,,0.87,87.0
2005-11-08,39,87.0,,0.87,33.93
2005-11-09,67,87.0,,0.87,58.29
2005-11-10,57,87.0,,0.87,49.589999999999996
2005-11-11,0,87.0,,0.87,0.0
2005-11-12,0,87.0,,0.87,0.0
2005-11-13,66,87.0,,0.87,57.42
2005-11-14,20,87.0,,0.87,17.4
2005-11-15,19,87.0,,0.87,16.53
2005-11-16,58,87.0,,0.87,50.46
2005-11-17,79,87.0,,0.87,68.73
2005-11-18,0,87.0,,0.87,0.0
2005-11-19,33,87.0,,0.87,28.71
2005-11-20,0,87.0,,0.87,0.0
2005-11-21,40,87.0,,0.87,34.8
2005-11-22,0,87.0,,0.87,0.0
2005-11-23,0,87.0,,0.87,0.0
2005-11-24,36,87.0,,0.87,31.32
2005-11-25,32,87.0,,0.87,27.84
2005-11-26,66,87.0,,0.87,57.42
2005-11-27,63,87.0,,0.87,54.81
2005-11-28,37,87.0,,0.87,32.19
2005-11-29,55,87.0,,0.87,47.85
2005-11-30,94,87.0,,0.87,81.78
2005-12-01,19,47.0,False,0.47,8.93
2005-12-02,21,47.0,,0.47,9.87
2005-12-03,31,47.0,,0.47,14.569999999999999
2005-12-04,61,47.0,,0.47,28.669999999999998
2005-12-05,0,47.0,,0.47,0.0
2005-12-06,0,47.0,,0.47,0.0
2005-12-07,38,47.0,,0.47,17.86
2005-12-08,0,47.0,,0.47,0.0
2005-12-09,62,47.0,,0.47,29.139999999999997
2005-12-10,62,47.0,,0.47,29.139999999999997
2005-12-11,0,47.0,,0.47,0.0
2005-12-12,38,47.0,,0.47,17.86
2005-12-13,0,47.0,,0.47,0.0
2005-12-14,39,47.0,,0.47,18.33
2005-12-15,0,47.0,,0.47,0.0
2005-12-16,43,47.0,,0.47,20.209999999999997
2005-12-17,0,47.0,,0.47,0.0
2005-12-18,34,47.0,,0.47,15.979999999999999
2005-12-19,0,47.0,,0.47,0.0
2005-12-20,0,47.0,,0.47,0.0
2005-12-21,0,47.0,,0.47,0.0
2005-12-22,23,47.0,,0.47,10.809999999999999
2005-12-23,0,47.0,,0.47,0.0
2005-12-24,0,47.0,,0.47,0.0
2005-12-25,0,47.0,,0.47,0.0
2005-12-26,36,47.0,,0.47,16.919999999999998
2005-12-27,0,47.0,,0.47,0.0
2005-12-28,0,47.0,,0.47,0.0
2005-12-29,0,47.0,,0.47,0.0
2005-12-30,0,47.0,,0.47,0.0
2005-12-31,100,47.0,,0.47,47.0
2006-01-01,65,50.0,False,0.5,32.5
2006-01-02,45,50.0,,0.5,22.5
2006-01-03,0,50.0,,0.5,0.0
2006-01-04,0,50.0,,0.5,0.0
2006-01-05,32,50.0,,0.5,16.0
2006-01-06,100,50.0,,0.5,50.0
2006-01-07,0,50.0,,0.5,0.0
2006-01-08,51,50.0,,0.5,25.5
2006-01-09,64,50.0,,0.5,32.0
2006-01-10,0,50.0,,0.5,0.0
2006-01-11,94,50.0,,0.5,47.0
2006-01-12,64,50.0,,0.5,32.0
2006-01-13,33,50.0,,0.5,16.5
2006-01-14,0,50.0,,0.5,0.0
2006-01-15,50,50.0,,0.5,25.0
2006-01-16,35,50.0,,0.5,17.5
2006-01-17,0,50.0,,0.5,0.0
2006-01-18,0,50.0,,0.5,0.0
2006-01-19,62,50.0,,0.5,31.0
2006-01-20,64,50.0,,0.5,32.0
2006-01-21,0,50.0,,0.5,0.0
2006-01-22,47,50.0,,0.5,23.5
2006-01-23,0,50.0,,0.5,0.0
2006-01-24,0,50.0,,0.5,0.0
2006-01-25,59,50.0,,0.5,29.5
2006-01-26,0,50.0,,0.5,0.0
2006-01-27,32,50.0,,0.5,16.0
2006-01-28,93,50.0,,0.5,46.5
2006-01-29,0,50.0,,0.5,0.0
2006-01-30,59,50.0,,0.5,29.5
2006-01-31,29,50.0,,0.5,14.5
2006-02-01,0,67.0,False,0.67,0.0
2006-02-02,42,67.0,,0.67,28.14
2006-02-03,22,67.0,,0.67,14.74
2006-02-04,0,67.0,,0.67,0.0
2006-02-05,64,67.0,,0.67,42.88
2006-02-06,0,67.0,,0.67,0.0
2006-02-07,40,67.0,,0.67,26.8
2006-02-08,40,67.0,,0.67,26.8
2006-02-09,0,67.0,,0.67,0.0
2006-02-10,21,67.0,,0.67,14.07
2006-02-11,63,67.0,,0.67,42.21
2006-02-12,94,67.0,,0.67,62.980000000000004
