date,cost plus_unscaled,cost plus_monthly,isPartial,scale,cost plus
2006-06-14,35,35,False,0.35,12.25
2006-06-15,24,24,False,0.24,5.76
2006-06-16,26,26,False,0.26,6.76
2006-06-17,100,100,False,1.0,100.0
2006-06-18,20,20,False,0.2,4.0
2006-06-19,12,12,False,0.12,1.44
2006-06-20,35,35,False,0.35,12.25
2006-06-21,36,36,False,0.36,12.959999999999999
2006-06-22,36,36,False,0.36,12.959999999999999
2006-06-23,44,44,False,0.44,19.36
2006-06-24,47,47,False,0.47,22.09
2006-06-25,93,93,False,0.93,86.49000000000001
2006-06-26,62,62,False,0.62,38.44
2006-06-27,51,51,False,0.51,26.01
2006-06-28,52,52,False,0.52,27.04
2006-06-29,65,65,False,0.65,42.25
2006-06-30,77,77,False,0.77,59.29
2006-07-01,68,68,False,0.68,46.24
2006-07-02,71,71,False,0.71,50.41
2006-07-03,72,72,False,0.72,51.839999999999996
2006-07-04,88,88,False,0.88,77.44
2006-07-05,43,43,False,0.43,18.49
2006-07-06,34,34,False,0.34,11.56
2006-07-07,61,61,False,0.61,37.21
2006-07-08,54,54,False,0.54,29.160000000000004
2006-07-09,93,93,False,0.93,86.49000000000001
2006-07-10,23,23,False,0.23,5.29
2006-07-11,33,33,False,0.33,10.89
2006-07-12,45,45,False,0.45,20.25
2006-07-13,63,63,False,0.63,39.69
2006-07-14,37,37,False,0.37,13.69
2006-07-15,71,71,False,0.71,50.41
2006-07-16,100,100,False,1.0,100.0
2006-07-17,39,39,False,0.39,15.21
2006-07-18,33,33,False,0.33,10.89
2006-07-19,84,84,False,0.84,70.56
2006-07-20,45,45,False,0.45,20.25
2006-07-21,48,48,False,0.48,23.04
2006-07-22,26,26,False,0.26,6.76
2006-07-23,62,62,False,0.62,38.44
2006-07-24,44,44,False,0.44,19.36
2006-07-25,49,49,False,0.49,24.009999999999998
2006-07-26,33,33,False,0.33,10.89
2006-07-27,28,28,False,0.28,7.840000000000001
2006-07-28,48,48,False,0.48,23.04
2006-07-29,18,18,False,0.18,3.2399999999999998
2006-07-30,27,27,False,0.27,7.290000000000001
2006-07-31,50,50,False,0.5,25.0
2006-08-01,57,57,False,0.57,32.489999999999995
2006-08-02,27,27,False,0.27,7.290000000000001
2006-08-03,23,23,False,0.23,5.29
2006-08-04,34,34,False,0.34,11.56
2006-08-05,57,57,False,0.57,32.489999999999995
2006-08-06,44,44,False,0.44,19.36
2006-08-07,27,27,False,0.27,7.290000000000001
2006-08-08,48,48,False,0.48,23.04
2006-08-09,26,26,False,0.26,6.76
2006-08-10,59,59,False,0.59,34.809999999999995
2006-08-11,43,43,False,0.43,18.49
2006-08-12,71,71,False,0.71,50.41
2006-08-13,88,88,False,0.88,77.44
