date,low cost_unscaled,low cost_monthly,isPartial,scale,low cost
2005-10-24,50,50,False,0.5,25.0
2005-10-25,49,49,False,0.49,24.009999999999998
2005-10-26,81,81,False,0.81,65.61
2005-10-27,41,41,False,0.41,16.81
2005-10-28,33,33,False,0.33,10.89
2005-10-29,68,68,False,0.68,46.24
2005-10-30,84,84,False,0.84,70.56
2005-10-31,93,93,False,0.93,86.49000000000001
2005-11-01,62,62,False,0.62,38.44
2005-11-02,100,100,False,1.0,100.0
2005-11-03,31,31,False,0.31,9.61
2005-11-04,80,80,False,0.8,64.0
2005-11-05,25,25,False,0.25,6.25
2005-11-06,12,12,False,0.12,1.44
2005-11-07,75,75,False,0.75,56.25
2005-11-08,29,29,False,0.29,8.41
2005-11-09,0,0,False,0.0,0.0
2005-11-10,76,76,False,0.76,57.76
2005-11-11,34,34,False,0.34,11.56
2005-11-12,87,87,False,0.87,75.69
2005-11-13,97,97,False,0.97,94.09
2005-11-14,73,73,False,0.73,53.29
2005-11-15,65,65,False,0.65,42.25
2005-11-16,50,50,False,0.5,25.0
2005-11-17,83,83,False,0.83,68.89
2005-11-18,72,72,False,0.72,51.839999999999996
2005-11-19,61,61,False,0.61,37.21
2005-11-20,85,85,False,0.85,72.25
2005-11-21,66,66,False,0.66,43.56
2005-11-22,15,15,False,0.15,2.25
2005-11-23,76,76,False,0.76,57.76
2005-11-24,40,40,False,0.4,16.0
2005-11-25,48,48,False,0.48,23.04
2005-11-26,62,62,False,0.62,38.44
2005-11-27,58,58,False,0.58,33.64
2005-11-28,79,79,False,0.79,62.410000000000004
2005-11-29,68,68,False,0.68,46.24
2005-11-30,56,56,False,0.56,31.360000000000003
2005-12-01,41,41,False,0.41,16.81
2005-12-02,36,36,False,0.36,12.959999999999999
2005-12-03,65,65,False,0.65,42.25
2005-12-04,43,43,False,0.43,18.49
2005-12-05,41,41,False,0.41,16.81
2005-12-06,72,72,False,0.72,51.839999999999996
2005-12-07,54,54,False,0.54,29.160000000000004
2005-12-08,41,41,False,0.41,16.81
2005-12-09,7,7,False,0.07,0.49000000000000005
2005-12-10,87,87,False,0.87,75.69
2005-12-11,0,0,False,0.0,0.0
2005-12-12,83,83,False,0.83,68.89
2005-12-13,68,68,False,0.68,46.24
2005-12-14,21,21,False,0.21,4.41
2005-12-15,58,58,False,0.58,33.64
2005-12-16,23,23,False,0.23,5.29
2005-12-17,23,23,False,0.23,5.29
2005-12-18,36,36,False,0.36,12.959999999999999
2005-12-19,15,15,False,0.15,2.25
2005-12-20,44,44,False,0.44,19.36
2005-12-21,38,38,False,0.38,14.44
2005-12-22,33,33,False,0.33,10.89
2005-12-23,40,40,False,0.4,16.0
