date,DONATION_unscaled,DONATION_monthly,isPartial,scale,DONATION
2005-12-22,43,63.0,,0.63,27.09
2005-12-23,57,63.0,,0.63,35.910000000000004
2005-12-24,64,63.0,,0.63,40.32
2005-12-25,10,63.0,,0.63,6.3
2005-12-26,51,63.0,,0.63,32.13
2005-12-27,71,63.0,,0.63,44.73
2005-12-28,100,63.0,,0.63,63.0
2005-12-29,67,63.0,,0.63,42.21
2005-12-30,37,63.0,,0.63,23.31
2005-12-31,40,63.0,,0.63,25.2
2006-01-01,97,45.0,False,0.45,43.65
2006-01-02,39,45.0,,0.45,17.55
2006-01-03,55,45.0,,0.45,24.75
2006-01-04,53,45.0,,0.45,23.85
2006-01-05,70,45.0,,0.45,31.5
2006-01-06,85,45.0,,0.45,38.25
2006-01-07,100,45.0,,0.45,45.0
2006-01-08,32,45.0,,0.45,14.4
2006-01-09,77,45.0,,0.45,34.65
2006-01-10,47,45.0,,0.45,21.150000000000002
2006-01-11,47,45.0,,0.45,21.150000000000002
2006-01-12,32,45.0,,0.45,14.4
2006-01-13,50,45.0,,0.45,22.5
2006-01-14,24,45.0,,0.45,10.8
2006-01-15,32,45.0,,0.45,14.4
2006-01-16,54,45.0,,0.45,24.3
2006-01-17,43,45.0,,0.45,19.35
2006-01-18,66,45.0,,0.45,29.7
2006-01-19,67,45.0,,0.45,30.150000000000002
2006-01-20,45,45.0,,0.45,20.25
2006-01-21,48,45.0,,0.45,21.6
2006-01-22,42,45.0,,0.45,18.900000000000002
2006-01-23,42,45.0,,0.45,18.900000000000002
2006-01-24,41,45.0,,0.45,18.45
2006-01-25,57,45.0,,0.45,25.650000000000002
2006-01-26,62,45.0,,0.45,27.900000000000002
2006-01-27,40,45.0,,0.45,18.0
2006-01-28,36,45.0,,0.45,16.2
2006-01-29,52,45.0,,0.45,23.400000000000002
2006-01-30,49,45.0,,0.45,22.05
2006-01-31,48,45.0,,0.45,21.6
2006-02-01,79,52.0,False,0.52,41.08
2006-02-02,65,52.0,,0.52,33.800000000000004
2006-02-03,82,52.0,,0.52,42.64
2006-02-04,77,52.0,,0.52,40.04
2006-02-05,70,52.0,,0.52,36.4
2006-02-06,65,52.0,,0.52,33.800000000000004
2006-02-07,68,52.0,,0.52,35.36
2006-02-08,78,52.0,,0.52,40.56
2006-02-09,80,52.0,,0.52,41.6
2006-02-10,55,52.0,,0.52,28.6
2006-02-11,41,52.0,,0.52,21.32
2006-02-12,86,52.0,,0.52,44.72
2006-02-13,59,52.0,,0.52,30.68
2006-02-14,61,52.0,,0.52,31.720000000000002
2006-02-15,76,52.0,,0.52,39.52
2006-02-16,70,52.0,,0.52,36.4
2006-02-17,61,52.0,,0.52,31.720000000000002
2006-02-18,61,52.0,,0.52,31.720000000000002
2006-02-19,66,52.0,,0.52,34.32
2006-02-20,86,52.0,,0.52,44.72
2006-02-21,85,52.0,,0.52,44.2
2006-02-22,88,52.0,,0.52,45.760000000000005
2006-02-23,59,52.0,,0.52,30.68
2006-02-24,81,52.0,,0.52,42.120000000000005
2006-02-25,100,52.0,,0.52,52.0
2006-02-26,62,52.0,,0.52,32.24
2006-02-27,58,52.0,,0.52,30.16
2006-02-28,78,52.0,,0.52,40.56
2006-03-01,67,61.0,False,0.61,40.87
2006-03-02,49,61.0,,0.61,29.89
2006-03-03,66,61.0,,0.61,40.26
2006-03-04,41,61.0,,0.61,25.009999999999998
2006-03-05,25,61.0,,0.61,15.25
2006-03-06,59,61.0,,0.61,35.99
2006-03-07,67,61.0,,0.61,40.87
2006-03-08,61,61.0,,0.61,37.21
2006-03-09,46,61.0,,0.61,28.06
2006-03-10,28,61.0,,0.61,17.08
2006-03-11,26,61.0,,0.61,15.86
2006-03-12,36,61.0,,0.61,21.96
2006-03-13,53,61.0,,0.61,32.33
2006-03-14,55,61.0,,0.61,33.55
2006-03-15,43,61.0,,0.61,26.23
2006-03-16,37,61.0,,0.61,22.57
2006-03-17,78,61.0,,0.61,47.58
2006-03-18,68,61.0,,0.61,41.48
2006-03-19,41,61.0,,0.61,25.009999999999998
2006-03-20,97,61.0,,0.61,59.17
2006-03-21,75,61.0,,0.61,45.75
2006-03-22,48,61.0,,0.61,29.28
2006-03-23,39,61.0,,0.61,23.79
2006-03-24,42,61.0,,0.61,25.62
2006-03-25,71,61.0,,0.61,43.31
2006-03-26,56,61.0,,0.61,34.16
2006-03-27,61,61.0,,0.61,37.21
2006-03-28,57,61.0,,0.61,34.769999999999996
2006-03-29,54,61.0,,0.61,32.94
2006-03-30,100,61.0,,0.61,61.0
2006-03-31,49,61.0,,0.61,29.89
2006-04-01,35,55.0,False,0.55,19.25
2006-04-02,84,55.0,,0.55,46.2
2006-04-03,60,55.0,,0.55,33.0
2006-04-04,80,55.0,,0.55,44.0
2006-04-05,94,55.0,,0.55,51.7
2006-04-06,85,55.0,,0.55,46.75000000000001
2006-04-07,74,55.0,,0.55,40.7
2006-04-08,54,55.0,,0.55,29.700000000000003
2006-04-09,78,55.0,,0.55,42.900000000000006
2006-04-10,74,55.0,,0.55,40.7
2006-04-11,89,55.0,,0.55,48.95
2006-04-12,61,55.0,,0.55,33.550000000000004
2006-04-13,86,55.0,,0.55,47.300000000000004
2006-04-14,63,55.0,,0.55,34.650000000000006
2006-04-15,72,55.0,,0.55,39.6
2006-04-16,60,55.0,,0.55,33.0
2006-04-17,100,55.0,,0.55,55.00000000000001
2006-04-18,67,55.0,,0.55,36.85
2006-04-19,64,55.0,,0.55,35.2
2006-04-20,90,55.0,,0.55,49.50000000000001
2006-04-21,83,55.0,,0.55,45.650000000000006
2006-04-22,41,55.0,,0.55,22.55
2006-04-23,93,55.0,,0.55,51.150000000000006
2006-04-24,79,55.0,,0.55,43.45
2006-04-25,57,55.0,,0.55,31.35
2006-04-26,62,55.0,,0.55,34.1
2006-04-27,76,55.0,,0.55,41.800000000000004
2006-04-28,46,55.0,,0.55,25.3
2006-04-29,49,55.0,,0.55,26.950000000000003
2006-04-30,81,55.0,,0.55,44.550000000000004
2006-05-01,70,47.0,False,0.47,32.9
2006-05-02,74,47.0,,0.47,34.78
2006-05-03,75,47.0,,0.47,35.25
2006-05-04,59,47.0,,0.47,27.729999999999997
2006-05-05,72,47.0,,0.47,33.839999999999996
2006-05-06,85,47.0,,0.47,39.949999999999996
2006-05-07,56,47.0,,0.47,26.32
2006-05-08,62,47.0,,0.47,29.139999999999997
2006-05-09,70,47.0,,0.47,32.9
2006-05-10,75,47.0,,0.47,35.25
2006-05-11,42,47.0,,0.47,19.74
2006-05-12,46,47.0,,0.47,21.619999999999997
2006-05-13,28,47.0,,0.47,13.16
2006-05-14,58,47.0,,0.47,27.259999999999998
2006-05-15,83,47.0,,0.47,39.01
2006-05-16,83,47.0,,0.47,39.01
2006-05-17,46,47.0,,0.47,21.619999999999997
2006-05-18,56,47.0,,0.47,26.32
2006-05-19,60,47.0,,0.47,28.2
2006-05-20,80,47.0,,0.47,37.599999999999994
2006-05-21,100,47.0,,0.47,47.0
2006-05-22,47,47.0,,0.47,22.09
2006-05-23,63,47.0,,0.47,29.61
2006-05-24,69,47.0,,0.47,32.43
2006-05-25,76,47.0,,0.47,35.72
2006-05-26,68,47.0,,0.47,31.959999999999997
2006-05-27,76,47.0,,0.47,35.72
2006-05-28,33,47.0,,0.47,15.51
2006-05-29,69,47.0,,0.47,32.43
2006-05-30,78,47.0,,0.47,36.66
2006-05-31,43,47.0,,0.47,20.209999999999997
2006-06-01,87,49.0,False,0.49,42.63
2006-06-02,48,49.0,,0.49,23.52
2006-06-03,80,49.0,,0.49,39.2
2006-06-04,81,49.0,,0.49,39.69
2006-06-05,81,49.0,,0.49,39.69
2006-06-06,69,49.0,,0.49,33.81
2006-06-07,93,49.0,,0.49,45.57
2006-06-08,77,49.0,,0.49,37.73
2006-06-09,96,49.0,,0.49,47.04
2006-06-10,73,49.0,,0.49,35.769999999999996
2006-06-11,39,49.0,,0.49,19.11
2006-06-12,66,49.0,,0.49,32.339999999999996
2006-06-13,58,49.0,,0.49,28.419999999999998
2006-06-14,91,49.0,,0.49,44.589999999999996
2006-06-15,86,49.0,,0.49,42.14
2006-06-16,62,49.0,,0.49,30.38
2006-06-17,31,49.0,,0.49,15.19
2006-06-18,65,49.0,,0.49,31.849999999999998
2006-06-19,65,49.0,,0.49,31.849999999999998
2006-06-20,84,49.0,,0.49,41.16
2006-06-21,91,49.0,,0.49,44.589999999999996
2006-06-22,87,49.0,,0.49,42.63
2006-06-23,71,49.0,,0.49,34.79
2006-06-24,46,49.0,,0.49,22.54
2006-06-25,42,49.0,,0.49,20.58
2006-06-26,80,49.0,,0.49,39.2
2006-06-27,100,49.0,,0.49,49.0
2006-06-28,81,49.0,,0.49,39.69
2006-06-29,81,49.0,,0.49,39.69
2006-06-30,64,49.0,,0.49,31.36
2006-07-01,84,45.0,False,0.45,37.800000000000004
2006-07-02,99,45.0,,0.45,44.550000000000004
2006-07-03,95,45.0,,0.45,42.75
2006-07-04,42,45.0,,0.45,18.900000000000002
2006-07-05,47,45.0,,0.45,21.150000000000002
2006-07-06,82,45.0,,0.45,36.9
2006-07-07,100,45.0,,0.45,45.0
2006-07-08,52,45.0,,0.45,23.400000000000002
2006-07-09,71,45.0,,0.45,31.95
2006-07-10,75,45.0,,0.45,33.75
2006-07-11,84,45.0,,0.45,37.800000000000004
2006-07-12,80,45.0,,0.45,36.0
2006-07-13,66,45.0,,0.45,29.7
