date,equity loan_unscaled,equity loan_monthly,isPartial,scale,equity loan
2014-06-07,39,54.0,,0.54,21.060000000000002
2014-06-08,59,54.0,,0.54,31.860000000000003
2014-06-09,90,54.0,,0.54,48.6
2014-06-10,87,54.0,,0.54,46.980000000000004
2014-06-11,61,54.0,,0.54,32.940000000000005
2014-06-12,67,54.0,,0.54,36.18
2014-06-13,85,54.0,,0.54,45.900000000000006
2014-06-14,33,54.0,,0.54,17.82
2014-06-15,48,54.0,,0.54,25.92
2014-06-16,57,54.0,,0.54,30.78
2014-06-17,61,54.0,,0.54,32.940000000000005
2014-06-18,52,54.0,,0.54,28.080000000000002
2014-06-19,83,54.0,,0.54,44.82
2014-06-20,64,54.0,,0.54,34.56
2014-06-21,85,54.0,,0.54,45.900000000000006
2014-06-22,60,54.0,,0.54,32.400000000000006
2014-06-23,62,54.0,,0.54,33.480000000000004
2014-06-24,82,54.0,,0.54,44.28
2014-06-25,82,54.0,,0.54,44.28
2014-06-26,72,54.0,,0.54,38.88
2014-06-27,75,54.0,,0.54,40.5
2014-06-28,66,54.0,,0.54,35.64
2014-06-29,79,54.0,,0.54,42.660000000000004
2014-06-30,98,54.0,,0.54,52.92
2014-07-01,80,60.0,False,0.6,48.0
2014-07-02,92,60.0,,0.6,55.199999999999996
2014-07-03,55,60.0,,0.6,33.0
2014-07-04,27,60.0,,0.6,16.2
2014-07-05,37,60.0,,0.6,22.2
2014-07-06,62,60.0,,0.6,37.199999999999996
2014-07-07,100,60.0,,0.6,60.0
2014-07-08,91,60.0,,0.6,54.6
2014-07-09,68,60.0,,0.6,40.8
2014-07-10,79,60.0,,0.6,47.4
2014-07-11,95,60.0,,0.6,57.0
2014-07-12,32,60.0,,0.6,19.2
2014-07-13,46,60.0,,0.6,27.599999999999998
2014-07-14,93,60.0,,0.6,55.8
2014-07-15,91,60.0,,0.6,54.6
2014-07-16,100,60.0,,0.6,60.0
2014-07-17,84,60.0,,0.6,50.4
2014-07-18,70,60.0,,0.6,42.0
2014-07-19,56,60.0,,0.6,33.6
2014-07-20,56,60.0,,0.6,33.6
2014-07-21,91,60.0,,0.6,54.6
2014-07-22,94,60.0,,0.6,56.4
2014-07-23,87,60.0,,0.6,52.199999999999996
2014-07-24,70,60.0,,0.6,42.0
2014-07-25,62,60.0,,0.6,37.199999999999996
2014-07-26,59,60.0,,0.6,35.4
2014-07-27,66,60.0,,0.6,39.6
2014-07-28,81,60.0,,0.6,48.6
2014-07-29,79,60.0,,0.6,47.4
2014-07-30,80,60.0,,0.6,48.0
2014-07-31,47,60.0,,0.6,28.2
2014-08-01,66,52.0,False,0.52,34.32
2014-08-02,69,52.0,,0.52,35.88
2014-08-03,50,52.0,,0.52,26.0
2014-08-04,93,52.0,,0.52,48.36
2014-08-05,78,52.0,,0.52,40.56
2014-08-06,56,52.0,,0.52,29.12
2014-08-07,77,52.0,,0.52,40.04
2014-08-08,70,52.0,,0.52,36.4
2014-08-09,46,52.0,,0.52,23.92
2014-08-10,37,52.0,,0.52,19.240000000000002
2014-08-11,55,52.0,,0.52,28.6
2014-08-12,66,52.0,,0.52,34.32
2014-08-13,73,52.0,,0.52,37.96
2014-08-14,80,52.0,,0.52,41.6
2014-08-15,100,52.0,,0.52,52.0
2014-08-16,56,52.0,,0.52,29.12
2014-08-17,36,52.0,,0.52,18.72
2014-08-18,100,52.0,,0.52,52.0
2014-08-19,67,52.0,,0.52,34.84
2014-08-20,62,52.0,,0.52,32.24
2014-08-21,60,52.0,,0.52,31.200000000000003
2014-08-22,56,52.0,,0.52,29.12
2014-08-23,48,52.0,,0.52,24.96
2014-08-24,58,52.0,,0.52,30.16
2014-08-25,72,52.0,,0.52,37.44
2014-08-26,85,52.0,,0.52,44.2
2014-08-27,88,52.0,,0.52,45.760000000000005
2014-08-28,64,52.0,,0.52,33.28
2014-08-29,65,52.0,,0.52,33.800000000000004
2014-08-30,68,52.0,,0.52,35.36
2014-08-31,46,52.0,,0.52,23.92
2014-09-01,34,51.0,False,0.51,17.34
2014-09-02,84,51.0,,0.51,42.84
2014-09-03,100,51.0,,0.51,51.0
2014-09-04,36,51.0,,0.51,18.36
2014-09-05,70,51.0,,0.51,35.7
2014-09-06,51,51.0,,0.51,26.01
2014-09-07,50,51.0,,0.51,25.5
2014-09-08,81,51.0,,0.51,41.31
2014-09-09,67,51.0,,0.51,34.17
2014-09-10,40,51.0,,0.51,20.4
2014-09-11,66,51.0,,0.51,33.660000000000004
2014-09-12,66,51.0,,0.51,33.660000000000004
2014-09-13,72,51.0,,0.51,36.72
2014-09-14,30,51.0,,0.51,15.3
2014-09-15,62,51.0,,0.51,31.62
2014-09-16,66,51.0,,0.51,33.660000000000004
2014-09-17,74,51.0,,0.51,37.74
2014-09-18,67,51.0,,0.51,34.17
2014-09-19,67,51.0,,0.51,34.17
2014-09-20,71,51.0,,0.51,36.21
2014-09-21,45,51.0,,0.51,22.95
2014-09-22,67,51.0,,0.51,34.17
2014-09-23,66,51.0,,0.51,33.660000000000004
2014-09-24,62,51.0,,0.51,31.62
2014-09-25,51,51.0,,0.51,26.01
2014-09-26,58,51.0,,0.51,29.580000000000002
2014-09-27,57,51.0,,0.51,29.07
2014-09-28,27,51.0,,0.51,13.77
2014-09-29,72,51.0,,0.51,36.72
2014-09-30,85,51.0,,0.51,43.35
2014-10-01,67,45.0,False,0.45,30.150000000000002
2014-10-02,100,45.0,,0.45,45.0
2014-10-03,64,45.0,,0.45,28.8
2014-10-04,34,45.0,,0.45,15.3
2014-10-05,60,45.0,,0.45,27.0
2014-10-06,59,45.0,,0.45,26.55
2014-10-07,82,45.0,,0.45,36.9
2014-10-08,58,45.0,,0.45,26.1
2014-10-09,92,45.0,,0.45,41.4
2014-10-10,68,45.0,,0.45,30.6
2014-10-11,60,45.0,,0.45,27.0
2014-10-12,71,45.0,,0.45,31.95
2014-10-13,96,45.0,,0.45,43.2
2014-10-14,87,45.0,,0.45,39.15
2014-10-15,81,45.0,,0.45,36.45
2014-10-16,53,45.0,,0.45,23.85
2014-10-17,62,45.0,,0.45,27.900000000000002
2014-10-18,58,45.0,,0.45,26.1
2014-10-19,76,45.0,,0.45,34.2
2014-10-20,76,45.0,,0.45,34.2
2014-10-21,87,45.0,,0.45,39.15
2014-10-22,83,45.0,,0.45,37.35
2014-10-23,67,45.0,,0.45,30.150000000000002
2014-10-24,56,45.0,,0.45,25.2
2014-10-25,42,45.0,,0.45,18.900000000000002
2014-10-26,49,45.0,,0.45,22.05
2014-10-27,87,45.0,,0.45,39.15
2014-10-28,81,45.0,,0.45,36.45
2014-10-29,84,45.0,,0.45,37.800000000000004
2014-10-30,65,45.0,,0.45,29.25
2014-10-31,67,45.0,,0.45,30.150000000000002
2014-11-01,45,41.0,False,0.41,18.45
2014-11-02,45,41.0,,0.41,18.45
2014-11-03,67,41.0,,0.41,27.47
