date,ECONOMY_unscaled,ECONOMY_monthly,isPartial,scale,ECONOMY
2005-11-02,72,65.0,,0.65,46.800000000000004
2005-11-03,62,65.0,,0.65,40.300000000000004
2005-11-04,40,65.0,,0.65,26.0
2005-11-05,25,65.0,,0.65,16.25
2005-11-06,42,65.0,,0.65,27.3
2005-11-07,45,65.0,,0.65,29.25
2005-11-08,54,65.0,,0.65,35.1
2005-11-09,100,65.0,,0.65,65.0
2005-11-10,68,65.0,,0.65,44.2
2005-11-11,60,65.0,,0.65,39.0
2005-11-12,39,65.0,,0.65,25.35
2005-11-13,66,65.0,,0.65,42.9
2005-11-14,60,65.0,,0.65,39.0
2005-11-15,51,65.0,,0.65,33.15
2005-11-16,42,65.0,,0.65,27.3
2005-11-17,56,65.0,,0.65,36.4
2005-11-18,49,65.0,,0.65,31.85
2005-11-19,52,65.0,,0.65,33.800000000000004
2005-11-20,46,65.0,,0.65,29.900000000000002
2005-11-21,55,65.0,,0.65,35.75
2005-11-22,65,65.0,,0.65,42.25
2005-11-23,52,65.0,,0.65,33.800000000000004
2005-11-24,24,65.0,,0.65,15.600000000000001
2005-11-25,24,65.0,,0.65,15.600000000000001
2005-11-26,50,65.0,,0.65,32.5
2005-11-27,50,65.0,,0.65,32.5
2005-11-28,69,65.0,,0.65,44.85
2005-11-29,66,65.0,,0.65,42.9
2005-11-30,55,65.0,,0.65,35.75
2005-12-01,73,53.0,False,0.53,38.690000000000005
2005-12-02,86,53.0,,0.53,45.580000000000005
2005-12-03,32,53.0,,0.53,16.96
2005-12-04,89,53.0,,0.53,47.17
2005-12-05,95,53.0,,0.53,50.35
2005-12-06,100,53.0,,0.53,53.0
2005-12-07,88,53.0,,0.53,46.64
2005-12-08,80,53.0,,0.53,42.400000000000006
2005-12-09,58,53.0,,0.53,30.740000000000002
2005-12-10,54,53.0,,0.53,28.62
2005-12-11,59,53.0,,0.53,31.270000000000003
2005-12-12,76,53.0,,0.53,40.28
2005-12-13,85,53.0,,0.53,45.050000000000004
2005-12-14,80,53.0,,0.53,42.400000000000006
2005-12-15,51,53.0,,0.53,27.03
2005-12-16,38,53.0,,0.53,20.14
2005-12-17,40,53.0,,0.53,21.200000000000003
2005-12-18,46,53.0,,0.53,24.380000000000003
2005-12-19,31,53.0,,0.53,16.43
2005-12-20,50,53.0,,0.53,26.5
2005-12-21,66,53.0,,0.53,34.980000000000004
2005-12-22,39,53.0,,0.53,20.67
2005-12-23,50,53.0,,0.53,26.5
2005-12-24,13,53.0,,0.53,6.890000000000001
2005-12-25,15,53.0,,0.53,7.95
2005-12-26,26,53.0,,0.53,13.780000000000001
2005-12-27,23,53.0,,0.53,12.190000000000001
2005-12-28,25,53.0,,0.53,13.25
2005-12-29,32,53.0,,0.53,16.96
2005-12-30,27,53.0,,0.53,14.31
2005-12-31,38,53.0,,0.53,20.14
2006-01-01,51,51.0,False,0.51,26.01
2006-01-02,49,51.0,,0.51,24.990000000000002
2006-01-03,53,51.0,,0.51,27.03
2006-01-04,41,51.0,,0.51,20.91
2006-01-05,66,51.0,,0.51,33.660000000000004
2006-01-06,62,51.0,,0.51,31.62
2006-01-07,36,51.0,,0.51,18.36
2006-01-08,45,51.0,,0.51,22.95
2006-01-09,61,51.0,,0.51,31.11
2006-01-10,72,51.0,,0.51,36.72
2006-01-11,66,51.0,,0.51,33.660000000000004
2006-01-12,73,51.0,,0.51,37.230000000000004
2006-01-13,68,51.0,,0.51,34.68
2006-01-14,58,51.0,,0.51,29.580000000000002
2006-01-15,45,51.0,,0.51,22.95
2006-01-16,60,51.0,,0.51,30.6
2006-01-17,74,51.0,,0.51,37.74
2006-01-18,78,51.0,,0.51,39.78
2006-01-19,76,51.0,,0.51,38.76
2006-01-20,55,51.0,,0.51,28.05
2006-01-21,30,51.0,,0.51,15.3
2006-01-22,46,51.0,,0.51,23.46
2006-01-23,100,51.0,,0.51,51.0
2006-01-24,66,51.0,,0.51,33.660000000000004
2006-01-25,75,51.0,,0.51,38.25
2006-01-26,81,51.0,,0.51,41.31
2006-01-27,72,51.0,,0.51,36.72
2006-01-28,23,51.0,,0.51,11.73
2006-01-29,41,51.0,,0.51,20.91
2006-01-30,46,51.0,,0.51,23.46
2006-01-31,99,51.0,,0.51,50.49
2006-02-01,81,56.0,False,0.56,45.36000000000001
2006-02-02,92,56.0,,0.56,51.52
2006-02-03,55,56.0,,0.56,30.800000000000004
2006-02-04,61,56.0,,0.56,34.160000000000004
2006-02-05,55,56.0,,0.56,30.800000000000004
2006-02-06,71,56.0,,0.56,39.760000000000005
2006-02-07,67,56.0,,0.56,37.52
2006-02-08,75,56.0,,0.56,42.00000000000001
2006-02-09,61,56.0,,0.56,34.160000000000004
2006-02-10,78,56.0,,0.56,43.68000000000001
2006-02-11,34,56.0,,0.56,19.040000000000003
2006-02-12,49,56.0,,0.56,27.44
2006-02-13,43,56.0,,0.56,24.080000000000002
2006-02-14,59,56.0,,0.56,33.040000000000006
2006-02-15,100,56.0,,0.56,56.00000000000001
2006-02-16,63,56.0,,0.56,35.28
2006-02-17,78,56.0,,0.56,43.68000000000001
2006-02-18,47,56.0,,0.56,26.320000000000004
2006-02-19,49,56.0,,0.56,27.44
2006-02-20,53,56.0,,0.56,29.680000000000003
2006-02-21,65,56.0,,0.56,36.400000000000006
2006-02-22,47,56.0,,0.56,26.320000000000004
2006-02-23,72,56.0,,0.56,40.32000000000001
2006-02-24,46,56.0,,0.56,25.76
2006-02-25,36,56.0,,0.56,20.160000000000004
2006-02-26,60,56.0,,0.56,33.6
2006-02-27,54,56.0,,0.56,30.240000000000002
2006-02-28,61,56.0,,0.56,34.160000000000004
2006-03-01,100,59.0,False,0.59,59.0
2006-03-02,92,59.0,,0.59,54.279999999999994
2006-03-03,86,59.0,,0.59,50.739999999999995
2006-03-04,40,59.0,,0.59,23.599999999999998
2006-03-05,83,59.0,,0.59,48.97
2006-03-06,81,59.0,,0.59,47.79
2006-03-07,89,59.0,,0.59,52.51
2006-03-08,97,59.0,,0.59,57.23
2006-03-09,82,59.0,,0.59,48.379999999999995
2006-03-10,75,59.0,,0.59,44.25
2006-03-11,46,59.0,,0.59,27.139999999999997
2006-03-12,86,59.0,,0.59,50.739999999999995
2006-03-13,74,59.0,,0.59,43.66
2006-03-14,86,59.0,,0.59,50.739999999999995
2006-03-15,99,59.0,,0.59,58.41
2006-03-16,89,59.0,,0.59,52.51
2006-03-17,64,59.0,,0.59,37.76
2006-03-18,59,59.0,,0.59,34.809999999999995
2006-03-19,58,59.0,,0.59,34.22
2006-03-20,76,59.0,,0.59,44.839999999999996
2006-03-21,98,59.0,,0.59,57.82
2006-03-22,92,59.0,,0.59,54.279999999999994
2006-03-23,74,59.0,,0.59,43.66
2006-03-24,65,59.0,,0.59,38.35
2006-03-25,50,59.0,,0.59,29.5
2006-03-26,62,59.0,,0.59,36.58
2006-03-27,86,59.0,,0.59,50.739999999999995
2006-03-28,98,59.0,,0.59,57.82
2006-03-29,86,59.0,,0.59,50.739999999999995
2006-03-30,91,59.0,,0.59,53.69
2006-03-31,90,59.0,,0.59,53.099999999999994
2006-04-01,39,70.0,False,0.7,27.299999999999997
2006-04-02,57,70.0,,0.7,39.9
2006-04-03,80,70.0,,0.7,56.0
2006-04-04,69,70.0,,0.7,48.3
2006-04-05,67,70.0,,0.7,46.9
2006-04-06,59,70.0,,0.7,41.3
2006-04-07,63,70.0,,0.7,44.099999999999994
2006-04-08,51,70.0,,0.7,35.699999999999996
2006-04-09,76,70.0,,0.7,53.199999999999996
2006-04-10,58,70.0,,0.7,40.599999999999994
2006-04-11,78,70.0,,0.7,54.599999999999994
2006-04-12,73,70.0,,0.7,51.099999999999994
2006-04-13,64,70.0,,0.7,44.8
2006-04-14,58,70.0,,0.7,40.599999999999994
2006-04-15,59,70.0,,0.7,41.3
2006-04-16,67,70.0,,0.7,46.9
2006-04-17,76,70.0,,0.7,53.199999999999996
2006-04-18,61,70.0,,0.7,42.699999999999996
2006-04-19,84,70.0,,0.7,58.8
2006-04-20,97,70.0,,0.7,67.89999999999999
2006-04-21,62,70.0,,0.7,43.4
2006-04-22,64,70.0,,0.7,44.8
2006-04-23,70,70.0,,0.7,49.0
2006-04-24,94,70.0,,0.7,65.8
2006-04-25,100,70.0,,0.7,70.0
2006-04-26,91,70.0,,0.7,63.699999999999996
2006-04-27,67,70.0,,0.7,46.9
2006-04-28,87,70.0,,0.7,60.9
2006-04-29,56,70.0,,0.7,39.199999999999996
2006-04-30,77,70.0,,0.7,53.9
2006-05-01,94,70.0,False,0.7,65.8
2006-05-02,100,70.0,,0.7,70.0
2006-05-03,78,70.0,,0.7,54.599999999999994
2006-05-04,80,70.0,,0.7,56.0
2006-05-05,76,70.0,,0.7,53.199999999999996
2006-05-06,56,70.0,,0.7,39.199999999999996
2006-05-07,63,70.0,,0.7,44.099999999999994
2006-05-08,80,70.0,,0.7,56.0
2006-05-09,84,70.0,,0.7,58.8
2006-05-10,84,70.0,,0.7,58.8
2006-05-11,77,70.0,,0.7,53.9
2006-05-12,58,70.0,,0.7,40.599999999999994
2006-05-13,52,70.0,,0.7,36.4
2006-05-14,66,70.0,,0.7,46.199999999999996
2006-05-15,82,70.0,,0.7,57.4
2006-05-16,82,70.0,,0.7,57.4
2006-05-17,87,70.0,,0.7,60.9
2006-05-18,72,70.0,,0.7,50.4
2006-05-19,57,70.0,,0.7,39.9
2006-05-20,51,70.0,,0.7,35.699999999999996
2006-05-21,50,70.0,,0.7,35.0
2006-05-22,60,70.0,,0.7,42.0
2006-05-23,71,70.0,,0.7,49.699999999999996
2006-05-24,71,70.0,,0.7,49.699999999999996
2006-05-25,65,70.0,,0.7,45.5
2006-05-26,47,70.0,,0.7,32.9
2006-05-27,35,70.0,,0.7,24.5
2006-05-28,34,70.0,,0.7,23.799999999999997
2006-05-29,64,70.0,,0.7,44.8
2006-05-30,63,70.0,,0.7,44.099999999999994
2006-05-31,56,70.0,,0.7,39.199999999999996
2006-06-01,93,41.0,False,0.41,38.129999999999995
2006-06-02,74,41.0,,0.41,30.34
2006-06-03,49,41.0,,0.41,20.09
2006-06-04,75,41.0,,0.41,30.749999999999996
2006-06-05,98,41.0,,0.41,40.18
2006-06-06,100,41.0,,0.41,41.0
2006-06-07,79,41.0,,0.41,32.39
2006-06-08,94,41.0,,0.41,38.54
2006-06-09,79,41.0,,0.41,32.39
2006-06-10,45,41.0,,0.41,18.45
2006-06-11,55,41.0,,0.41,22.549999999999997
2006-06-12,88,41.0,,0.41,36.08
2006-06-13,70,41.0,,0.41,28.7
2006-06-14,72,41.0,,0.41,29.52
2006-06-15,77,41.0,,0.41,31.569999999999997
2006-06-16,44,41.0,,0.41,18.04
2006-06-17,57,41.0,,0.41,23.369999999999997
2006-06-18,46,41.0,,0.41,18.86
2006-06-19,50,41.0,,0.41,20.5
2006-06-20,55,41.0,,0.41,22.549999999999997
2006-06-21,72,41.0,,0.41,29.52
2006-06-22,64,41.0,,0.41,26.24
2006-06-23,66,41.0,,0.41,27.06
2006-06-24,44,41.0,,0.41,18.04
2006-06-25,84,41.0,,0.41,34.44
2006-06-26,51,41.0,,0.41,20.91
2006-06-27,55,41.0,,0.41,22.549999999999997
2006-06-28,47,41.0,,0.41,19.27
2006-06-29,57,41.0,,0.41,23.369999999999997
2006-06-30,55,41.0,,0.41,22.549999999999997
2006-07-01,85,37.0,False,0.37,31.45
2006-07-02,65,37.0,,0.37,24.05
2006-07-03,66,37.0,,0.37,24.419999999999998
2006-07-04,71,37.0,,0.37,26.27
2006-07-05,65,37.0,,0.37,24.05
2006-07-06,89,37.0,,0.37,32.93
2006-07-07,80,37.0,,0.37,29.6
2006-07-08,79,37.0,,0.37,29.23
2006-07-09,76,37.0,,0.37,28.12
2006-07-10,82,37.0,,0.37,30.34
2006-07-11,93,37.0,,0.37,34.41
2006-07-12,85,37.0,,0.37,31.45
2006-07-13,83,37.0,,0.37,30.71
2006-07-14,100,37.0,,0.37,37.0
2006-07-15,88,37.0,,0.37,32.56
2006-07-16,96,37.0,,0.37,35.519999999999996
2006-07-17,92,37.0,,0.37,34.04
2006-07-18,99,37.0,,0.37,36.63
2006-07-19,99,37.0,,0.37,36.63
2006-07-20,72,37.0,,0.37,26.64
2006-07-21,85,37.0,,0.37,31.45
2006-07-22,89,37.0,,0.37,32.93
2006-07-23,97,37.0,,0.37,35.89
2006-07-24,71,37.0,,0.37,26.27
2006-07-25,80,37.0,,0.37,29.6
2006-07-26,100,37.0,,0.37,37.0
2006-07-27,89,37.0,,0.37,32.93
2006-07-28,79,37.0,,0.37,29.23
2006-07-29,81,37.0,,0.37,29.97
2006-07-30,76,37.0,,0.37,28.12
2006-07-31,82,37.0,,0.37,30.34
2006-08-01,67,36.0,False,0.36,24.119999999999997
2006-08-02,74,36.0,,0.36,26.64
2006-08-03,78,36.0,,0.36,28.08
2006-08-04,70,36.0,,0.36,25.2
2006-08-05,56,36.0,,0.36,20.16
2006-08-06,79,36.0,,0.36,28.439999999999998
2006-08-07,80,36.0,,0.36,28.799999999999997
2006-08-08,84,36.0,,0.36,30.24
2006-08-09,60,36.0,,0.36,21.599999999999998
2006-08-10,61,36.0,,0.36,21.96
2006-08-11,70,36.0,,0.36,25.2
2006-08-12,63,36.0,,0.36,22.68
2006-08-13,92,36.0,,0.36,33.12
2006-08-14,71,36.0,,0.36,25.56
2006-08-15,75,36.0,,0.36,27.0
2006-08-16,79,36.0,,0.36,28.439999999999998
2006-08-17,71,36.0,,0.36,25.56
2006-08-18,55,36.0,,0.36,19.8
2006-08-19,46,36.0,,0.36,16.56
2006-08-20,49,36.0,,0.36,17.64
2006-08-21,67,36.0,,0.36,24.119999999999997
