date,BANKRUPTCY_unscaled,BANKRUPTCY_monthly,isPartial,scale,BANKRUPTCY
2009-02-24,90,88.0,,0.88,79.2
2009-02-25,81,88.0,,0.88,71.28
2009-02-26,85,88.0,,0.88,74.8
2009-02-27,84,88.0,,0.88,73.92
2009-02-28,33,88.0,,0.88,29.04
2009-03-01,45,84.0,False,0.84,37.8
2009-03-02,81,84.0,,0.84,68.03999999999999
2009-03-03,82,84.0,,0.84,68.88
2009-03-04,85,84.0,,0.84,71.39999999999999
2009-03-05,95,84.0,,0.84,79.8
2009-03-06,95,84.0,,0.84,79.8
2009-03-07,53,84.0,,0.84,44.519999999999996
2009-03-08,52,84.0,,0.84,43.68
2009-03-09,89,84.0,,0.84,74.75999999999999
2009-03-10,74,84.0,,0.84,62.16
2009-03-11,91,84.0,,0.84,76.44
2009-03-12,82,84.0,,0.84,68.88
2009-03-13,67,84.0,,0.84,56.28
2009-03-14,53,84.0,,0.84,44.519999999999996
2009-03-15,44,84.0,,0.84,36.96
2009-03-16,100,84.0,,0.84,84.0
2009-03-17,87,84.0,,0.84,73.08
2009-03-18,92,84.0,,0.84,77.28
2009-03-19,72,84.0,,0.84,60.48
2009-03-20,75,84.0,,0.84,63.0
2009-03-21,46,84.0,,0.84,38.64
2009-03-22,34,84.0,,0.84,28.56
2009-03-23,75,84.0,,0.84,63.0
2009-03-24,82,84.0,,0.84,68.88
2009-03-25,82,84.0,,0.84,68.88
2009-03-26,78,84.0,,0.84,65.52
2009-03-27,88,84.0,,0.84,73.92
2009-03-28,54,84.0,,0.84,45.36
2009-03-29,40,84.0,,0.84,33.6
2009-03-30,89,84.0,,0.84,74.75999999999999
2009-03-31,96,84.0,,0.84,80.64
2009-04-01,81,84.0,False,0.84,68.03999999999999
2009-04-02,71,84.0,,0.84,59.64
2009-04-03,71,84.0,,0.84,59.64
2009-04-04,30,84.0,,0.84,25.2
2009-04-05,41,84.0,,0.84,34.44
2009-04-06,58,84.0,,0.84,48.72
2009-04-07,72,84.0,,0.84,60.48
2009-04-08,63,84.0,,0.84,52.919999999999995
2009-04-09,64,84.0,,0.84,53.76
2009-04-10,40,84.0,,0.84,33.6
2009-04-11,32,84.0,,0.84,26.88
2009-04-12,27,84.0,,0.84,22.68
2009-04-13,80,84.0,,0.84,67.2
2009-04-14,73,84.0,,0.84,61.32
2009-04-15,62,84.0,,0.84,52.08
2009-04-16,84,84.0,,0.84,70.56
2009-04-17,77,84.0,,0.84,64.67999999999999
2009-04-18,41,84.0,,0.84,34.44
2009-04-19,28,84.0,,0.84,23.52
2009-04-20,59,84.0,,0.84,49.559999999999995
2009-04-21,74,84.0,,0.84,62.16
2009-04-22,70,84.0,,0.84,58.8
2009-04-23,72,84.0,,0.84,60.48
2009-04-24,71,84.0,,0.84,59.64
2009-04-25,39,84.0,,0.84,32.76
2009-04-26,43,84.0,,0.84,36.12
2009-04-27,53,84.0,,0.84,44.519999999999996
2009-04-28,61,84.0,,0.84,51.239999999999995
2009-04-29,57,84.0,,0.84,47.879999999999995
2009-04-30,100,84.0,,0.84,84.0
2009-05-01,98,86.0,False,0.86,84.28
2009-05-02,37,86.0,,0.86,31.82
2009-05-03,40,86.0,,0.86,34.4
2009-05-04,88,86.0,,0.86,75.67999999999999
2009-05-05,92,86.0,,0.86,79.12
2009-05-06,92,86.0,,0.86,79.12
2009-05-07,98,86.0,,0.86,84.28
2009-05-08,75,86.0,,0.86,64.5
2009-05-09,50,86.0,,0.86,43.0
2009-05-10,39,86.0,,0.86,33.54
2009-05-11,83,86.0,,0.86,71.38
2009-05-12,76,86.0,,0.86,65.36
2009-05-13,91,86.0,,0.86,78.26
2009-05-14,79,86.0,,0.86,67.94
2009-05-15,69,86.0,,0.86,59.339999999999996
2009-05-16,40,86.0,,0.86,34.4
2009-05-17,26,86.0,,0.86,22.36
2009-05-18,80,86.0,,0.86,68.8
2009-05-19,85,86.0,,0.86,73.1
2009-05-20,99,86.0,,0.86,85.14
2009-05-21,80,86.0,,0.86,68.8
2009-05-22,62,86.0,,0.86,53.32
2009-05-23,39,86.0,,0.86,33.54
2009-05-24,38,86.0,,0.86,32.68
2009-05-25,44,86.0,,0.86,37.839999999999996
2009-05-26,94,86.0,,0.86,80.84
2009-05-27,92,86.0,,0.86,79.12
2009-05-28,100,86.0,,0.86,86.0
2009-05-29,100,86.0,,0.86,86.0
2009-05-30,72,86.0,,0.86,61.92
2009-05-31,62,86.0,,0.86,53.32
2009-06-01,100,100.0,False,1.0,100.0
2009-06-02,62,100.0,,1.0,62.0
2009-06-03,53,100.0,,1.0,53.0
2009-06-04,47,100.0,,1.0,47.0
2009-06-05,43,100.0,,1.0,43.0
2009-06-06,28,100.0,,1.0,28.0
2009-06-07,24,100.0,,1.0,24.0
2009-06-08,46,100.0,,1.0,46.0
2009-06-09,49,100.0,,1.0,49.0
2009-06-10,51,100.0,,1.0,51.0
2009-06-11,41,100.0,,1.0,41.0
2009-06-12,34,100.0,,1.0,34.0
2009-06-13,27,100.0,,1.0,27.0
2009-06-14,33,100.0,,1.0,33.0
2009-06-15,44,100.0,,1.0,44.0
2009-06-16,50,100.0,,1.0,50.0
2009-06-17,50,100.0,,1.0,50.0
2009-06-18,50,100.0,,1.0,50.0
2009-06-19,39,100.0,,1.0,39.0
2009-06-20,22,100.0,,1.0,22.0
2009-06-21,19,100.0,,1.0,19.0
2009-06-22,44,100.0,,1.0,44.0
2009-06-23,44,100.0,,1.0,44.0
2009-06-24,45,100.0,,1.0,45.0
2009-06-25,41,100.0,,1.0,41.0
2009-06-26,40,100.0,,1.0,40.0
2009-06-27,25,100.0,,1.0,25.0
2009-06-28,20,100.0,,1.0,20.0
2009-06-29,41,100.0,,1.0,41.0
2009-06-30,47,100.0,,1.0,47.0
2009-07-01,83,88.0,False,0.88,73.04
2009-07-02,81,88.0,,0.88,71.28
2009-07-03,41,88.0,,0.88,36.08
2009-07-04,39,88.0,,0.88,34.32
2009-07-05,41,88.0,,0.88,36.08
2009-07-06,83,88.0,,0.88,73.04
2009-07-07,90,88.0,,0.88,79.2
2009-07-08,99,88.0,,0.88,87.12
2009-07-09,87,88.0,,0.88,76.56
2009-07-10,94,88.0,,0.88,82.72
2009-07-11,45,88.0,,0.88,39.6
2009-07-12,50,88.0,,0.88,44.0
2009-07-13,91,88.0,,0.88,80.08
2009-07-14,100,88.0,,0.88,88.0
2009-07-15,85,88.0,,0.88,74.8
2009-07-16,91,88.0,,0.88,80.08
2009-07-17,73,88.0,,0.88,64.24
2009-07-18,51,88.0,,0.88,44.88
2009-07-19,47,88.0,,0.88,41.36
2009-07-20,84,88.0,,0.88,73.92
2009-07-21,89,88.0,,0.88,78.32000000000001
2009-07-22,86,88.0,,0.88,75.68
2009-07-23,84,88.0,,0.88,73.92
2009-07-24,74,88.0,,0.88,65.12
2009-07-25,54,88.0,,0.88,47.52
2009-07-26,51,88.0,,0.88,44.88
2009-07-27,79,88.0,,0.88,69.52
2009-07-28,91,88.0,,0.88,80.08
2009-07-29,83,88.0,,0.88,73.04
2009-07-30,83,88.0,,0.88,73.04
2009-07-31,77,88.0,,0.88,67.76
2009-08-01,47,78.0,False,0.78,36.660000000000004
2009-08-02,42,78.0,,0.78,32.76
2009-08-03,85,78.0,,0.78,66.3
2009-08-04,99,78.0,,0.78,77.22
2009-08-05,90,78.0,,0.78,70.2
2009-08-06,79,78.0,,0.78,61.620000000000005
2009-08-07,86,78.0,,0.78,67.08
2009-08-08,35,78.0,,0.78,27.3
2009-08-09,45,78.0,,0.78,35.1
2009-08-10,88,78.0,,0.78,68.64
2009-08-11,100,78.0,,0.78,78.0
2009-08-12,94,78.0,,0.78,73.32000000000001
2009-08-13,70,78.0,,0.78,54.6
2009-08-14,69,78.0,,0.78,53.82
2009-08-15,44,78.0,,0.78,34.32
2009-08-16,65,78.0,,0.78,50.7
2009-08-17,86,78.0,,0.78,67.08
2009-08-18,73,78.0,,0.78,56.940000000000005
2009-08-19,100,78.0,,0.78,78.0
2009-08-20,80,78.0,,0.78,62.400000000000006
2009-08-21,73,78.0,,0.78,56.940000000000005
2009-08-22,47,78.0,,0.78,36.660000000000004
2009-08-23,51,78.0,,0.78,39.78
2009-08-24,86,78.0,,0.78,67.08
2009-08-25,79,78.0,,0.78,61.620000000000005
2009-08-26,88,78.0,,0.78,68.64
2009-08-27,81,78.0,,0.78,63.18
2009-08-28,75,78.0,,0.78,58.5
2009-08-29,34,78.0,,0.78,26.52
2009-08-30,59,78.0,,0.78,46.02
2009-08-31,83,78.0,,0.78,64.74000000000001
2009-09-01,79,75.0,False,0.75,59.25
2009-09-02,81,75.0,,0.75,60.75
2009-09-03,69,75.0,,0.75,51.75
2009-09-04,67,75.0,,0.75,50.25
2009-09-05,38,75.0,,0.75,28.5
2009-09-06,35,75.0,,0.75,26.25
2009-09-07,41,75.0,,0.75,30.75
2009-09-08,70,75.0,,0.75,52.5
2009-09-09,70,75.0,,0.75,52.5
2009-09-10,80,75.0,,0.75,60.0
2009-09-11,72,75.0,,0.75,54.0
2009-09-12,47,75.0,,0.75,35.25
2009-09-13,38,75.0,,0.75,28.5
2009-09-14,73,75.0,,0.75,54.75
2009-09-15,78,75.0,,0.75,58.5
2009-09-16,83,75.0,,0.75,62.25
2009-09-17,69,75.0,,0.75,51.75
2009-09-18,58,75.0,,0.75,43.5
2009-09-19,44,75.0,,0.75,33.0
2009-09-20,36,75.0,,0.75,27.0
2009-09-21,69,75.0,,0.75,51.75
2009-09-22,100,75.0,,0.75,75.0
2009-09-23,86,75.0,,0.75,64.5
2009-09-24,79,75.0,,0.75,59.25
2009-09-25,81,75.0,,0.75,60.75
2009-09-26,46,75.0,,0.75,34.5
2009-09-27,48,75.0,,0.75,36.0
2009-09-28,76,75.0,,0.75,57.0
2009-09-29,81,75.0,,0.75,60.75
2009-09-30,79,75.0,,0.75,59.25
2009-10-01,88,78.0,False,0.78,68.64
2009-10-02,82,78.0,,0.78,63.96
2009-10-03,50,78.0,,0.78,39.0
2009-10-04,40,78.0,,0.78,31.200000000000003
2009-10-05,82,78.0,,0.78,63.96
2009-10-06,100,78.0,,0.78,78.0
2009-10-07,78,78.0,,0.78,60.84
2009-10-08,92,78.0,,0.78,71.76
2009-10-09,68,78.0,,0.78,53.04
2009-10-10,52,78.0,,0.78,40.56
2009-10-11,51,78.0,,0.78,39.78
2009-10-12,83,78.0,,0.78,64.74000000000001
2009-10-13,94,78.0,,0.78,73.32000000000001
2009-10-14,77,78.0,,0.78,60.06
2009-10-15,81,78.0,,0.78,63.18
2009-10-16,63,78.0,,0.78,49.14
2009-10-17,40,78.0,,0.78,31.200000000000003
2009-10-18,38,78.0,,0.78,29.64
2009-10-19,82,78.0,,0.78,63.96
2009-10-20,99,78.0,,0.78,77.22
2009-10-21,73,78.0,,0.78,56.940000000000005
2009-10-22,77,78.0,,0.78,60.06
2009-10-23,79,78.0,,0.78,61.620000000000005
2009-10-24,43,78.0,,0.78,33.54
2009-10-25,49,78.0,,0.78,38.22
2009-10-26,93,78.0,,0.78,72.54
2009-10-27,91,78.0,,0.78,70.98
2009-10-28,90,78.0,,0.78,70.2
2009-10-29,70,78.0,,0.78,54.6
2009-10-30,77,78.0,,0.78,60.06
2009-10-31,41,78.0,,0.78,31.98
2009-11-01,36,72.0,False,0.72,25.919999999999998
2009-11-02,100,72.0,,0.72,72.0
2009-11-03,77,72.0,,0.72,55.44
2009-11-04,61,72.0,,0.72,43.92
2009-11-05,63,72.0,,0.72,45.36
2009-11-06,56,72.0,,0.72,40.32
2009-11-07,34,72.0,,0.72,24.48
2009-11-08,40,72.0,,0.72,28.799999999999997
2009-11-09,75,72.0,,0.72,54.0
2009-11-10,63,72.0,,0.72,45.36
2009-11-11,63,72.0,,0.72,45.36
2009-11-12,59,72.0,,0.72,42.48
2009-11-13,54,72.0,,0.72,38.879999999999995
2009-11-14,43,72.0,,0.72,30.959999999999997
2009-11-15,32,72.0,,0.72,23.04
2009-11-16,60,72.0,,0.72,43.199999999999996
2009-11-17,73,72.0,,0.72,52.559999999999995
2009-11-18,68,72.0,,0.72,48.96
2009-11-19,54,72.0,,0.72,38.879999999999995
2009-11-20,58,72.0,,0.72,41.76
2009-11-21,33,72.0,,0.72,23.759999999999998
2009-11-22,30,72.0,,0.72,21.599999999999998
2009-11-23,56,72.0,,0.72,40.32
2009-11-24,60,72.0,,0.72,43.199999999999996
2009-11-25,52,72.0,,0.72,37.44
2009-11-26,29,72.0,,0.72,20.88
2009-11-27,36,72.0,,0.72,25.919999999999998
