date,luxury apartments_unscaled,luxury apartments_monthly,isPartial,scale,luxury apartments
2006-07-24,84,84,False,0.84,70.56
2006-07-25,17,17,False,0.17,2.89
2006-07-26,33,33,False,0.33,10.89
2006-07-27,0,0,False,0.0,0.0
2006-07-28,54,54,False,0.54,29.160000000000004
2006-07-29,27,27,False,0.27,7.290000000000001
2006-07-30,0,0,False,0.0,0.0
2006-07-31,100,100,False,1.0,100.0
2006-08-01,58,58,False,0.58,33.64
2006-08-02,0,0,False,0.0,0.0
2006-08-03,81,81,False,0.81,65.61
2006-08-04,22,22,False,0.22,4.84
2006-08-05,96,96,False,0.96,92.16
2006-08-06,0,0,False,0.0,0.0
2006-08-07,100,100,False,1.0,100.0
2006-08-08,20,20,False,0.2,4.0
2006-08-09,39,39,False,0.39,15.21
2006-08-10,60,60,False,0.6,36.0
2006-08-11,43,43,False,0.43,18.49
2006-08-12,31,31,False,0.31,9.61
2006-08-13,65,65,False,0.65,42.25
2006-08-14,60,60,False,0.6,36.0
2006-08-15,0,0,False,0.0,0.0
2006-08-16,99,99,False,0.99,98.01
2006-08-17,20,20,False,0.2,4.0
2006-08-18,21,21,False,0.21,4.41
2006-08-19,62,62,False,0.62,38.44
2006-08-20,31,31,False,0.31,9.61
2006-08-21,39,39,False,0.39,15.21
2006-08-22,58,58,False,0.58,33.64
2006-08-23,19,19,False,0.19,3.61
2006-08-24,59,59,False,0.59,34.809999999999995
2006-08-25,62,62,False,0.62,38.44
2006-08-26,59,59,False,0.59,34.809999999999995
2006-08-27,29,29,False,0.29,8.41
2006-08-28,0,0,False,0.0,0.0
2006-08-29,37,37,False,0.37,13.69
2006-08-30,37,37,False,0.37,13.69
2006-08-31,78,78,False,0.78,60.84
2006-09-01,87,87,False,0.87,75.69
2006-09-02,62,62,False,0.62,38.44
2006-09-03,33,33,False,0.33,10.89
2006-09-04,27,27,False,0.27,7.290000000000001
2006-09-05,0,0,False,0.0,0.0
2006-09-06,57,57,False,0.57,32.489999999999995
2006-09-07,19,19,False,0.19,3.61
2006-09-08,20,20,False,0.2,4.0
2006-09-09,29,29,False,0.29,8.41
2006-09-10,29,29,False,0.29,8.41
2006-09-11,0,0,False,0.0,0.0
2006-09-12,93,93,False,0.93,86.49000000000001
2006-09-13,38,38,False,0.38,14.44
2006-09-14,0,0,False,0.0,0.0
2006-09-15,41,41,False,0.41,16.81
2006-09-16,30,30,False,0.3,9.0
2006-09-17,0,0,False,0.0,0.0
2006-09-18,38,38,False,0.38,14.44
2006-09-19,18,18,False,0.18,3.2399999999999998
2006-09-20,38,38,False,0.38,14.44
2006-09-21,19,19,False,0.19,3.61
2006-09-22,20,20,False,0.2,4.0
