date,DEFAULT_unscaled,DEFAULT_monthly,isPartial,scale,DEFAULT
2005-11-06,52,62.0,,0.62,32.24
2005-11-07,72,62.0,,0.62,44.64
2005-11-08,83,62.0,,0.62,51.46
2005-11-09,59,62.0,,0.62,36.58
2005-11-10,100,62.0,,0.62,62.0
2005-11-11,90,62.0,,0.62,55.8
2005-11-12,62,62.0,,0.62,38.44
2005-11-13,32,62.0,,0.62,19.84
2005-11-14,81,62.0,,0.62,50.22
2005-11-15,70,62.0,,0.62,43.4
2005-11-16,58,62.0,,0.62,35.96
2005-11-17,73,62.0,,0.62,45.26
2005-11-18,72,62.0,,0.62,44.64
2005-11-19,77,62.0,,0.62,47.74
2005-11-20,64,62.0,,0.62,39.68
2005-11-21,52,62.0,,0.62,32.24
2005-11-22,66,62.0,,0.62,40.92
2005-11-23,98,62.0,,0.62,60.76
2005-11-24,57,62.0,,0.62,35.339999999999996
2005-11-25,66,62.0,,0.62,40.92
2005-11-26,49,62.0,,0.62,30.38
2005-11-27,65,62.0,,0.62,40.3
2005-11-28,96,62.0,,0.62,59.519999999999996
2005-11-29,61,62.0,,0.62,37.82
2005-11-30,76,62.0,,0.62,47.12
2005-12-01,88,61.0,False,0.61,53.68
2005-12-02,58,61.0,,0.61,35.38
2005-12-03,55,61.0,,0.61,33.55
2005-12-04,60,61.0,,0.61,36.6
2005-12-05,93,61.0,,0.61,56.73
2005-12-06,70,61.0,,0.61,42.699999999999996
2005-12-07,83,61.0,,0.61,50.629999999999995
2005-12-08,100,61.0,,0.61,61.0
2005-12-09,94,61.0,,0.61,57.339999999999996
2005-12-10,55,61.0,,0.61,33.55
2005-12-11,44,61.0,,0.61,26.84
2005-12-12,62,61.0,,0.61,37.82
2005-12-13,70,61.0,,0.61,42.699999999999996
2005-12-14,66,61.0,,0.61,40.26
2005-12-15,62,61.0,,0.61,37.82
2005-12-16,59,61.0,,0.61,35.99
2005-12-17,48,61.0,,0.61,29.28
2005-12-18,73,61.0,,0.61,44.53
2005-12-19,85,61.0,,0.61,51.85
2005-12-20,87,61.0,,0.61,53.07
2005-12-21,60,61.0,,0.61,36.6
2005-12-22,86,61.0,,0.61,52.46
2005-12-23,83,61.0,,0.61,50.629999999999995
2005-12-24,74,61.0,,0.61,45.14
2005-12-25,90,61.0,,0.61,54.9
2005-12-26,46,61.0,,0.61,28.06
2005-12-27,64,61.0,,0.61,39.04
2005-12-28,77,61.0,,0.61,46.97
2005-12-29,70,61.0,,0.61,42.699999999999996
2005-12-30,76,61.0,,0.61,46.36
2005-12-31,90,61.0,,0.61,54.9
2006-01-01,68,67.0,False,0.67,45.56
2006-01-02,44,67.0,,0.67,29.48
2006-01-03,53,67.0,,0.67,35.510000000000005
2006-01-04,65,67.0,,0.67,43.550000000000004
2006-01-05,100,67.0,,0.67,67.0
2006-01-06,56,67.0,,0.67,37.52
2006-01-07,71,67.0,,0.67,47.57
2006-01-08,53,67.0,,0.67,35.510000000000005
2006-01-09,71,67.0,,0.67,47.57
2006-01-10,76,67.0,,0.67,50.92
2006-01-11,70,67.0,,0.67,46.900000000000006
2006-01-12,77,67.0,,0.67,51.59
2006-01-13,76,67.0,,0.67,50.92
2006-01-14,88,67.0,,0.67,58.96
2006-01-15,62,67.0,,0.67,41.54
2006-01-16,65,67.0,,0.67,43.550000000000004
2006-01-17,79,67.0,,0.67,52.93
2006-01-18,77,67.0,,0.67,51.59
2006-01-19,80,67.0,,0.67,53.6
2006-01-20,90,67.0,,0.67,60.300000000000004
2006-01-21,60,67.0,,0.67,40.2
2006-01-22,63,67.0,,0.67,42.21
2006-01-23,66,67.0,,0.67,44.220000000000006
2006-01-24,90,67.0,,0.67,60.300000000000004
2006-01-25,63,67.0,,0.67,42.21
2006-01-26,85,67.0,,0.67,56.95
2006-01-27,70,67.0,,0.67,46.900000000000006
2006-01-28,55,67.0,,0.67,36.85
2006-01-29,53,67.0,,0.67,35.510000000000005
2006-01-30,75,67.0,,0.67,50.25
2006-01-31,75,67.0,,0.67,50.25
2006-02-01,79,64.0,False,0.64,50.56
2006-02-02,90,64.0,,0.64,57.6
2006-02-03,89,64.0,,0.64,56.96
2006-02-04,100,64.0,,0.64,64.0
2006-02-05,65,64.0,,0.64,41.6
2006-02-06,77,64.0,,0.64,49.28
2006-02-07,77,64.0,,0.64,49.28
2006-02-08,95,64.0,,0.64,60.800000000000004
2006-02-09,84,64.0,,0.64,53.76
2006-02-10,87,64.0,,0.64,55.68
2006-02-11,55,64.0,,0.64,35.2
2006-02-12,80,64.0,,0.64,51.2
2006-02-13,87,64.0,,0.64,55.68
2006-02-14,78,64.0,,0.64,49.92
2006-02-15,93,64.0,,0.64,59.52
2006-02-16,92,64.0,,0.64,58.88
2006-02-17,64,64.0,,0.64,40.96
2006-02-18,79,64.0,,0.64,50.56
2006-02-19,54,64.0,,0.64,34.56
2006-02-20,80,64.0,,0.64,51.2
2006-02-21,67,64.0,,0.64,42.88
2006-02-22,95,64.0,,0.64,60.800000000000004
2006-02-23,95,64.0,,0.64,60.800000000000004
2006-02-24,81,64.0,,0.64,51.84
2006-02-25,52,64.0,,0.64,33.28
2006-02-26,73,64.0,,0.64,46.72
2006-02-27,67,64.0,,0.64,42.88
2006-02-28,81,64.0,,0.64,51.84
2006-03-01,86,62.0,False,0.62,53.32
2006-03-02,62,62.0,,0.62,38.44
2006-03-03,74,62.0,,0.62,45.88
2006-03-04,71,62.0,,0.62,44.02
2006-03-05,53,62.0,,0.62,32.86
2006-03-06,65,62.0,,0.62,40.3
2006-03-07,79,62.0,,0.62,48.98
2006-03-08,75,62.0,,0.62,46.5
2006-03-09,70,62.0,,0.62,43.4
2006-03-10,84,62.0,,0.62,52.08
2006-03-11,60,62.0,,0.62,37.2
2006-03-12,43,62.0,,0.62,26.66
2006-03-13,76,62.0,,0.62,47.12
2006-03-14,61,62.0,,0.62,37.82
2006-03-15,68,62.0,,0.62,42.16
2006-03-16,72,62.0,,0.62,44.64
2006-03-17,60,62.0,,0.62,37.2
2006-03-18,66,62.0,,0.62,40.92
2006-03-19,58,62.0,,0.62,35.96
2006-03-20,77,62.0,,0.62,47.74
2006-03-21,69,62.0,,0.62,42.78
2006-03-22,91,62.0,,0.62,56.42
2006-03-23,71,62.0,,0.62,44.02
2006-03-24,78,62.0,,0.62,48.36
2006-03-25,55,62.0,,0.62,34.1
2006-03-26,56,62.0,,0.62,34.72
2006-03-27,73,62.0,,0.62,45.26
2006-03-28,64,62.0,,0.62,39.68
2006-03-29,90,62.0,,0.62,55.8
2006-03-30,87,62.0,,0.62,53.94
2006-03-31,100,62.0,,0.62,62.0
2006-04-01,74,57.0,False,0.57,42.18
2006-04-02,84,57.0,,0.57,47.879999999999995
2006-04-03,71,57.0,,0.57,40.47
2006-04-04,78,57.0,,0.57,44.459999999999994
2006-04-05,79,57.0,,0.57,45.029999999999994
2006-04-06,96,57.0,,0.57,54.72
2006-04-07,58,57.0,,0.57,33.059999999999995
2006-04-08,58,57.0,,0.57,33.059999999999995
2006-04-09,61,57.0,,0.57,34.769999999999996
2006-04-10,79,57.0,,0.57,45.029999999999994
2006-04-11,69,57.0,,0.57,39.33
2006-04-12,77,57.0,,0.57,43.88999999999999
2006-04-13,94,57.0,,0.57,53.58
2006-04-14,90,57.0,,0.57,51.3
2006-04-15,80,57.0,,0.57,45.599999999999994
2006-04-16,45,57.0,,0.57,25.65
2006-04-17,79,57.0,,0.57,45.029999999999994
2006-04-18,88,57.0,,0.57,50.16
2006-04-19,75,57.0,,0.57,42.74999999999999
2006-04-20,72,57.0,,0.57,41.04
2006-04-21,97,57.0,,0.57,55.28999999999999
2006-04-22,88,57.0,,0.57,50.16
2006-04-23,31,57.0,,0.57,17.669999999999998
2006-04-24,77,57.0,,0.57,43.88999999999999
2006-04-25,100,57.0,,0.57,56.99999999999999
2006-04-26,81,57.0,,0.57,46.169999999999995
2006-04-27,99,57.0,,0.57,56.42999999999999
2006-04-28,67,57.0,,0.57,38.19
2006-04-29,51,57.0,,0.57,29.069999999999997
2006-04-30,58,57.0,,0.57,33.059999999999995
2006-05-01,87,62.0,False,0.62,53.94
2006-05-02,69,62.0,,0.62,42.78
2006-05-03,70,62.0,,0.62,43.4
2006-05-04,95,62.0,,0.62,58.9
2006-05-05,70,62.0,,0.62,43.4
2006-05-06,55,62.0,,0.62,34.1
2006-05-07,87,62.0,,0.62,53.94
2006-05-08,86,62.0,,0.62,53.32
2006-05-09,55,62.0,,0.62,34.1
2006-05-10,65,62.0,,0.62,40.3
2006-05-11,76,62.0,,0.62,47.12
2006-05-12,91,62.0,,0.62,56.42
2006-05-13,72,62.0,,0.62,44.64
2006-05-14,31,62.0,,0.62,19.22
2006-05-15,59,62.0,,0.62,36.58
2006-05-16,87,62.0,,0.62,53.94
2006-05-17,100,62.0,,0.62,62.0
2006-05-18,76,62.0,,0.62,47.12
2006-05-19,75,62.0,,0.62,46.5
2006-05-20,72,62.0,,0.62,44.64
2006-05-21,52,62.0,,0.62,32.24
2006-05-22,61,62.0,,0.62,37.82
2006-05-23,92,62.0,,0.62,57.04
2006-05-24,95,62.0,,0.62,58.9
2006-05-25,98,62.0,,0.62,60.76
2006-05-26,78,62.0,,0.62,48.36
2006-05-27,59,62.0,,0.62,36.58
2006-05-28,53,62.0,,0.62,32.86
2006-05-29,56,62.0,,0.62,34.72
2006-05-30,71,62.0,,0.62,44.02
2006-05-31,87,62.0,,0.62,53.94
2006-06-01,67,64.0,False,0.64,42.88
2006-06-02,48,64.0,,0.64,30.72
2006-06-03,69,64.0,,0.64,44.160000000000004
2006-06-04,40,64.0,,0.64,25.6
2006-06-05,53,64.0,,0.64,33.92
2006-06-06,71,64.0,,0.64,45.44
2006-06-07,53,64.0,,0.64,33.92
2006-06-08,64,64.0,,0.64,40.96
2006-06-09,64,64.0,,0.64,40.96
2006-06-10,59,64.0,,0.64,37.76
2006-06-11,63,64.0,,0.64,40.32
2006-06-12,83,64.0,,0.64,53.120000000000005
2006-06-13,73,64.0,,0.64,46.72
2006-06-14,51,64.0,,0.64,32.64
2006-06-15,88,64.0,,0.64,56.32
2006-06-16,100,64.0,,0.64,64.0
2006-06-17,62,64.0,,0.64,39.68
2006-06-18,46,64.0,,0.64,29.44
2006-06-19,45,64.0,,0.64,28.8
2006-06-20,62,64.0,,0.64,39.68
2006-06-21,80,64.0,,0.64,51.2
2006-06-22,66,64.0,,0.64,42.24
2006-06-23,66,64.0,,0.64,42.24
2006-06-24,42,64.0,,0.64,26.88
2006-06-25,48,64.0,,0.64,30.72
2006-06-26,63,64.0,,0.64,40.32
2006-06-27,59,64.0,,0.64,37.76
2006-06-28,45,64.0,,0.64,28.8
2006-06-29,68,64.0,,0.64,43.52
2006-06-30,53,64.0,,0.64,33.92
2006-07-01,58,61.0,False,0.61,35.38
2006-07-02,67,61.0,,0.61,40.87
2006-07-03,89,61.0,,0.61,54.29
2006-07-04,49,61.0,,0.61,29.89
2006-07-05,85,61.0,,0.61,51.85
2006-07-06,88,61.0,,0.61,53.68
2006-07-07,90,61.0,,0.61,54.9
2006-07-08,62,61.0,,0.61,37.82
2006-07-09,58,61.0,,0.61,35.38
2006-07-10,72,61.0,,0.61,43.92
2006-07-11,77,61.0,,0.61,46.97
2006-07-12,95,61.0,,0.61,57.949999999999996
2006-07-13,86,61.0,,0.61,52.46
2006-07-14,87,61.0,,0.61,53.07
2006-07-15,73,61.0,,0.61,44.53
2006-07-16,66,61.0,,0.61,40.26
2006-07-17,72,61.0,,0.61,43.92
2006-07-18,62,61.0,,0.61,37.82
2006-07-19,91,61.0,,0.61,55.51
2006-07-20,85,61.0,,0.61,51.85
2006-07-21,83,61.0,,0.61,50.629999999999995
2006-07-22,60,61.0,,0.61,36.6
2006-07-23,67,61.0,,0.61,40.87
2006-07-24,67,61.0,,0.61,40.87
2006-07-25,86,61.0,,0.61,52.46
2006-07-26,100,61.0,,0.61,61.0
2006-07-27,81,61.0,,0.61,49.41
2006-07-28,63,61.0,,0.61,38.43
2006-07-29,39,61.0,,0.61,23.79
2006-07-30,42,61.0,,0.61,25.62
2006-07-31,67,61.0,,0.61,40.87
2006-08-01,70,68.0,False,0.68,47.6
2006-08-02,81,68.0,,0.68,55.080000000000005
2006-08-03,84,68.0,,0.68,57.120000000000005
2006-08-04,68,68.0,,0.68,46.24
2006-08-05,58,68.0,,0.68,39.440000000000005
2006-08-06,59,68.0,,0.68,40.120000000000005
2006-08-07,78,68.0,,0.68,53.040000000000006
2006-08-08,74,68.0,,0.68,50.32
2006-08-09,77,68.0,,0.68,52.36000000000001
2006-08-10,81,68.0,,0.68,55.080000000000005
2006-08-11,92,68.0,,0.68,62.56
2006-08-12,60,68.0,,0.68,40.800000000000004
2006-08-13,79,68.0,,0.68,53.720000000000006
2006-08-14,77,68.0,,0.68,52.36000000000001
2006-08-15,81,68.0,,0.68,55.080000000000005
2006-08-16,70,68.0,,0.68,47.6
2006-08-17,70,68.0,,0.68,47.6
2006-08-18,72,68.0,,0.68,48.96
2006-08-19,33,68.0,,0.68,22.44
2006-08-20,63,68.0,,0.68,42.84
2006-08-21,77,68.0,,0.68,52.36000000000001
2006-08-22,61,68.0,,0.68,41.480000000000004
2006-08-23,100,68.0,,0.68,68.0
2006-08-24,78,68.0,,0.68,53.040000000000006
