date,patron_unscaled,patron_monthly,isPartial,scale,patron
2006-02-11,59,39.0,,0.39,23.01
2006-02-12,34,39.0,,0.39,13.26
2006-02-13,44,39.0,,0.39,17.16
2006-02-14,83,39.0,,0.39,32.370000000000005
2006-02-15,57,39.0,,0.39,22.23
2006-02-16,74,39.0,,0.39,28.86
2006-02-17,30,39.0,,0.39,11.700000000000001
2006-02-18,25,39.0,,0.39,9.75
2006-02-19,71,39.0,,0.39,27.69
2006-02-20,43,39.0,,0.39,16.77
2006-02-21,60,39.0,,0.39,23.400000000000002
2006-02-22,38,39.0,,0.39,14.82
2006-02-23,50,39.0,,0.39,19.5
2006-02-24,29,39.0,,0.39,11.31
2006-02-25,45,39.0,,0.39,17.55
2006-02-26,61,39.0,,0.39,23.79
2006-02-27,33,39.0,,0.39,12.870000000000001
2006-02-28,64,39.0,,0.39,24.96
2006-03-01,57,39.0,False,0.39,22.23
2006-03-02,53,39.0,,0.39,20.67
2006-03-03,55,39.0,,0.39,21.45
2006-03-04,57,39.0,,0.39,22.23
2006-03-05,16,39.0,,0.39,6.24
2006-03-06,26,39.0,,0.39,10.14
2006-03-07,88,39.0,,0.39,34.32
2006-03-08,46,39.0,,0.39,17.94
2006-03-09,42,39.0,,0.39,16.38
2006-03-10,39,39.0,,0.39,15.21
2006-03-11,84,39.0,,0.39,32.76
2006-03-12,100,39.0,,0.39,39.0
2006-03-13,11,39.0,,0.39,4.29
2006-03-14,26,39.0,,0.39,10.14
2006-03-15,52,39.0,,0.39,20.28
2006-03-16,64,39.0,,0.39,24.96
2006-03-17,69,39.0,,0.39,26.91
2006-03-18,42,39.0,,0.39,16.38
2006-03-19,17,39.0,,0.39,6.63
2006-03-20,47,39.0,,0.39,18.330000000000002
2006-03-21,50,39.0,,0.39,19.5
2006-03-22,67,39.0,,0.39,26.130000000000003
2006-03-23,42,39.0,,0.39,16.38
2006-03-24,39,39.0,,0.39,15.21
2006-03-25,89,39.0,,0.39,34.71
2006-03-26,17,39.0,,0.39,6.63
2006-03-27,36,39.0,,0.39,14.040000000000001
2006-03-28,35,39.0,,0.39,13.65
2006-03-29,57,39.0,,0.39,22.23
2006-03-30,48,39.0,,0.39,18.72
2006-03-31,95,39.0,,0.39,37.050000000000004
2006-04-01,55,37.0,False,0.37,20.35
2006-04-02,88,37.0,,0.37,32.56
2006-04-03,89,37.0,,0.37,32.93
2006-04-04,100,37.0,,0.37,37.0
2006-04-05,81,37.0,,0.37,29.97
2006-04-06,55,37.0,,0.37,20.35
2006-04-07,66,37.0,,0.37,24.419999999999998
2006-04-08,86,37.0,,0.37,31.82
2006-04-09,89,37.0,,0.37,32.93
2006-04-10,96,37.0,,0.37,35.519999999999996
2006-04-11,61,37.0,,0.37,22.57
2006-04-12,62,37.0,,0.37,22.94
2006-04-13,43,37.0,,0.37,15.91
2006-04-14,66,37.0,,0.37,24.419999999999998
2006-04-15,81,37.0,,0.37,29.97
2006-04-16,24,37.0,,0.37,8.879999999999999
2006-04-17,55,37.0,,0.37,20.35
2006-04-18,88,37.0,,0.37,32.56
2006-04-19,34,37.0,,0.37,12.58
2006-04-20,62,37.0,,0.37,22.94
2006-04-21,51,37.0,,0.37,18.87
2006-04-22,32,37.0,,0.37,11.84
2006-04-23,64,37.0,,0.37,23.68
2006-04-24,72,37.0,,0.37,26.64
2006-04-25,65,37.0,,0.37,24.05
2006-04-26,33,37.0,,0.37,12.209999999999999
2006-04-27,34,37.0,,0.37,12.58
2006-04-28,65,37.0,,0.37,24.05
2006-04-29,45,37.0,,0.37,16.65
2006-04-30,65,37.0,,0.37,24.05
2006-05-01,41,41.0,False,0.41,16.81
2006-05-02,17,41.0,,0.41,6.97
2006-05-03,27,41.0,,0.41,11.069999999999999
2006-05-04,42,41.0,,0.41,17.22
2006-05-05,26,41.0,,0.41,10.66
2006-05-06,100,41.0,,0.41,41.0
2006-05-07,29,41.0,,0.41,11.889999999999999
2006-05-08,48,41.0,,0.41,19.68
2006-05-09,47,41.0,,0.41,19.27
2006-05-10,24,41.0,,0.41,9.84
2006-05-11,34,41.0,,0.41,13.94
2006-05-12,53,41.0,,0.41,21.73
2006-05-13,52,41.0,,0.41,21.32
2006-05-14,66,41.0,,0.41,27.06
2006-05-15,35,41.0,,0.41,14.35
2006-05-16,34,41.0,,0.41,13.94
2006-05-17,28,41.0,,0.41,11.479999999999999
2006-05-18,29,41.0,,0.41,11.889999999999999
2006-05-19,30,41.0,,0.41,12.299999999999999
2006-05-20,36,41.0,,0.41,14.76
2006-05-21,30,41.0,,0.41,12.299999999999999
2006-05-22,49,41.0,,0.41,20.09
2006-05-23,42,41.0,,0.41,17.22
2006-05-24,32,41.0,,0.41,13.12
2006-05-25,19,41.0,,0.41,7.789999999999999
2006-05-26,20,41.0,,0.41,8.2
2006-05-27,25,41.0,,0.41,10.25
2006-05-28,48,41.0,,0.41,19.68
2006-05-29,17,41.0,,0.41,6.97
2006-05-30,47,41.0,,0.41,19.27
2006-05-31,28,41.0,,0.41,11.479999999999999
2006-06-01,90,36.0,False,0.36,32.4
2006-06-02,82,36.0,,0.36,29.52
