date,an intervention_unscaled,an intervention_monthly,isPartial,scale,an intervention
2006-02-25,77,23.0,,0.23,17.71
2006-02-26,0,23.0,,0.23,0.0
2006-02-27,0,23.0,,0.23,0.0
2006-02-28,0,23.0,,0.23,0.0
2006-03-01,49,15.0,False,0.15,7.35
2006-03-02,0,15.0,,0.15,0.0
2006-03-03,0,15.0,,0.15,0.0
2006-03-04,79,15.0,,0.15,11.85
2006-03-05,0,15.0,,0.15,0.0
2006-03-06,0,15.0,,0.15,0.0
2006-03-07,0,15.0,,0.15,0.0
2006-03-08,0,15.0,,0.15,0.0
2006-03-09,0,15.0,,0.15,0.0
2006-03-10,0,15.0,,0.15,0.0
2006-03-11,0,15.0,,0.15,0.0
2006-03-12,0,15.0,,0.15,0.0
2006-03-13,0,15.0,,0.15,0.0
2006-03-14,0,15.0,,0.15,0.0
2006-03-15,0,15.0,,0.15,0.0
2006-03-16,0,15.0,,0.15,0.0
2006-03-17,0,15.0,,0.15,0.0
2006-03-18,81,15.0,,0.15,12.15
2006-03-19,0,15.0,,0.15,0.0
2006-03-20,100,15.0,,0.15,15.0
2006-03-21,48,15.0,,0.15,7.199999999999999
2006-03-22,0,15.0,,0.15,0.0
2006-03-23,0,15.0,,0.15,0.0
2006-03-24,0,15.0,,0.15,0.0
2006-03-25,0,15.0,,0.15,0.0
2006-03-26,0,15.0,,0.15,0.0
2006-03-27,0,15.0,,0.15,0.0
2006-03-28,0,15.0,,0.15,0.0
2006-03-29,0,15.0,,0.15,0.0
2006-03-30,0,15.0,,0.15,0.0
2006-03-31,0,15.0,,0.15,0.0
2006-04-01,0,16.0,False,0.16,0.0
2006-04-02,0,16.0,,0.16,0.0
2006-04-03,0,16.0,,0.16,0.0
2006-04-04,61,16.0,,0.16,9.76
2006-04-05,0,16.0,,0.16,0.0
2006-04-06,61,16.0,,0.16,9.76
2006-04-07,0,16.0,,0.16,0.0
2006-04-08,0,16.0,,0.16,0.0
2006-04-09,100,16.0,,0.16,16.0
2006-04-10,0,16.0,,0.16,0.0
2006-04-11,0,16.0,,0.16,0.0
2006-04-12,0,16.0,,0.16,0.0
2006-04-13,0,16.0,,0.16,0.0
2006-04-14,0,16.0,,0.16,0.0
2006-04-15,0,16.0,,0.16,0.0
2006-04-16,0,16.0,,0.16,0.0
2006-04-17,0,16.0,,0.16,0.0
2006-04-18,0,16.0,,0.16,0.0
2006-04-19,61,16.0,,0.16,9.76
2006-04-20,0,16.0,,0.16,0.0
2006-04-21,0,16.0,,0.16,0.0
2006-04-22,98,16.0,,0.16,15.68
2006-04-23,0,16.0,,0.16,0.0
2006-04-24,0,16.0,,0.16,0.0
2006-04-25,0,16.0,,0.16,0.0
2006-04-26,0,16.0,,0.16,0.0
2006-04-27,0,16.0,,0.16,0.0
2006-04-28,0,16.0,,0.16,0.0
2006-04-29,0,16.0,,0.16,0.0
2006-04-30,0,16.0,,0.16,0.0
2006-05-01,0,20.0,False,0.2,0.0
2006-05-02,49,20.0,,0.2,9.8
2006-05-03,0,20.0,,0.2,0.0
2006-05-04,51,20.0,,0.2,10.200000000000001
2006-05-05,55,20.0,,0.2,11.0
2006-05-06,0,20.0,,0.2,0.0
2006-05-07,0,20.0,,0.2,0.0
2006-05-08,0,20.0,,0.2,0.0
2006-05-09,0,20.0,,0.2,0.0
2006-05-10,0,20.0,,0.2,0.0
2006-05-11,0,20.0,,0.2,0.0
2006-05-12,0,20.0,,0.2,0.0
2006-05-13,0,20.0,,0.2,0.0
2006-05-14,0,20.0,,0.2,0.0
2006-05-15,0,20.0,,0.2,0.0
2006-05-16,100,20.0,,0.2,20.0
2006-05-17,0,20.0,,0.2,0.0
2006-05-18,0,20.0,,0.2,0.0
2006-05-19,0,20.0,,0.2,0.0
2006-05-20,0,20.0,,0.2,0.0
2006-05-21,0,20.0,,0.2,0.0
2006-05-22,0,20.0,,0.2,0.0
2006-05-23,0,20.0,,0.2,0.0
2006-05-24,0,20.0,,0.2,0.0
2006-05-25,0,20.0,,0.2,0.0
2006-05-26,0,20.0,,0.2,0.0
2006-05-27,0,20.0,,0.2,0.0
2006-05-28,0,20.0,,0.2,0.0
2006-05-29,0,20.0,,0.2,0.0
2006-05-30,0,20.0,,0.2,0.0
2006-05-31,0,20.0,,0.2,0.0
2006-06-01,0,19.0,False,0.19,0.0
2006-06-02,0,19.0,,0.19,0.0
2006-06-03,0,19.0,,0.19,0.0
2006-06-04,91,19.0,,0.19,17.29
2006-06-05,0,19.0,,0.19,0.0
2006-06-06,0,19.0,,0.19,0.0
2006-06-07,0,19.0,,0.19,0.0
2006-06-08,0,19.0,,0.19,0.0
2006-06-09,0,19.0,,0.19,0.0
2006-06-10,0,19.0,,0.19,0.0
2006-06-11,0,19.0,,0.19,0.0
2006-06-12,57,19.0,,0.19,10.83
2006-06-13,0,19.0,,0.19,0.0
2006-06-14,0,19.0,,0.19,0.0
2006-06-15,0,19.0,,0.19,0.0
2006-06-16,0,19.0,,0.19,0.0
2006-06-17,0,19.0,,0.19,0.0
2006-06-18,100,19.0,,0.19,19.0
2006-06-19,58,19.0,,0.19,11.02
2006-06-20,0,19.0,,0.19,0.0
2006-06-21,0,19.0,,0.19,0.0
2006-06-22,0,19.0,,0.19,0.0
2006-06-23,0,19.0,,0.19,0.0
2006-06-24,90,19.0,,0.19,17.1
2006-06-25,0,19.0,,0.19,0.0
2006-06-26,0,19.0,,0.19,0.0
2006-06-27,55,19.0,,0.19,10.45
2006-06-28,0,19.0,,0.19,0.0
2006-06-29,0,19.0,,0.19,0.0
2006-06-30,0,19.0,,0.19,0.0
2006-07-01,0,10.0,False,0.1,0.0
2006-07-02,0,10.0,,0.1,0.0
2006-07-03,0,10.0,,0.1,0.0
2006-07-04,0,10.0,,0.1,0.0
2006-07-05,0,10.0,,0.1,0.0
2006-07-06,0,10.0,,0.1,0.0
2006-07-07,0,10.0,,0.1,0.0
2006-07-08,0,10.0,,0.1,0.0
2006-07-09,0,10.0,,0.1,0.0
2006-07-10,0,10.0,,0.1,0.0
2006-07-11,92,10.0,,0.1,9.200000000000001
2006-07-12,94,10.0,,0.1,9.4
2006-07-13,0,10.0,,0.1,0.0
2006-07-14,0,10.0,,0.1,0.0
2006-07-15,0,10.0,,0.1,0.0
2006-07-16,0,10.0,,0.1,0.0
2006-07-17,0,10.0,,0.1,0.0
2006-07-18,0,10.0,,0.1,0.0
2006-07-19,0,10.0,,0.1,0.0
2006-07-20,0,10.0,,0.1,0.0
2006-07-21,100,10.0,,0.1,10.0
2006-07-22,0,10.0,,0.1,0.0
2006-07-23,0,10.0,,0.1,0.0
2006-07-24,0,10.0,,0.1,0.0
2006-07-25,0,10.0,,0.1,0.0
2006-07-26,93,10.0,,0.1,9.3
2006-07-27,95,10.0,,0.1,9.5
2006-07-28,0,10.0,,0.1,0.0
2006-07-29,0,10.0,,0.1,0.0
2006-07-30,0,10.0,,0.1,0.0
2006-07-31,0,10.0,,0.1,0.0
2006-08-01,0,5.0,False,0.05,0.0
2006-08-02,61,5.0,,0.05,3.0500000000000003
2006-08-03,0,5.0,,0.05,0.0
2006-08-04,0,5.0,,0.05,0.0
2006-08-05,0,5.0,,0.05,0.0
2006-08-06,0,5.0,,0.05,0.0
2006-08-07,0,5.0,,0.05,0.0
2006-08-08,0,5.0,,0.05,0.0
2006-08-09,0,5.0,,0.05,0.0
2006-08-10,0,5.0,,0.05,0.0
2006-08-11,0,5.0,,0.05,0.0
2006-08-12,0,5.0,,0.05,0.0
2006-08-13,100,5.0,,0.05,5.0
2006-08-14,0,5.0,,0.05,0.0
2006-08-15,0,5.0,,0.05,0.0
2006-08-16,0,5.0,,0.05,0.0
2006-08-17,0,5.0,,0.05,0.0
2006-08-18,0,5.0,,0.05,0.0
2006-08-19,0,5.0,,0.05,0.0
2006-08-20,0,5.0,,0.05,0.0
2006-08-21,0,5.0,,0.05,0.0
2006-08-22,0,5.0,,0.05,0.0
2006-08-23,0,5.0,,0.05,0.0
2006-08-24,0,5.0,,0.05,0.0
2006-08-25,0,5.0,,0.05,0.0
2006-08-26,0,5.0,,0.05,0.0
2006-08-27,91,5.0,,0.05,4.55
2006-08-28,0,5.0,,0.05,0.0
2006-08-29,0,5.0,,0.05,0.0
2006-08-30,0,5.0,,0.05,0.0
2006-08-31,0,5.0,,0.05,0.0
2006-09-01,0,5.0,False,0.05,0.0
2006-09-02,0,5.0,,0.05,0.0
2006-09-03,0,5.0,,0.05,0.0
2006-09-04,0,5.0,,0.05,0.0
2006-09-05,0,5.0,,0.05,0.0
2006-09-06,0,5.0,,0.05,0.0
2006-09-07,0,5.0,,0.05,0.0
2006-09-08,0,5.0,,0.05,0.0
2006-09-09,0,5.0,,0.05,0.0
2006-09-10,0,5.0,,0.05,0.0
2006-09-11,0,5.0,,0.05,0.0
2006-09-12,0,5.0,,0.05,0.0
2006-09-13,0,5.0,,0.05,0.0
2006-09-14,0,5.0,,0.05,0.0
2006-09-15,0,5.0,,0.05,0.0
2006-09-16,0,5.0,,0.05,0.0
2006-09-17,0,5.0,,0.05,0.0
2006-09-18,0,5.0,,0.05,0.0
2006-09-19,0,5.0,,0.05,0.0
2006-09-20,100,5.0,,0.05,5.0
2006-09-21,0,5.0,,0.05,0.0
2006-09-22,0,5.0,,0.05,0.0
2006-09-23,0,5.0,,0.05,0.0
2006-09-24,0,5.0,,0.05,0.0
2006-09-25,0,5.0,,0.05,0.0
2006-09-26,0,5.0,,0.05,0.0
2006-09-27,0,5.0,,0.05,0.0
2006-09-28,100,5.0,,0.05,5.0
2006-09-29,0,5.0,,0.05,0.0
2006-09-30,0,5.0,,0.05,0.0
2006-10-01,0,7.0,False,0.07,0.0
2006-10-02,0,7.0,,0.07,0.0
2006-10-03,0,7.0,,0.07,0.0
2006-10-04,0,7.0,,0.07,0.0
2006-10-05,0,7.0,,0.07,0.0
2006-10-06,0,7.0,,0.07,0.0
2006-10-07,0,7.0,,0.07,0.0
2006-10-08,0,7.0,,0.07,0.0
2006-10-09,0,7.0,,0.07,0.0
2006-10-10,0,7.0,,0.07,0.0
2006-10-11,0,7.0,,0.07,0.0
2006-10-12,0,7.0,,0.07,0.0
2006-10-13,0,7.0,,0.07,0.0
2006-10-14,0,7.0,,0.07,0.0
2006-10-15,0,7.0,,0.07,0.0
2006-10-16,0,7.0,,0.07,0.0
2006-10-17,0,7.0,,0.07,0.0
2006-10-18,0,7.0,,0.07,0.0
2006-10-19,53,7.0,,0.07,3.7100000000000004
2006-10-20,0,7.0,,0.07,0.0
2006-10-21,0,7.0,,0.07,0.0
2006-10-22,0,7.0,,0.07,0.0
2006-10-23,0,7.0,,0.07,0.0
2006-10-24,100,7.0,,0.07,7.000000000000001
2006-10-25,0,7.0,,0.07,0.0
2006-10-26,0,7.0,,0.07,0.0
2006-10-27,0,7.0,,0.07,0.0
2006-10-28,79,7.0,,0.07,5.53
2006-10-29,0,7.0,,0.07,0.0
2006-10-30,51,7.0,,0.07,3.5700000000000003
2006-10-31,50,7.0,,0.07,3.5000000000000004
2006-11-01,0,24.0,False,0.24,0.0
2006-11-02,0,24.0,,0.24,0.0
2006-11-03,0,24.0,,0.24,0.0
2006-11-04,0,24.0,,0.24,0.0
2006-11-05,0,24.0,,0.24,0.0
2006-11-06,0,24.0,,0.24,0.0
2006-11-07,0,24.0,,0.24,0.0
2006-11-08,0,24.0,,0.24,0.0
2006-11-09,66,24.0,,0.24,15.84
2006-11-10,0,24.0,,0.24,0.0
2006-11-11,0,24.0,,0.24,0.0
2006-11-12,0,24.0,,0.24,0.0
2006-11-13,0,24.0,,0.24,0.0
2006-11-14,0,24.0,,0.24,0.0
2006-11-15,0,24.0,,0.24,0.0
2006-11-16,64,24.0,,0.24,15.36
2006-11-17,0,24.0,,0.24,0.0
2006-11-18,0,24.0,,0.24,0.0
2006-11-19,0,24.0,,0.24,0.0
2006-11-20,0,24.0,,0.24,0.0
2006-11-21,0,24.0,,0.24,0.0
2006-11-22,72,24.0,,0.24,17.28
2006-11-23,0,24.0,,0.24,0.0
2006-11-24,100,24.0,,0.24,24.0
2006-11-25,0,24.0,,0.24,0.0
2006-11-26,99,24.0,,0.24,23.759999999999998
2006-11-27,0,24.0,,0.24,0.0
2006-11-28,0,24.0,,0.24,0.0
2006-11-29,61,24.0,,0.24,14.639999999999999
2006-11-30,61,24.0,,0.24,14.639999999999999
2006-12-01,0,16.0,False,0.16,0.0
2006-12-02,0,16.0,,0.16,0.0
2006-12-03,0,16.0,,0.16,0.0
2006-12-04,91,16.0,,0.16,14.56
2006-12-05,92,16.0,,0.16,14.72
2006-12-06,0,16.0,,0.16,0.0
2006-12-07,0,16.0,,0.16,0.0
2006-12-08,0,16.0,,0.16,0.0
2006-12-09,0,16.0,,0.16,0.0
2006-12-10,0,16.0,,0.16,0.0
2006-12-11,0,16.0,,0.16,0.0
2006-12-12,0,16.0,,0.16,0.0
2006-12-13,0,16.0,,0.16,0.0
2006-12-14,95,16.0,,0.16,15.200000000000001
2006-12-15,0,16.0,,0.16,0.0
2006-12-16,0,16.0,,0.16,0.0
2006-12-17,0,16.0,,0.16,0.0
2006-12-18,0,16.0,,0.16,0.0
2006-12-19,0,16.0,,0.16,0.0
2006-12-20,100,16.0,,0.16,16.0
2006-12-21,0,16.0,,0.16,0.0
2006-12-22,0,16.0,,0.16,0.0
2006-12-23,0,16.0,,0.16,0.0
2006-12-24,0,16.0,,0.16,0.0
2006-12-25,0,16.0,,0.16,0.0
2006-12-26,0,16.0,,0.16,0.0
2006-12-27,0,16.0,,0.16,0.0
2006-12-28,0,16.0,,0.16,0.0
2006-12-29,0,16.0,,0.16,0.0
2006-12-30,0,16.0,,0.16,0.0
2006-12-31,0,16.0,,0.16,0.0
2007-01-01,0,10.0,False,0.1,0.0
2007-01-02,0,10.0,,0.1,0.0
2007-01-03,53,10.0,,0.1,5.300000000000001
2007-01-04,0,10.0,,0.1,0.0
2007-01-05,0,10.0,,0.1,0.0
2007-01-06,0,10.0,,0.1,0.0
2007-01-07,0,10.0,,0.1,0.0
2007-01-08,0,10.0,,0.1,0.0
2007-01-09,51,10.0,,0.1,5.1000000000000005
2007-01-10,0,10.0,,0.1,0.0
2007-01-11,0,10.0,,0.1,0.0
2007-01-12,0,10.0,,0.1,0.0
2007-01-13,0,10.0,,0.1,0.0
2007-01-14,0,10.0,,0.1,0.0
2007-01-15,0,10.0,,0.1,0.0
2007-01-16,0,10.0,,0.1,0.0
2007-01-17,0,10.0,,0.1,0.0
2007-01-18,0,10.0,,0.1,0.0
2007-01-19,0,10.0,,0.1,0.0
2007-01-20,75,10.0,,0.1,7.5
2007-01-21,0,10.0,,0.1,0.0
2007-01-22,0,10.0,,0.1,0.0
2007-01-23,0,10.0,,0.1,0.0
2007-01-24,100,10.0,,0.1,10.0
2007-01-25,0,10.0,,0.1,0.0
2007-01-26,0,10.0,,0.1,0.0
2007-01-27,0,10.0,,0.1,0.0
2007-01-28,0,10.0,,0.1,0.0
2007-01-29,0,10.0,,0.1,0.0
2007-01-30,0,10.0,,0.1,0.0
2007-01-31,0,10.0,,0.1,0.0
2007-02-01,0,24.0,False,0.24,0.0
2007-02-02,0,24.0,,0.24,0.0
2007-02-03,0,24.0,,0.24,0.0
2007-02-04,0,24.0,,0.24,0.0
2007-02-05,0,24.0,,0.24,0.0
2007-02-06,46,24.0,,0.24,11.04
2007-02-07,0,24.0,,0.24,0.0
2007-02-08,0,24.0,,0.24,0.0
2007-02-09,99,24.0,,0.24,23.759999999999998
2007-02-10,0,24.0,,0.24,0.0
2007-02-11,0,24.0,,0.24,0.0
2007-02-12,0,24.0,,0.24,0.0
2007-02-13,0,24.0,,0.24,0.0
2007-02-14,0,24.0,,0.24,0.0
2007-02-15,0,24.0,,0.24,0.0
2007-02-16,0,24.0,,0.24,0.0
2007-02-17,0,24.0,,0.24,0.0
