date,auction_unscaled,auction_monthly,isPartial,scale,auction
2005-08-10,63,63,False,0.63,39.69
2005-08-11,72,72,False,0.72,51.839999999999996
2005-08-12,51,51,False,0.51,26.01
2005-08-13,91,91,False,0.91,82.81
2005-08-14,74,74,False,0.74,54.76
2005-08-15,68,68,False,0.68,46.24
2005-08-16,73,73,False,0.73,53.29
2005-08-17,66,66,False,0.66,43.56
2005-08-18,67,67,False,0.67,44.89
2005-08-19,74,74,False,0.74,54.76
2005-08-20,89,89,False,0.89,79.21000000000001
2005-08-21,72,72,False,0.72,51.839999999999996
2005-08-22,72,72,False,0.72,51.839999999999996
2005-08-23,67,67,False,0.67,44.89
2005-08-24,56,56,False,0.56,31.360000000000003
2005-08-25,63,63,False,0.63,39.69
2005-08-26,78,78,False,0.78,60.84
2005-08-27,78,78,False,0.78,60.84
2005-08-28,76,76,False,0.76,57.76
2005-08-29,66,66,False,0.66,43.56
2005-08-30,55,55,False,0.55,30.250000000000004
2005-08-31,73,73,False,0.73,53.29
2005-09-01,70,70,False,0.7,49.0
2005-09-02,83,83,False,0.83,68.89
2005-09-03,76,76,False,0.76,57.76
2005-09-04,97,97,False,0.97,94.09
2005-09-05,86,86,False,0.86,73.96
2005-09-06,81,81,False,0.81,65.61
2005-09-07,71,71,False,0.71,50.41
2005-09-08,69,69,False,0.69,47.61
2005-09-09,83,83,False,0.83,68.89
2005-09-10,100,100,False,1.0,100.0
2005-09-11,97,97,False,0.97,94.09
2005-09-12,94,94,False,0.94,88.36
2005-09-13,67,67,False,0.67,44.89
2005-09-14,99,99,False,0.99,98.01
2005-09-15,68,68,False,0.68,46.24
2005-09-16,76,76,False,0.76,57.76
2005-09-17,63,63,False,0.63,39.69
2005-09-18,92,92,False,0.92,84.64
2005-09-19,86,86,False,0.86,73.96
2005-09-20,75,75,False,0.75,56.25
2005-09-21,66,66,False,0.66,43.56
2005-09-22,76,76,False,0.76,57.76
2005-09-23,76,76,False,0.76,57.76
2005-09-24,86,86,False,0.86,73.96
2005-09-25,93,93,False,0.93,86.49000000000001
2005-09-26,79,79,False,0.79,62.410000000000004
2005-09-27,72,72,False,0.72,51.839999999999996
2005-09-28,65,65,False,0.65,42.25
2005-09-29,91,91,False,0.91,82.81
2005-09-30,87,87,False,0.87,75.69
2005-10-01,85,85,False,0.85,72.25
2005-10-02,81,81,False,0.81,65.61
2005-10-03,62,62,False,0.62,38.44
2005-10-04,73,73,False,0.73,53.29
2005-10-05,70,70,False,0.7,49.0
2005-10-06,84,84,False,0.84,70.56
2005-10-07,77,77,False,0.77,59.29
2005-10-08,81,81,False,0.81,65.61
2005-10-09,60,60,False,0.6,36.0
2005-10-10,77,77,False,0.77,59.29
2005-10-11,79,79,False,0.79,62.410000000000004
2005-10-12,66,66,False,0.66,43.56
2005-10-13,78,78,False,0.78,60.84
2005-10-14,93,93,False,0.93,86.49000000000001
2005-10-15,100,100,False,1.0,100.0
2005-10-16,87,87,False,0.87,75.69
2005-10-17,69,69,False,0.69,47.61
2005-10-18,69,69,False,0.69,47.61
2005-10-19,65,65,False,0.65,42.25
2005-10-20,79,79,False,0.79,62.410000000000004
2005-10-21,59,59,False,0.59,34.809999999999995
2005-10-22,86,86,False,0.86,73.96
2005-10-23,65,65,False,0.65,42.25
2005-10-24,57,57,False,0.57,32.489999999999995
2005-10-25,72,72,False,0.72,51.839999999999996
2005-10-26,66,66,False,0.66,43.56
2005-10-27,67,67,False,0.67,44.89
2005-10-28,79,79,False,0.79,62.410000000000004
2005-10-29,67,67,False,0.67,44.89
2005-10-30,84,84,False,0.84,70.56
2005-10-31,69,69,False,0.69,47.61
2005-11-01,93,93,False,0.93,86.49000000000001
2005-11-02,76,76,False,0.76,57.76
2005-11-03,75,75,False,0.75,56.25
2005-11-04,71,71,False,0.71,50.41
2005-11-05,97,97,False,0.97,94.09
2005-11-06,74,74,False,0.74,54.76
2005-11-07,88,88,False,0.88,77.44
2005-11-08,59,59,False,0.59,34.809999999999995
2005-11-09,70,70,False,0.7,49.0
2005-11-10,63,63,False,0.63,39.69
2005-11-11,78,78,False,0.78,60.84
2005-11-12,68,68,False,0.68,46.24
2005-11-13,85,85,False,0.85,72.25
