date,equity bank_unscaled,equity bank_monthly,isPartial,scale,equity bank
2013-11-25,63,48.0,,0.48,30.24
2013-11-26,72,48.0,,0.48,34.56
2013-11-27,59,48.0,,0.48,28.32
2013-11-28,10,48.0,,0.48,4.8
2013-11-29,57,48.0,,0.48,27.36
2013-11-30,49,48.0,,0.48,23.52
2013-12-01,30,39.0,False,0.39,11.700000000000001
2013-12-02,37,39.0,,0.39,14.43
2013-12-03,38,39.0,,0.39,14.82
2013-12-04,52,39.0,,0.39,20.28
2013-12-05,78,39.0,,0.39,30.42
2013-12-06,66,39.0,,0.39,25.740000000000002
2013-12-07,32,39.0,,0.39,12.48
2013-12-08,24,39.0,,0.39,9.36
2013-12-09,58,39.0,,0.39,22.62
2013-12-10,84,39.0,,0.39,32.76
2013-12-11,59,39.0,,0.39,23.01
2013-12-12,48,39.0,,0.39,18.72
2013-12-13,56,39.0,,0.39,21.84
2013-12-14,16,39.0,,0.39,6.24
2013-12-15,8,39.0,,0.39,3.12
2013-12-16,54,39.0,,0.39,21.060000000000002
2013-12-17,20,39.0,,0.39,7.800000000000001
2013-12-18,81,39.0,,0.39,31.59
2013-12-19,57,39.0,,0.39,22.23
2013-12-20,51,39.0,,0.39,19.89
2013-12-21,35,39.0,,0.39,13.65
2013-12-22,35,39.0,,0.39,13.65
2013-12-23,38,39.0,,0.39,14.82
2013-12-24,34,39.0,,0.39,13.26
2013-12-25,10,39.0,,0.39,3.9000000000000004
2013-12-26,40,39.0,,0.39,15.600000000000001
2013-12-27,54,39.0,,0.39,21.060000000000002
2013-12-28,25,39.0,,0.39,9.75
2013-12-29,8,39.0,,0.39,3.12
2013-12-30,100,39.0,,0.39,39.0
2013-12-31,60,39.0,,0.39,23.400000000000002
2014-01-01,17,54.0,False,0.54,9.18
2014-01-02,83,54.0,,0.54,44.82
2014-01-03,55,54.0,,0.54,29.700000000000003
2014-01-04,24,54.0,,0.54,12.96
2014-01-05,32,54.0,,0.54,17.28
2014-01-06,100,54.0,,0.54,54.0
2014-01-07,26,54.0,,0.54,14.040000000000001
2014-01-08,74,54.0,,0.54,39.96
2014-01-09,40,54.0,,0.54,21.6
2014-01-10,68,54.0,,0.54,36.72
2014-01-11,32,54.0,,0.54,17.28
2014-01-12,24,54.0,,0.54,12.96
2014-01-13,33,54.0,,0.54,17.82
2014-01-14,46,54.0,,0.54,24.840000000000003
2014-01-15,39,54.0,,0.54,21.060000000000002
2014-01-16,66,54.0,,0.54,35.64
2014-01-17,96,54.0,,0.54,51.84
2014-01-18,16,54.0,,0.54,8.64
2014-01-19,32,54.0,,0.54,17.28
2014-01-20,76,54.0,,0.54,41.040000000000006
2014-01-21,70,54.0,,0.54,37.800000000000004
2014-01-22,58,54.0,,0.54,31.32
2014-01-23,52,54.0,,0.54,28.080000000000002
2014-01-24,47,54.0,,0.54,25.380000000000003
2014-01-25,16,54.0,,0.54,8.64
2014-01-26,55,54.0,,0.54,29.700000000000003
