date,luxury home_unscaled,luxury home_monthly,isPartial,scale,luxury home
2005-08-02,30,95.0,,0.95,28.5
2005-08-03,16,95.0,,0.95,15.2
2005-08-04,32,95.0,,0.95,30.4
2005-08-05,23,95.0,,0.95,21.849999999999998
2005-08-06,26,95.0,,0.95,24.7
2005-08-07,18,95.0,,0.95,17.099999999999998
2005-08-08,20,95.0,,0.95,19.0
2005-08-09,10,95.0,,0.95,9.5
2005-08-10,10,95.0,,0.95,9.5
2005-08-11,10,95.0,,0.95,9.5
2005-08-12,11,95.0,,0.95,10.45
2005-08-13,42,95.0,,0.95,39.9
2005-08-14,26,95.0,,0.95,24.7
2005-08-15,20,95.0,,0.95,19.0
2005-08-16,20,95.0,,0.95,19.0
2005-08-17,10,95.0,,0.95,9.5
2005-08-18,16,95.0,,0.95,15.2
2005-08-19,16,95.0,,0.95,15.2
2005-08-20,25,95.0,,0.95,23.75
2005-08-21,100,95.0,,0.95,95.0
2005-08-22,20,95.0,,0.95,19.0
2005-08-23,10,95.0,,0.95,9.5
2005-08-24,0,95.0,,0.95,0.0
2005-08-25,13,95.0,,0.95,12.35
2005-08-26,21,95.0,,0.95,19.95
2005-08-27,16,95.0,,0.95,15.2
2005-08-28,31,95.0,,0.95,29.45
2005-08-29,39,95.0,,0.95,37.05
2005-08-30,19,95.0,,0.95,18.05
2005-08-31,19,95.0,,0.95,18.05
2005-09-01,33,66.0,False,0.66,21.78
2005-09-02,74,66.0,,0.66,48.84
2005-09-03,0,66.0,,0.66,0.0
2005-09-04,0,66.0,,0.66,0.0
2005-09-05,48,66.0,,0.66,31.68
2005-09-06,0,66.0,,0.66,0.0
2005-09-07,32,66.0,,0.66,21.12
2005-09-08,32,66.0,,0.66,21.12
2005-09-09,0,66.0,,0.66,0.0
2005-09-10,0,66.0,,0.66,0.0
2005-09-11,51,66.0,,0.66,33.660000000000004
2005-09-12,62,66.0,,0.66,40.92
2005-09-13,61,66.0,,0.66,40.260000000000005
2005-09-14,30,66.0,,0.66,19.8
2005-09-15,63,66.0,,0.66,41.580000000000005
2005-09-16,49,66.0,,0.66,32.34
2005-09-17,76,66.0,,0.66,50.160000000000004
2005-09-18,100,66.0,,0.66,66.0
2005-09-19,93,66.0,,0.66,61.38
2005-09-20,0,66.0,,0.66,0.0
2005-09-21,30,66.0,,0.66,19.8
2005-09-22,78,66.0,,0.66,51.480000000000004
2005-09-23,33,66.0,,0.66,21.78
2005-09-24,52,66.0,,0.66,34.32
2005-09-25,49,66.0,,0.66,32.34
2005-09-26,46,66.0,,0.66,30.360000000000003
2005-09-27,45,66.0,,0.66,29.700000000000003
2005-09-28,31,66.0,,0.66,20.46
2005-09-29,46,66.0,,0.66,30.360000000000003
2005-09-30,50,66.0,,0.66,33.0
2005-10-01,100,84.0,False,0.84,84.0
2005-10-02,64,84.0,,0.84,53.76
2005-10-03,0,84.0,,0.84,0.0
2005-10-04,19,84.0,,0.84,15.959999999999999
2005-10-05,28,84.0,,0.84,23.52
2005-10-06,48,84.0,,0.84,40.32
2005-10-07,21,84.0,,0.84,17.64
2005-10-08,31,84.0,,0.84,26.04
2005-10-09,63,84.0,,0.84,52.919999999999995
2005-10-10,39,84.0,,0.84,32.76
2005-10-11,28,84.0,,0.84,23.52
2005-10-12,19,84.0,,0.84,15.959999999999999
2005-10-13,39,84.0,,0.84,32.76
2005-10-14,61,84.0,,0.84,51.239999999999995
2005-10-15,0,84.0,,0.84,0.0
2005-10-16,94,84.0,,0.84,78.96
2005-10-17,57,84.0,,0.84,47.879999999999995
2005-10-18,28,84.0,,0.84,23.52
2005-10-19,19,84.0,,0.84,15.959999999999999
2005-10-20,38,84.0,,0.84,31.919999999999998
2005-10-21,20,84.0,,0.84,16.8
2005-10-22,46,84.0,,0.84,38.64
2005-10-23,30,84.0,,0.84,25.2
2005-10-24,37,84.0,,0.84,31.08
2005-10-25,27,84.0,,0.84,22.68
2005-10-26,19,84.0,,0.84,15.959999999999999
2005-10-27,28,84.0,,0.84,23.52
2005-10-28,20,84.0,,0.84,16.8
2005-10-29,32,84.0,,0.84,26.88
2005-10-30,0,84.0,,0.84,0.0
2005-10-31,48,84.0,,0.84,40.32
2005-11-01,16,78.0,False,0.78,12.48
2005-11-02,15,78.0,,0.78,11.700000000000001
2005-11-03,16,78.0,,0.78,12.48
2005-11-04,17,78.0,,0.78,13.26
2005-11-05,51,78.0,,0.78,39.78
2005-11-06,0,78.0,,0.78,0.0
2005-11-07,45,78.0,,0.78,35.1
2005-11-08,36,78.0,,0.78,28.080000000000002
2005-11-09,100,78.0,,0.78,78.0
2005-11-10,33,78.0,,0.78,25.740000000000002
2005-11-11,52,78.0,,0.78,40.56
2005-11-12,25,78.0,,0.78,19.5
2005-11-13,25,78.0,,0.78,19.5
2005-11-14,37,78.0,,0.78,28.86
2005-11-15,15,78.0,,0.78,11.700000000000001
2005-11-16,29,78.0,,0.78,22.62
2005-11-17,15,78.0,,0.78,11.700000000000001
2005-11-18,16,78.0,,0.78,12.48
2005-11-19,37,78.0,,0.78,28.86
2005-11-20,49,78.0,,0.78,38.22
2005-11-21,30,78.0,,0.78,23.400000000000002
2005-11-22,15,78.0,,0.78,11.700000000000001
2005-11-23,0,78.0,,0.78,0.0
2005-11-24,54,78.0,,0.78,42.120000000000005
2005-11-25,24,78.0,,0.78,18.72
2005-11-26,25,78.0,,0.78,19.5
2005-11-27,71,78.0,,0.78,55.38
2005-11-28,29,78.0,,0.78,22.62
2005-11-29,21,78.0,,0.78,16.38
2005-11-30,14,78.0,,0.78,10.92
2005-12-01,31,69.0,False,0.69,21.389999999999997
2005-12-02,33,69.0,,0.69,22.77
2005-12-03,25,69.0,,0.69,17.25
2005-12-04,25,69.0,,0.69,17.25
2005-12-05,31,69.0,,0.69,21.389999999999997
2005-12-06,0,69.0,,0.69,0.0
2005-12-07,46,69.0,,0.69,31.74
2005-12-08,0,69.0,,0.69,0.0
2005-12-09,17,69.0,,0.69,11.729999999999999
2005-12-10,100,69.0,,0.69,69.0
2005-12-11,25,69.0,,0.69,17.25
2005-12-12,31,69.0,,0.69,21.389999999999997
2005-12-13,15,69.0,,0.69,10.35
2005-12-14,16,69.0,,0.69,11.04
2005-12-15,32,69.0,,0.69,22.08
2005-12-16,17,69.0,,0.69,11.729999999999999
2005-12-17,26,69.0,,0.69,17.939999999999998
2005-12-18,0,69.0,,0.69,0.0
2005-12-19,17,69.0,,0.69,11.729999999999999
2005-12-20,34,69.0,,0.69,23.459999999999997
2005-12-21,0,69.0,,0.69,0.0
2005-12-22,0,69.0,,0.69,0.0
2005-12-23,23,69.0,,0.69,15.87
2005-12-24,0,69.0,,0.69,0.0
2005-12-25,0,69.0,,0.69,0.0
2005-12-26,0,69.0,,0.69,0.0
2005-12-27,20,69.0,,0.69,13.799999999999999
2005-12-28,96,69.0,,0.69,66.24
2005-12-29,76,69.0,,0.69,52.44
2005-12-30,21,69.0,,0.69,14.489999999999998
2005-12-31,27,69.0,,0.69,18.63
2006-01-01,37,89.0,False,0.89,32.93
2006-01-02,25,89.0,,0.89,22.25
2006-01-03,38,89.0,,0.89,33.82
2006-01-04,37,89.0,,0.89,32.93
2006-01-05,37,89.0,,0.89,32.93
2006-01-06,29,89.0,,0.89,25.81
2006-01-07,100,89.0,,0.89,89.0
2006-01-08,57,89.0,,0.89,50.730000000000004
2006-01-09,19,89.0,,0.89,16.91
2006-01-10,44,89.0,,0.89,39.160000000000004
2006-01-11,27,89.0,,0.89,24.03
2006-01-12,18,89.0,,0.89,16.02
2006-01-13,19,89.0,,0.89,16.91
2006-01-14,55,89.0,,0.89,48.95
2006-01-15,29,89.0,,0.89,25.81
2006-01-16,20,89.0,,0.89,17.8
2006-01-17,17,89.0,,0.89,15.13
2006-01-18,35,89.0,,0.89,31.150000000000002
2006-01-19,36,89.0,,0.89,32.04
2006-01-20,46,89.0,,0.89,40.94
2006-01-21,27,89.0,,0.89,24.03
2006-01-22,41,89.0,,0.89,36.49
2006-01-23,52,89.0,,0.89,46.28
2006-01-24,34,89.0,,0.89,30.26
2006-01-25,17,89.0,,0.89,15.13
2006-01-26,17,89.0,,0.89,15.13
2006-01-27,46,89.0,,0.89,40.94
2006-01-28,54,89.0,,0.89,48.06
2006-01-29,40,89.0,,0.89,35.6
2006-01-30,17,89.0,,0.89,15.13
2006-01-31,17,89.0,,0.89,15.13
2006-02-01,0,74.0,False,0.74,0.0
2006-02-02,79,74.0,,0.74,58.46
2006-02-03,66,74.0,,0.74,48.839999999999996
2006-02-04,48,74.0,,0.74,35.519999999999996
2006-02-05,99,74.0,,0.74,73.26
2006-02-06,96,74.0,,0.74,71.03999999999999
2006-02-07,92,74.0,,0.74,68.08
2006-02-08,92,74.0,,0.74,68.08
2006-02-09,31,74.0,,0.74,22.94
2006-02-10,49,74.0,,0.74,36.26
2006-02-11,96,74.0,,0.74,71.03999999999999
2006-02-12,95,74.0,,0.74,70.3
2006-02-13,31,74.0,,0.74,22.94
2006-02-14,62,74.0,,0.74,45.88
2006-02-15,32,74.0,,0.74,23.68
2006-02-16,48,74.0,,0.74,35.519999999999996
2006-02-17,100,74.0,,0.74,74.0
2006-02-18,96,74.0,,0.74,71.03999999999999
2006-02-19,74,74.0,,0.74,54.76
2006-02-20,35,74.0,,0.74,25.9
2006-02-21,46,74.0,,0.74,34.04
2006-02-22,61,74.0,,0.74,45.14
2006-02-23,62,74.0,,0.74,45.88
2006-02-24,99,74.0,,0.74,73.26
2006-02-25,51,74.0,,0.74,37.74
2006-02-26,50,74.0,,0.74,37.0
2006-02-27,61,74.0,,0.74,45.14
2006-02-28,89,74.0,,0.74,65.86
2006-03-01,0,71.0,False,0.71,0.0
2006-03-02,52,71.0,,0.71,36.92
2006-03-03,27,71.0,,0.71,19.169999999999998
2006-03-04,81,71.0,,0.71,57.51
2006-03-05,41,71.0,,0.71,29.11
2006-03-06,65,71.0,,0.71,46.15
2006-03-07,100,71.0,,0.71,71.0
2006-03-08,38,71.0,,0.71,26.979999999999997
2006-03-09,65,71.0,,0.71,46.15
2006-03-10,55,71.0,,0.71,39.05
2006-03-11,0,71.0,,0.71,0.0
2006-03-12,41,71.0,,0.71,29.11
2006-03-13,79,71.0,,0.71,56.089999999999996
2006-03-14,0,71.0,,0.71,0.0
2006-03-15,52,71.0,,0.71,36.92
2006-03-16,53,71.0,,0.71,37.629999999999995
2006-03-17,83,71.0,,0.71,58.93
2006-03-18,41,71.0,,0.71,29.11
2006-03-19,81,71.0,,0.71,57.51
2006-03-20,64,71.0,,0.71,45.44
2006-03-21,50,71.0,,0.71,35.5
2006-03-22,64,71.0,,0.71,45.44
2006-03-23,26,71.0,,0.71,18.46
2006-03-24,41,71.0,,0.71,29.11
2006-03-25,40,71.0,,0.71,28.4
2006-03-26,81,71.0,,0.71,57.51
2006-03-27,26,71.0,,0.71,18.46
2006-03-28,37,71.0,,0.71,26.27
2006-03-29,38,71.0,,0.71,26.979999999999997
2006-03-30,52,71.0,,0.71,36.92
2006-03-31,0,71.0,,0.71,0.0
2006-04-01,98,89.0,False,0.89,87.22
2006-04-02,33,89.0,,0.89,29.37
2006-04-03,21,89.0,,0.89,18.69
2006-04-04,20,89.0,,0.89,17.8
2006-04-05,81,89.0,,0.89,72.09
2006-04-06,31,89.0,,0.89,27.59
2006-04-07,22,89.0,,0.89,19.580000000000002
2006-04-08,65,89.0,,0.89,57.85
2006-04-09,67,89.0,,0.89,59.63
2006-04-10,41,89.0,,0.89,36.49
2006-04-11,40,89.0,,0.89,35.6
2006-04-12,72,89.0,,0.89,64.08
2006-04-13,32,89.0,,0.89,28.48
2006-04-14,25,89.0,,0.89,22.25
2006-04-15,35,89.0,,0.89,31.150000000000002
2006-04-16,72,89.0,,0.89,64.08
2006-04-17,31,89.0,,0.89,27.59
2006-04-18,60,89.0,,0.89,53.4
2006-04-19,30,89.0,,0.89,26.7
2006-04-20,41,89.0,,0.89,36.49
2006-04-21,22,89.0,,0.89,19.580000000000002
2006-04-22,65,89.0,,0.89,57.85
2006-04-23,80,89.0,,0.89,71.2
2006-04-24,49,89.0,,0.89,43.61
2006-04-25,20,89.0,,0.89,17.8
2006-04-26,30,89.0,,0.89,26.7
2006-04-27,41,89.0,,0.89,36.49
2006-04-28,44,89.0,,0.89,39.160000000000004
2006-04-29,100,89.0,,0.89,89.0
2006-04-30,65,89.0,,0.89,57.85
2006-05-01,29,55.0,False,0.55,15.950000000000001
2006-05-02,14,55.0,,0.55,7.700000000000001
2006-05-03,22,55.0,,0.55,12.100000000000001
2006-05-04,30,55.0,,0.55,16.5
2006-05-05,16,55.0,,0.55,8.8
2006-05-06,0,55.0,,0.55,0.0
2006-05-07,25,55.0,,0.55,13.750000000000002
2006-05-08,29,55.0,,0.55,15.950000000000001
2006-05-09,14,55.0,,0.55,7.700000000000001
2006-05-10,36,55.0,,0.55,19.8
