date,fort worth_unscaled,fort worth_monthly,isPartial,scale,fort worth
2005-07-30,61,61,False,0.61,37.21
2005-07-31,40,40,False,0.4,16.0
2005-08-01,68,68,False,0.68,46.24
2005-08-02,79,79,False,0.79,62.410000000000004
2005-08-03,77,77,False,0.77,59.29
2005-08-04,76,76,False,0.76,57.76
2005-08-05,69,69,False,0.69,47.61
2005-08-06,76,76,False,0.76,57.76
2005-08-07,73,73,False,0.73,53.29
2005-08-08,70,70,False,0.7,49.0
2005-08-09,52,52,False,0.52,27.04
2005-08-10,64,64,False,0.64,40.96
2005-08-11,70,70,False,0.7,49.0
2005-08-12,100,100,False,1.0,100.0
2005-08-13,97,97,False,0.97,94.09
2005-08-14,65,65,False,0.65,42.25
2005-08-15,77,77,False,0.77,59.29
2005-08-16,91,91,False,0.91,82.81
2005-08-17,77,77,False,0.77,59.29
2005-08-18,87,87,False,0.87,75.69
2005-08-19,73,73,False,0.73,53.29
2005-08-20,57,57,False,0.57,32.489999999999995
2005-08-21,79,79,False,0.79,62.410000000000004
2005-08-22,85,85,False,0.85,72.25
2005-08-23,61,61,False,0.61,37.21
2005-08-24,89,89,False,0.89,79.21000000000001
2005-08-25,92,92,False,0.92,84.64
2005-08-26,61,61,False,0.61,37.21
2005-08-27,55,55,False,0.55,30.250000000000004
2005-08-28,63,63,False,0.63,39.69
2005-08-29,72,72,False,0.72,51.839999999999996
2005-08-30,75,75,False,0.75,56.25
2005-08-31,72,72,False,0.72,51.839999999999996
2005-09-01,53,53,False,0.53,28.09
2005-09-02,56,56,False,0.56,31.360000000000003
2005-09-03,91,91,False,0.91,82.81
2005-09-04,100,100,False,1.0,100.0
2005-09-05,55,55,False,0.55,30.250000000000004
2005-09-06,67,67,False,0.67,44.89
2005-09-07,61,61,False,0.61,37.21
2005-09-08,86,86,False,0.86,73.96
2005-09-09,90,90,False,0.9,81.0
2005-09-10,65,65,False,0.65,42.25
2005-09-11,51,51,False,0.51,26.01
2005-09-12,94,94,False,0.94,88.36
2005-09-13,56,56,False,0.56,31.360000000000003
2005-09-14,71,71,False,0.71,50.41
2005-09-15,57,57,False,0.57,32.489999999999995
2005-09-16,64,64,False,0.64,40.96
2005-09-17,54,54,False,0.54,29.160000000000004
2005-09-18,56,56,False,0.56,31.360000000000003
2005-09-19,74,74,False,0.74,54.76
2005-09-20,78,78,False,0.78,60.84
2005-09-21,73,73,False,0.73,53.29
2005-09-22,65,65,False,0.65,42.25
2005-09-23,71,71,False,0.71,50.41
2005-09-24,68,68,False,0.68,46.24
2005-09-25,43,43,False,0.43,18.49
2005-09-26,69,69,False,0.69,47.61
2005-09-27,64,64,False,0.64,40.96
2005-09-28,66,66,False,0.66,43.56
2005-09-29,61,61,False,0.61,37.21
2005-09-30,76,76,False,0.76,57.76
2005-10-01,73,73,False,0.73,53.29
2005-10-02,60,60,False,0.6,36.0
2005-10-03,93,93,False,0.93,86.49000000000001
2005-10-04,84,84,False,0.84,70.56
2005-10-05,82,82,False,0.82,67.24
2005-10-06,86,86,False,0.86,73.96
2005-10-07,100,100,False,1.0,100.0
2005-10-08,92,92,False,0.92,84.64
2005-10-09,51,51,False,0.51,26.01
2005-10-10,83,83,False,0.83,68.89
2005-10-11,73,73,False,0.73,53.29
2005-10-12,58,58,False,0.58,33.64
2005-10-13,80,80,False,0.8,64.0
2005-10-14,74,74,False,0.74,54.76
2005-10-15,89,89,False,0.89,79.21000000000001
2005-10-16,50,50,False,0.5,25.0
2005-10-17,79,79,False,0.79,62.410000000000004
2005-10-18,79,79,False,0.79,62.410000000000004
2005-10-19,97,97,False,0.97,94.09
2005-10-20,99,99,False,0.99,98.01
2005-10-21,63,63,False,0.63,39.69
2005-10-22,59,59,False,0.59,34.809999999999995
2005-10-23,94,94,False,0.94,88.36
2005-10-24,81,81,False,0.81,65.61
2005-10-25,68,68,False,0.68,46.24
2005-10-26,83,83,False,0.83,68.89
2005-10-27,85,85,False,0.85,72.25
2005-10-28,78,78,False,0.78,60.84
2005-10-29,74,74,False,0.74,54.76
2005-10-30,62,62,False,0.62,38.44
2005-10-31,63,63,False,0.63,39.69
2005-11-01,98,98,False,0.98,96.03999999999999
2005-11-02,73,73,False,0.73,53.29
2005-11-03,86,86,False,0.86,73.96
2005-11-04,67,67,False,0.67,44.89
2005-11-05,86,86,False,0.86,73.96
2005-11-06,59,59,False,0.59,34.809999999999995
2005-11-07,84,84,False,0.84,70.56
2005-11-08,76,76,False,0.76,57.76
2005-11-09,56,56,False,0.56,31.360000000000003
2005-11-10,79,79,False,0.79,62.410000000000004
2005-11-11,92,92,False,0.92,84.64
2005-11-12,100,100,False,1.0,100.0
2005-11-13,62,62,False,0.62,38.44
2005-11-14,99,99,False,0.99,98.01
2005-11-15,100,100,False,1.0,100.0
2005-11-16,65,65,False,0.65,42.25
2005-11-17,69,69,False,0.69,47.61
2005-11-18,73,73,False,0.73,53.29
2005-11-19,67,67,False,0.67,44.89
2005-11-20,42,42,False,0.42,17.64
2005-11-21,73,73,False,0.73,53.29
2005-11-22,83,83,False,0.83,68.89
2005-11-23,61,61,False,0.61,37.21
2005-11-24,43,43,False,0.43,18.49
2005-11-25,76,76,False,0.76,57.76
2005-11-26,68,68,False,0.68,46.24
2005-11-27,86,86,False,0.86,73.96
2005-11-28,69,69,False,0.69,47.61
2005-11-29,66,66,False,0.66,43.56
2005-11-30,91,91,False,0.91,82.81
2005-12-01,77,77,False,0.77,59.29
2005-12-02,61,61,False,0.61,37.21
2005-12-03,62,62,False,0.62,38.44
2005-12-04,80,80,False,0.8,64.0
2005-12-05,100,100,False,1.0,100.0
2005-12-06,71,71,False,0.71,50.41
2005-12-07,84,84,False,0.84,70.56
2005-12-08,100,100,False,1.0,100.0
2005-12-09,85,85,False,0.85,72.25
2005-12-10,51,51,False,0.51,26.01
2005-12-11,52,52,False,0.52,27.04
2005-12-12,59,59,False,0.59,34.809999999999995
2005-12-13,85,85,False,0.85,72.25
2005-12-14,68,68,False,0.68,46.24
2005-12-15,81,81,False,0.81,65.61
2005-12-16,73,73,False,0.73,53.29
2005-12-17,77,77,False,0.77,59.29
2005-12-18,26,26,False,0.26,6.76
2005-12-19,89,89,False,0.89,79.21000000000001
2005-12-20,82,82,False,0.82,67.24
2005-12-21,69,69,False,0.69,47.61
2005-12-22,62,62,False,0.62,38.44
2005-12-23,91,91,False,0.91,82.81
2005-12-24,59,59,False,0.59,34.809999999999995
2005-12-25,72,72,False,0.72,51.839999999999996
2005-12-26,89,89,False,0.89,79.21000000000001
2005-12-27,82,82,False,0.82,67.24
2005-12-28,91,91,False,0.91,82.81
2005-12-29,61,61,False,0.61,37.21
2005-12-30,88,88,False,0.88,77.44
2005-12-31,68,68,False,0.68,46.24
2006-01-01,61,61,False,0.61,37.21
2006-01-02,70,70,False,0.7,49.0
2006-01-03,92,92,False,0.92,84.64
2006-01-04,59,59,False,0.59,34.809999999999995
2006-01-05,69,69,False,0.69,47.61
2006-01-06,75,75,False,0.75,56.25
2006-01-07,92,92,False,0.92,84.64
2006-01-08,39,39,False,0.39,15.21
2006-01-09,74,74,False,0.74,54.76
2006-01-10,83,83,False,0.83,68.89
2006-01-11,68,68,False,0.68,46.24
2006-01-12,73,73,False,0.73,53.29
2006-01-13,82,82,False,0.82,67.24
2006-01-14,81,81,False,0.81,65.61
2006-01-15,54,54,False,0.54,29.160000000000004
2006-01-16,78,78,False,0.78,60.84
2006-01-17,67,67,False,0.67,44.89
2006-01-18,60,60,False,0.6,36.0
2006-01-19,77,77,False,0.77,59.29
2006-01-20,73,73,False,0.73,53.29
2006-01-21,100,100,False,1.0,100.0
2006-01-22,56,56,False,0.56,31.360000000000003
2006-01-23,71,71,False,0.71,50.41
2006-01-24,70,70,False,0.7,49.0
2006-01-25,87,87,False,0.87,75.69
2006-01-26,95,95,False,0.95,90.25
2006-01-27,75,75,False,0.75,56.25
2006-01-28,74,74,False,0.74,54.76
2006-01-29,65,65,False,0.65,42.25
2006-01-30,75,75,False,0.75,56.25
2006-01-31,55,55,False,0.55,30.250000000000004
2006-02-01,75,75,False,0.75,56.25
2006-02-02,100,100,False,1.0,100.0
2006-02-03,67,67,False,0.67,44.89
2006-02-04,80,80,False,0.8,64.0
2006-02-05,81,81,False,0.81,65.61
2006-02-06,100,100,False,1.0,100.0
2006-02-07,85,85,False,0.85,72.25
2006-02-08,82,82,False,0.82,67.24
2006-02-09,90,90,False,0.9,81.0
2006-02-10,91,91,False,0.91,82.81
2006-02-11,82,82,False,0.82,67.24
2006-02-12,63,63,False,0.63,39.69
2006-02-13,80,80,False,0.8,64.0
2006-02-14,75,75,False,0.75,56.25
2006-02-15,69,69,False,0.69,47.61
2006-02-16,81,81,False,0.81,65.61
2006-02-17,84,84,False,0.84,70.56
2006-02-18,92,92,False,0.92,84.64
2006-02-19,55,55,False,0.55,30.250000000000004
2006-02-20,95,95,False,0.95,90.25
2006-02-21,91,91,False,0.91,82.81
2006-02-22,71,71,False,0.71,50.41
2006-02-23,81,81,False,0.81,65.61
2006-02-24,83,83,False,0.83,68.89
2006-02-25,69,69,False,0.69,47.61
2006-02-26,69,69,False,0.69,47.61
2006-02-27,80,80,False,0.8,64.0
2006-02-28,85,85,False,0.85,72.25
2006-03-01,70,70,False,0.7,49.0
2006-03-02,72,72,False,0.72,51.839999999999996
2006-03-03,91,91,False,0.91,82.81
2006-03-04,52,52,False,0.52,27.04
2006-03-05,49,49,False,0.49,24.009999999999998
2006-03-06,59,59,False,0.59,34.809999999999995
2006-03-07,90,90,False,0.9,81.0
2006-03-08,71,71,False,0.71,50.41
2006-03-09,80,80,False,0.8,64.0
2006-03-10,64,64,False,0.64,40.96
2006-03-11,64,64,False,0.64,40.96
2006-03-12,70,70,False,0.7,49.0
2006-03-13,84,84,False,0.84,70.56
2006-03-14,91,91,False,0.91,82.81
2006-03-15,100,100,False,1.0,100.0
2006-03-16,73,73,False,0.73,53.29
2006-03-17,60,60,False,0.6,36.0
2006-03-18,81,81,False,0.81,65.61
2006-03-19,87,87,False,0.87,75.69
2006-03-20,85,85,False,0.85,72.25
2006-03-21,80,80,False,0.8,64.0
2006-03-22,77,77,False,0.77,59.29
2006-03-23,83,83,False,0.83,68.89
2006-03-24,66,66,False,0.66,43.56
2006-03-25,69,69,False,0.69,47.61
2006-03-26,92,92,False,0.92,84.64
2006-03-27,68,68,False,0.68,46.24
2006-03-28,71,71,False,0.71,50.41
2006-03-29,80,80,False,0.8,64.0
2006-03-30,69,69,False,0.69,47.61
2006-03-31,75,75,False,0.75,56.25
2006-04-01,86,86,False,0.86,73.96
2006-04-02,66,66,False,0.66,43.56
2006-04-03,96,96,False,0.96,92.16
2006-04-04,70,70,False,0.7,49.0
2006-04-05,83,83,False,0.83,68.89
2006-04-06,69,69,False,0.69,47.61
2006-04-07,82,82,False,0.82,67.24
2006-04-08,75,75,False,0.75,56.25
2006-04-09,85,85,False,0.85,72.25
2006-04-10,65,65,False,0.65,42.25
2006-04-11,74,74,False,0.74,54.76
2006-04-12,100,100,False,1.0,100.0
2006-04-13,83,83,False,0.83,68.89
2006-04-14,97,97,False,0.97,94.09
2006-04-15,99,99,False,0.99,98.01
2006-04-16,49,49,False,0.49,24.009999999999998
2006-04-17,83,83,False,0.83,68.89
2006-04-18,69,69,False,0.69,47.61
2006-04-19,85,85,False,0.85,72.25
2006-04-20,93,93,False,0.93,86.49000000000001
2006-04-21,74,74,False,0.74,54.76
2006-04-22,82,82,False,0.82,67.24
2006-04-23,69,69,False,0.69,47.61
2006-04-24,87,87,False,0.87,75.69
2006-04-25,79,79,False,0.79,62.410000000000004
2006-04-26,64,64,False,0.64,40.96
2006-04-27,68,68,False,0.68,46.24
2006-04-28,90,90,False,0.9,81.0
2006-04-29,63,63,False,0.63,39.69
2006-04-30,71,71,False,0.71,50.41
2006-05-01,61,61,False,0.61,37.21
2006-05-02,85,85,False,0.85,72.25
2006-05-03,88,88,False,0.88,77.44
2006-05-04,81,81,False,0.81,65.61
2006-05-05,92,92,False,0.92,84.64
2006-05-06,98,98,False,0.98,96.03999999999999
2006-05-07,68,68,False,0.68,46.24
2006-05-08,77,77,False,0.77,59.29
2006-05-09,80,80,False,0.8,64.0
2006-05-10,72,72,False,0.72,51.839999999999996
2006-05-11,66,66,False,0.66,43.56
2006-05-12,80,80,False,0.8,64.0
2006-05-13,85,85,False,0.85,72.25
2006-05-14,62,62,False,0.62,38.44
2006-05-15,78,78,False,0.78,60.84
2006-05-16,75,75,False,0.75,56.25
2006-05-17,72,72,False,0.72,51.839999999999996
2006-05-18,60,60,False,0.6,36.0
2006-05-19,69,69,False,0.69,47.61
2006-05-20,71,71,False,0.71,50.41
2006-05-21,60,60,False,0.6,36.0
2006-05-22,82,82,False,0.82,67.24
2006-05-23,68,68,False,0.68,46.24
2006-05-24,62,62,False,0.62,38.44
2006-05-25,70,70,False,0.7,49.0
2006-05-26,73,73,False,0.73,53.29
2006-05-27,100,100,False,1.0,100.0
2006-05-28,79,79,False,0.79,62.410000000000004
2006-05-29,61,61,False,0.61,37.21
2006-05-30,77,77,False,0.77,59.29
2006-05-31,88,88,False,0.88,77.44
2006-06-01,71,71,False,0.71,50.41
2006-06-02,89,89,False,0.89,79.21000000000001
2006-06-03,76,76,False,0.76,57.76
2006-06-04,64,64,False,0.64,40.96
2006-06-05,100,100,False,1.0,100.0
2006-06-06,77,77,False,0.77,59.29
2006-06-07,81,81,False,0.81,65.61
2006-06-08,85,85,False,0.85,72.25
2006-06-09,77,77,False,0.77,59.29
2006-06-10,76,76,False,0.76,57.76
2006-06-11,53,53,False,0.53,28.09
2006-06-12,60,60,False,0.6,36.0
2006-06-13,93,93,False,0.93,86.49000000000001
2006-06-14,76,76,False,0.76,57.76
2006-06-15,71,71,False,0.71,50.41
2006-06-16,61,61,False,0.61,37.21
2006-06-17,90,90,False,0.9,81.0
2006-06-18,71,71,False,0.71,50.41
2006-06-19,75,75,False,0.75,56.25
2006-06-20,67,67,False,0.67,44.89
2006-06-21,74,74,False,0.74,54.76
2006-06-22,72,72,False,0.72,51.839999999999996
2006-06-23,76,76,False,0.76,57.76
2006-06-24,80,80,False,0.8,64.0
2006-06-25,57,57,False,0.57,32.489999999999995
2006-06-26,91,91,False,0.91,82.81
2006-06-27,59,59,False,0.59,34.809999999999995
2006-06-28,76,76,False,0.76,57.76
2006-06-29,66,66,False,0.66,43.56
2006-06-30,64,64,False,0.64,40.96
2006-07-01,81,81,False,0.81,65.61
2006-07-02,76,76,False,0.76,57.76
2006-07-03,100,100,False,1.0,100.0
2006-07-04,82,82,False,0.82,67.24
2006-07-05,98,98,False,0.98,96.03999999999999
2006-07-06,80,80,False,0.8,64.0
2006-07-07,65,65,False,0.65,42.25
2006-07-08,84,84,False,0.84,70.56
2006-07-09,67,67,False,0.67,44.89
2006-07-10,96,96,False,0.96,92.16
2006-07-11,68,68,False,0.68,46.24
2006-07-12,72,72,False,0.72,51.839999999999996
2006-07-13,93,93,False,0.93,86.49000000000001
2006-07-14,94,94,False,0.94,88.36
2006-07-15,69,69,False,0.69,47.61
2006-07-16,87,87,False,0.87,75.69
2006-07-17,94,94,False,0.94,88.36
2006-07-18,67,67,False,0.67,44.89
2006-07-19,72,72,False,0.72,51.839999999999996
2006-07-20,71,71,False,0.71,50.41
2006-07-21,78,78,False,0.78,60.84
2006-07-22,55,55,False,0.55,30.250000000000004
2006-07-23,64,64,False,0.64,40.96
2006-07-24,91,91,False,0.91,82.81
2006-07-25,80,80,False,0.8,64.0
2006-07-26,95,95,False,0.95,90.25
2006-07-27,71,71,False,0.71,50.41
2006-07-28,75,75,False,0.75,56.25
2006-07-29,91,91,False,0.91,82.81
2006-07-30,82,82,False,0.82,67.24
2006-07-31,92,92,False,0.92,84.64
2006-08-01,90,90,False,0.9,81.0
2006-08-02,90,90,False,0.9,81.0
2006-08-03,82,82,False,0.82,67.24
2006-08-04,96,96,False,0.96,92.16
2006-08-05,83,83,False,0.83,68.89
2006-08-06,78,78,False,0.78,60.84
2006-08-07,78,78,False,0.78,60.84
2006-08-08,88,88,False,0.88,77.44
2006-08-09,67,67,False,0.67,44.89
2006-08-10,65,65,False,0.65,42.25
2006-08-11,86,86,False,0.86,73.96
2006-08-12,75,75,False,0.75,56.25
2006-08-13,60,60,False,0.6,36.0
2006-08-14,77,77,False,0.77,59.29
2006-08-15,79,79,False,0.79,62.410000000000004
2006-08-16,85,85,False,0.85,72.25
2006-08-17,88,88,False,0.88,77.44
2006-08-18,79,79,False,0.79,62.410000000000004
2006-08-19,100,100,False,1.0,100.0
2006-08-20,60,60,False,0.6,36.0
2006-08-21,91,91,False,0.91,82.81
2006-08-22,100,100,False,1.0,100.0
2006-08-23,78,78,False,0.78,60.84
2006-08-24,71,71,False,0.71,50.41
2006-08-25,80,80,False,0.8,64.0
2006-08-26,84,84,False,0.84,70.56
2006-08-27,44,44,False,0.44,19.36
2006-08-28,78,78,False,0.78,60.84
2006-08-29,93,93,False,0.93,86.49000000000001
2006-08-30,75,75,False,0.75,56.25
2006-08-31,92,92,False,0.92,84.64
2006-09-01,82,82,False,0.82,67.24
2006-09-02,98,98,False,0.98,96.03999999999999
2006-09-03,83,83,False,0.83,68.89
2006-09-04,78,78,False,0.78,60.84
2006-09-05,82,82,False,0.82,67.24
2006-09-06,83,83,False,0.83,68.89
2006-09-07,86,86,False,0.86,73.96
2006-09-08,69,69,False,0.69,47.61
2006-09-09,77,77,False,0.77,59.29
2006-09-10,68,68,False,0.68,46.24
2006-09-11,97,97,False,0.97,94.09
2006-09-12,82,82,False,0.82,67.24
2006-09-13,94,94,False,0.94,88.36
2006-09-14,87,87,False,0.87,75.69
2006-09-15,92,92,False,0.92,84.64
2006-09-16,97,97,False,0.97,94.09
2006-09-17,77,77,False,0.77,59.29
2006-09-18,74,74,False,0.74,54.76
2006-09-19,81,81,False,0.81,65.61
2006-09-20,75,75,False,0.75,56.25
2006-09-21,90,90,False,0.9,81.0
2006-09-22,96,96,False,0.96,92.16
2006-09-23,90,90,False,0.9,81.0
2006-09-24,61,61,False,0.61,37.21
2006-09-25,79,79,False,0.79,62.410000000000004
2006-09-26,92,92,False,0.92,84.64
2006-09-27,100,100,False,1.0,100.0
2006-09-28,92,92,False,0.92,84.64
2006-09-29,68,68,False,0.68,46.24
2006-09-30,60,60,False,0.6,36.0
2006-10-01,64,64,False,0.64,40.96
2006-10-02,75,75,False,0.75,56.25
2006-10-03,77,77,False,0.77,59.29
2006-10-04,92,92,False,0.92,84.64
2006-10-05,97,97,False,0.97,94.09
2006-10-06,81,81,False,0.81,65.61
